task_id,base_task_id,image_id,building_id,task_stratum,c2a_rp_eligible,vis_3d,image_path,risk_design_score_A,task_risk_sha256,reference_review_status,formal_use_blocked_until_review
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94.png,3.481375346689797,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e.png,3.7719016404858947,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.png,3.9778924598625696,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.png,3.768993304208514,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,3.7862649982994774,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf.png,3.992195702576095,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.png,3.928480185152084,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862,jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862,jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862.png,3.482963180154766,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca.png,5.295506908416907,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f,jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f,jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f.png,3.8286746476801112,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ,ordinary,false,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa.png,5.512393035924778,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,reference_unavailable,true
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_855bc326ad174253b57626daf123c608.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_855bc326ad174253b57626daf123c608.png,5.29176262493917,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066.png,4.655451749029902,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c.png,3.595006432551763,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ,ordinary,false,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6.png,5.249871582737375,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,reference_unavailable,true
jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a,jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a,jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a,jh4fc5c5qoQ,ordinary,true,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a.png,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/valid_no_occ/img/jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a.png,3.6952691934376283,211ea4260415918104685440b07ce72fc17113b1764913c9215c554df901c067,not_flagged,false
