image_id,condition,k,n_valid,reason
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,4,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,6,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,8,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,4,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,6,3,fewer_than_two_unseen_people_at_this_k
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,8,3,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,8,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,8,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,6,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,8,6,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,6,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,8,6,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,8,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,8,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,8,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,4,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,6,5,fewer_than_two_unseen_people_at_this_k
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,8,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,4,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,6,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,8,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,4,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,6,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,8,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,6,6,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,8,6,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,4,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,6,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,8,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,6,6,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,8,6,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,4,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,6,5,fewer_than_two_unseen_people_at_this_k
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,8,5,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,2,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,4,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,6,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,8,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,2,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,4,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,6,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,8,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,2,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,4,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,6,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,8,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,2,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,4,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,6,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,8,2,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,2,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,4,3,fewer_than_two_unseen_people_at_this_k
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,6,3,fewer_than_two_unseen_people_at_this_k
