condition,heldout_building,n_types,worker_id,type_id,support
manual,2t7WUuJeko7,2,W001,0,70
manual,2t7WUuJeko7,3,W001,0,70
manual,2t7WUuJeko7,4,W001,0,70
manual,2t7WUuJeko7,2,W002,0,63
manual,2t7WUuJeko7,3,W002,0,63
manual,2t7WUuJeko7,4,W002,0,63
manual,2t7WUuJeko7,2,W006,0,69
manual,2t7WUuJeko7,3,W006,0,69
manual,2t7WUuJeko7,4,W006,0,69
manual,2t7WUuJeko7,2,W008,0,68
manual,2t7WUuJeko7,3,W008,0,68
manual,2t7WUuJeko7,4,W008,0,68
manual,2t7WUuJeko7,2,W010,0,69
manual,2t7WUuJeko7,3,W010,0,69
manual,2t7WUuJeko7,4,W010,0,69
manual,2t7WUuJeko7,2,W011,0,69
manual,2t7WUuJeko7,3,W011,0,69
manual,2t7WUuJeko7,4,W011,0,69
manual,2t7WUuJeko7,2,W012,0,68
manual,2t7WUuJeko7,3,W012,0,68
manual,2t7WUuJeko7,4,W012,0,68
manual,2t7WUuJeko7,2,W013,0,68
manual,2t7WUuJeko7,3,W013,0,68
manual,2t7WUuJeko7,4,W013,0,68
manual,2t7WUuJeko7,2,W014,0,58
manual,2t7WUuJeko7,3,W014,0,58
manual,2t7WUuJeko7,4,W014,0,58
manual,2t7WUuJeko7,2,W015,0,70
manual,2t7WUuJeko7,3,W015,0,70
manual,2t7WUuJeko7,4,W015,0,70
manual,2t7WUuJeko7,2,W017,0,68
manual,2t7WUuJeko7,3,W017,0,68
manual,2t7WUuJeko7,4,W017,0,68
manual,2t7WUuJeko7,2,W018,0,57
manual,2t7WUuJeko7,3,W018,0,57
manual,2t7WUuJeko7,4,W018,0,57
manual,2t7WUuJeko7,2,W021,0,30
manual,2t7WUuJeko7,3,W021,0,30
manual,2t7WUuJeko7,4,W021,0,30
manual,2t7WUuJeko7,2,W027,0,58
manual,2t7WUuJeko7,3,W027,0,58
manual,2t7WUuJeko7,4,W027,0,58
manual,2t7WUuJeko7,2,W028,0,67
manual,2t7WUuJeko7,3,W028,0,67
manual,2t7WUuJeko7,4,W028,0,67
manual,2t7WUuJeko7,2,W029,0,68
manual,2t7WUuJeko7,3,W029,0,68
manual,2t7WUuJeko7,4,W029,0,68
manual,2t7WUuJeko7,2,W030,0,68
manual,2t7WUuJeko7,3,W030,0,68
manual,2t7WUuJeko7,4,W030,0,68
manual,2t7WUuJeko7,2,W031,0,72
manual,2t7WUuJeko7,3,W031,0,72
manual,2t7WUuJeko7,4,W031,0,72
manual,2t7WUuJeko7,2,W032,0,70
manual,2t7WUuJeko7,3,W032,0,70
manual,2t7WUuJeko7,4,W032,1,70
manual,2t7WUuJeko7,2,W033,0,70
manual,2t7WUuJeko7,3,W033,0,70
manual,2t7WUuJeko7,4,W033,0,70
manual,2t7WUuJeko7,2,W034,0,86
manual,2t7WUuJeko7,3,W034,1,86
manual,2t7WUuJeko7,4,W034,2,86
manual,2t7WUuJeko7,2,W035,0,68
manual,2t7WUuJeko7,3,W035,0,68
manual,2t7WUuJeko7,4,W035,0,68
manual,2t7WUuJeko7,2,W036,0,70
manual,2t7WUuJeko7,3,W036,0,70
manual,2t7WUuJeko7,4,W036,0,70
manual,2t7WUuJeko7,2,W037,1,69
manual,2t7WUuJeko7,3,W037,2,69
manual,2t7WUuJeko7,4,W037,3,69
manual,7y3sRwLe3Va,2,W001,0,67
manual,7y3sRwLe3Va,3,W001,0,67
manual,7y3sRwLe3Va,4,W001,0,67
manual,7y3sRwLe3Va,2,W002,0,60
manual,7y3sRwLe3Va,3,W002,0,60
manual,7y3sRwLe3Va,4,W002,0,60
manual,7y3sRwLe3Va,2,W006,0,66
manual,7y3sRwLe3Va,3,W006,0,66
manual,7y3sRwLe3Va,4,W006,0,66
manual,7y3sRwLe3Va,2,W008,0,68
manual,7y3sRwLe3Va,3,W008,0,68
manual,7y3sRwLe3Va,4,W008,0,68
manual,7y3sRwLe3Va,2,W010,0,66
manual,7y3sRwLe3Va,3,W010,0,66
manual,7y3sRwLe3Va,4,W010,0,66
manual,7y3sRwLe3Va,2,W011,0,66
manual,7y3sRwLe3Va,3,W011,0,66
manual,7y3sRwLe3Va,4,W011,0,66
