image_id,condition,pattern,possible,type_counts,unknown_people
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,AA,False,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,AB,True,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,AAB,False,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,ACD,True,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,AABC,False,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,ABCD,True,"{""2"": 21, ""3"": 1, ""0"": 1, ""1"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,AA,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,AB,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,AAB,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,ACD,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,AABC,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,ABCD,True,"{""0"": 2, ""1"": 18, ""2"": 3, ""3"": 1}",0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,AA,True,"{""0"": 2, ""1"": 18, ""2"": 3}",0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,AB,True,"{""0"": 2, ""1"": 18, ""2"": 3}",0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,AAB,True,"{""0"": 2, ""1"": 18, ""2"": 3}",0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,ACD,False,"{""0"": 2, ""1"": 18, ""2"": 3}",0
