room_id,image_a,image_b,building,condition,n_a,n_b,same_scene,scene_a,doorway_a,floor_boundary_a,ceiling_boundary_a,corner_occlusion_a,connected_space_a,reflection_glass_a,low_contrast_a,scene_b,doorway_b,floor_boundary_b,ceiling_boundary_b,corner_occlusion_b,connected_space_b,reflection_glass_b,low_contrast_b,reference_geometry_error_a,reference_geometry_error_b,reference_geometry_error_delta,owner_valid_active_seconds_a,owner_valid_active_seconds_b,owner_valid_active_seconds_delta,point_count_disagreement_a,point_count_disagreement_b,point_count_disagreement_delta,within_topology_geometry_dispersion_a,within_topology_geometry_dispersion_b,within_topology_geometry_dispersion_delta,scope_non_normal_rate_a,scope_non_normal_rate_b,scope_non_normal_rate_delta,scope_entropy_a,scope_entropy_b,scope_entropy_delta,n_common_workers
supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,5,5,True,通行与连接,否,present,present,absent,present,unknown,absent,通行与连接,否,present,present,absent,present,unknown,absent,0.170542389057,0.14958282604,-0.0209595630165,79,191,112,0.4,0.4,0,0.340566354372,0.171666556658,-0.168899797714,0.6,0.4,-0.2,1.52192809489,0.970950594455,-0.550977500433,1
supported_component:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,2,2,True,卫浴,否,partial,present,present,present,unknown,absent,卫浴,否,partial,present,present,present,present,absent,0.26795063,,,688.5,104,-584.5,1,0,-1,,0.0676319616488,,0,0,0,-0,-0,0,0
supported_component:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,manual,2,3,True,卫浴,否,partial,present,present,present,unknown,absent,卫浴,否,partial,present,present,present,present,absent,0.26795063,,,688.5,179,-509.5,1,0,-1,,0.0613472900077,,0,0,0,-0,-0,0,0
supported_component:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,manual,2,3,True,卫浴,否,partial,present,present,present,present,absent,卫浴,否,partial,present,present,present,present,absent,,,,104,179,75,0,0,0,0.0676319616488,0.0613472900077,-0.00628467164107,0,0,0,-0,-0,0,0
supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,5,5,False,unknown,否,partial,present,present,present,present,absent,厨房与用餐,疑似,partial,present,present,present,present,absent,0.295360047325,0.355316663593,0.0599566162676,106.5,60,-46.5,1,0.4,-0.6,,0.0493877253044,,0.6,0.2,-0.4,1.52192809489,0.721928094887,-0.8,0
supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,5,5,False,unknown,否,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,present,absent,0.295360047325,0.139108324282,-0.156251723043,106.5,435,328.5,1,0.9,-0.1,,0.0807933801821,,0.6,0.6,0,1.52192809489,1.92192809489,0.4,0
supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,5,5,False,厨房与用餐,疑似,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,present,absent,0.355316663593,0.139108324282,-0.216208339311,60,435,375,0.4,0.9,0.5,0.0493877253044,0.0807933801821,0.0314056548778,0.2,0.6,0.4,0.721928094887,1.92192809489,1.2,0
supported_component:jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ,manual,4,2,True,卧室,否,partial,present,present,present,unknown,absent,卧室,疑似,partial,present,present,present,present,absent,0.0789453697843,,,191,311,120,0.5,1,0.5,0.0641145486904,,,0.25,1,0.75,0.811278124459,-0,-0.811278124459,0
supported_component:jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,jtcxE69GiFV,manual,6,1,True,卧室,否,partial,present,present,present,present,absent,卧室,否,partial,present,present,present,unknown,absent,0.131439242864,,,168.5,103,-65.5,0,,,0.0665414562367,,,0,0,0,-0,-0,0,0
supported_component:jtcxE69GiFV_666e7c94f27743a788c408a62c2c13f6,jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,jtcxE69GiFV,manual,2,1,True,卧室,否,partial,present,present,present,unknown,absent,卧室,否,partial,present,present,present,unknown,absent,0.121283163396,0.0139520045372,-0.107331158859,282.5,84,-198.5,0,,,0.0549444806074,,,1,0,-1,-0,-0,0,0
