task_id,annotation_id,base_task_id,matched_registry_uid,dataset_group,annotator_id
466,89,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,stage3_validation_semi:58,Validation_semi,1
467,90,X7HyMhZNoso_445ae0203f294b5c9889505576e37998,stage3_semiauto_test:9,SemiAuto_Test,1
469,92,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,stage1_prescreen_semi:6,PreScreen_semi,1
470,93,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,stage3_semiauto_test:97,SemiAuto_Test,1
475,41,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,stage1_prescreen_manual:24,PreScreen_manual,3
475,76,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,stage1_prescreen_manual:24,PreScreen_manual,4
476,42,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,stage3_semiauto_test:67,SemiAuto_Test,3
476,77,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,stage3_semiauto_test:67,SemiAuto_Test,4
478,97,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,stage3_validation_semi:23,Validation_semi,1
479,33,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,stage3_semiauto_test:23,SemiAuto_Test,2
479,44,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,stage3_semiauto_test:23,SemiAuto_Test,3
479,79,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,stage3_semiauto_test:23,SemiAuto_Test,4
480,34,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,stage3_semiauto_test:84,SemiAuto_Test,2
480,45,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,stage3_semiauto_test:84,SemiAuto_Test,3
480,80,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,stage3_semiauto_test:84,SemiAuto_Test,4
484,101,X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20,stage3_validation_semi:55,Validation_semi,1
485,102,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,stage3_semiauto_test:1,SemiAuto_Test,1
487,104,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,stage3_gold_manual:17,Gold_manual,1
489,106,wc2JMjhGNzB_2880c0784aa0462a8070b30416752de6,stage3_gold_manual:14,Gold_manual,1
490,107,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,stage1_prescreen_manual:28,PreScreen_manual,1
491,35,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,stage1_prescreen_semi:19,PreScreen_semi,2
491,46,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,stage1_prescreen_semi:19,PreScreen_semi,3
491,81,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,stage1_prescreen_semi:19,PreScreen_semi,4
492,36,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,stage3_semiauto_test:21,SemiAuto_Test,2
492,47,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,stage3_semiauto_test:21,SemiAuto_Test,3
492,82,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,stage3_semiauto_test:21,SemiAuto_Test,4
493,37,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,stage1_prescreen_semi:21,PreScreen_semi,2
493,48,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,stage1_prescreen_semi:21,PreScreen_semi,3
494,38,B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,stage1_prescreen_manual:22,PreScreen_manual,2
494,49,B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,stage1_prescreen_manual:22,PreScreen_manual,3
495,39,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,stage2_calibration_semi:22,Calibration_semi,2
495,50,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,stage2_calibration_semi:22,Calibration_semi,3
496,51,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,stage3_gold_manual:2,Gold_manual,3
496,63,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,stage3_gold_manual:2,Gold_manual,2
499,54,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,stage2_calibration_semi:18,Calibration_semi,3
499,66,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,stage2_calibration_semi:18,Calibration_semi,2
499,83,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,stage2_calibration_semi:18,Calibration_semi,4
501,56,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,stage3_validation_semi:31,Validation_semi,3
501,68,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,stage3_validation_semi:31,Validation_semi,2
501,85,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,stage3_validation_semi:31,Validation_semi,4
502,57,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,stage3_validation_semi:59,Validation_semi,3
502,69,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,stage3_validation_semi:59,Validation_semi,2
502,86,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,stage3_validation_semi:59,Validation_semi,4
503,58,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,stage3_validation_semi:1,Validation_semi,3
503,70,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,stage3_validation_semi:1,Validation_semi,2
505,60,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,stage1_prescreen_semi:4,PreScreen_semi,3
505,72,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,stage1_prescreen_semi:4,PreScreen_semi,2
506,61,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,stage3_semiauto_test:95,SemiAuto_Test,3
506,73,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,stage3_semiauto_test:95,SemiAuto_Test,2
509,109,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,stage3_semiauto_test:62,SemiAuto_Test,1
510,110,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,stage3_gold_manual:15,Gold_manual,1
513,113,B6ByNegPMKs_2a1bc1a10d7b45ad902e09cd71767fd9,stage3_semiauto_test:89,SemiAuto_Test,1
515,115,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,stage3_validation_semi:37,Validation_semi,1
516,116,B6ByNegPMKs_8c414a8052c844b4bcd5dc3fadde7f8c,stage0_pilot_manual:12,Pilot,1
517,117,uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,stage0_pilot_manual:3,Pilot,1
519,119,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,stage3_validation_semi:12,Validation_semi,1
520,120,B6ByNegPMKs_e5567bd5fa2d4fde8a6b9f15e3274a7e,stage3_semiauto_test:98,SemiAuto_Test,1
522,122,uNb9QFRL6hY_84722e58b32f4646acc12614994f835b,stage3_validation_semi:46,Validation_semi,1
527,127,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,stage2_calibration_semi:20,Calibration_semi,1
529,129,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,stage3_semiauto_test:83,SemiAuto_Test,1
530,130,q9vSo1VnCiC_46281f6c32544ffe90e6d88f539c4232,stage3_semiauto_test:36,SemiAuto_Test,1
531,131,B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210,stage2_calibration_semi:23,Calibration_semi,1
532,132,uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32,stage2_calibration_semi:1,Calibration_semi,1
535,135,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,stage3_semiauto_test:12,SemiAuto_Test,1
536,136,UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8,stage3_validation_semi:8,Validation_semi,1
540,140,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,stage2_calibration_semi:2,Calibration_semi,1
541,141,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,stage3_semiauto_test:90,SemiAuto_Test,1
542,142,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,stage3_semiauto_test:13,SemiAuto_Test,1
543,143,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,stage3_semiauto_test:58,SemiAuto_Test,1
545,145,wc2JMjhGNzB_872459df29ef4f158108fbfcb3225090,stage1_prescreen_semi:25,PreScreen_semi,1
548,148,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,stage2_calibration_semi:11,Calibration_semi,1
