stage,base_task_id,canonical_annotation_id,worker_id,canonical_geometry,consensus_status,consensus_medoid_annotation_id,source_artifact,source_sha256
P1,3053,738a28459a248984,1,"[[63.5,352.0],[71.5,201.0],[360.0,143.0],[364.0,378.0],[443.5,83.5],[451.5,445.5],[662.0,127.5],[664.0,437.5],[833.0,445.5],[837.0,115.5],[978.5,189.0],[980.5,370.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,8857a2ec2d3444ba,10,"[[63.5,366.5],[66.5,191.0],[348.5,391.0],[351.5,145.5],[630.0,424.0],[636.0,130.5],[972.5,363.5],[975.5,188.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,538db2a79188e4ef,11,"[[69.5,336.0],[70.5,193.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,13f3eff18a52453b,12,"[[64.5,317.0],[66.5,192.0],[352.5,152.0],[352.5,348.5],[661.0,423.5],[665.5,121.0],[974.0,192.0],[974.0,369.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,ae0b6b00e971f182,13,"[[68.0,194.5],[69.5,341.5],[351.0,415.5],[351.5,147.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,8fceb8fe7a91b34c,14,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[354.5,421.5],[665.0,429.5],[667.0,127.5],[973.0,191.0],[973.5,362.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,d0af5ad0523f8433,15,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[359.0,412.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,07e393557408ab30,17,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,d7d3126eb509dcae,18,"[[43.5,209.0],[43.5,332.0],[354.5,146.5],[354.5,418.0],[643.5,124.0],[643.5,436.5],[992.5,215.0],[992.5,333.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,ee2e59495db1c2bf,19,"[[65.5,347.5],[73.0,200.0],[353.0,140.0],[446.5,73.0],[450.5,440.0],[975.0,191.0],[976.5,353.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,cebf574498a5a20d,2,"[[43.5,209.0],[43.5,332.0],[354.5,146.5],[354.5,418.0],[643.5,124.0],[643.5,436.5],[992.5,215.0],[992.5,333.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,695653e48b0aca59,21,"[[68.0,191.5],[72.0,335.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,bc019effee879dd8,6,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3053,0e52fffeabd5cf25,8,"[[72.0,192.0],[72.0,362.5],[354.5,147.0],[354.5,410.5],[666.5,124.0],[666.5,436.5],[979.0,192.0],[979.0,366.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,9e9998c2efb5ea77,1,"[[131.0,415.5],[139.0,135.0],[463.5,338.0],[473.0,201.0],[634.5,429.5],[642.0,113.5],[656.0,437.5],[658.0,109.5],[708.0,127.5],[710.0,334.0],[716.0,230.5],[724.0,413.5],[767.5,332.0],[771.5,230.5],[887.0,141.0],[891.0,413.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,4a5ea8f6ba8ecaab,10,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[706.0,409.0],[872.5,409.0],[881.5,139.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,1a1637b695381c15,11,"[[127.0,414.0],[129.5,129.5],[476.0,203.5],[478.0,328.5],[541.0,337.5],[543.0,196.5],[693.5,430.0],[707.5,132.0],[887.5,425.5],[890.0,129.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,f40efaca8c5d3bf1,12,"[[125.0,415.0],[127.0,127.0],[475.5,315.0],[477.5,202.5],[536.0,198.0],[546.5,340.0],[707.0,127.0],[721.5,406.5],[872.0,402.5],[874.0,139.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,27682bb9932ff2bb,13,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[706.0,409.0],[872.5,409.0],[881.5,139.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,8aa86d5f3b887423,14,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[710.5,415.5],[886.0,415.5],[888.0,139.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,847ff1091d8cc648,15,"[[132.0,129.0],[133.5,414.0],[357.5,120.5],[359.0,420.0],[705.0,125.0],[710.5,418.5],[869.5,405.5],[878.0,140.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,2794795e8c4e927b,17,"[[131.0,128.0],[133.0,413.5],[475.0,204.0],[475.0,325.5],[538.0,326.5],[539.5,200.0],[658.5,440.0],[659.5,98.0],[708.5,125.5],[714.0,413.5],[876.5,403.0],[879.0,136.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,174759c006c73ec0,18,"[[132.0,129.5],[133.0,415.0],[459.0,179.5],[459.0,345.0],[658.0,96.0],[658.0,439.5],[878.0,139.0],[878.0,406.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,cf3e0b1c47e35600,19,"[[127.0,129.5],[132.0,416.0],[462.0,341.5],[464.5,210.5],[544.0,188.5],[700.5,428.5],[703.0,128.5],[880.5,422.0],[884.0,145.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,27f4ffac099bc05b,2,"[[132.0,129.5],[133.0,415.0],[459.0,179.5],[459.0,345.0],[636.0,430.5],[640.0,106.0],[658.0,96.0],[658.0,439.5],[676.0,215.0],[676.0,312.5],[704.5,123.0],[704.5,417.5],[737.5,210.0],[737.5,322.5],[878.0,139.0],[878.0,406.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,1e50979e05536fe2,21,"[[127.0,414.0],[129.5,129.5],[476.0,203.5],[478.0,328.5],[541.0,337.5],[543.0,196.5],[703.0,129.0],[709.5,422.5],[887.5,425.5],[890.0,129.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,305e3cb3e8b1c4f1,6,"[[131.0,128.0],[133.0,413.5],[475.0,204.0],[475.0,325.5],[538.0,326.5],[539.5,200.0],[658.5,440.0],[659.5,98.0],[708.5,125.5],[714.0,413.5],[876.5,403.0],[879.0,136.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3054,823b2c9be72218a8,8,"[[133.5,127.0],[133.5,415.0],[360.5,121.0],[360.5,421.0],[709.0,127.0],[709.0,412.0],[887.5,139.5],[887.5,406.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,8f088bc3d38ce05a,1,"[[195.0,173.0],[205.0,356.0],[421.5,324.0],[429.5,213.0],[596.5,205.0],[596.5,332.0],[839.0,364.0],[843.0,181.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
