record_type,stage,worker_id,task_id,base_task_id,canonical_annotation_id,exclusion_reason,source_rule,source_artifact,source_sha256,decision_stage,decision_time_or_version,status
submission,C1,31,700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,7827115ee28a13736728,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,34,700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,12de7c2bb761564cdeed,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,31,710,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,304ee8c32f0bfc188cb9,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,31,587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,1c3df8c137a169fee41d,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,31,479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,45580730e6338599d29d,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,34,596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,745e6f7ed41f5f3abf93,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,31,678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,e60a469385801f4c1279,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,31,500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,71770e90ca7c5a392b52,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C1,10,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,69b441eb87332bb0e6ed,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,C1,2026-08-17_v2,excluded_from_relevant_estimand
submission,C2A-RP-B1,28,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,f8c20f06811c7321e708,canonical_geometry_invalid,Prompt_1_data_qualification_v2,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b,C2A-RP-B1,2026-08-17_v2,excluded_from_relevant_estimand
