canonical_annotation_id,image_id,worker_id,effective_point_count,geometry_valid,geometry_failure,imputed_point,main_worker_included,quality,active_seconds,top_signed_pixels,floor_signed_pixels,band_width_bias_pixels,building,scope,condition
1870bb9b73b8e731,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W001,8,True,,False,True,,38,,,,7y3sRwLe3Va,oos,oos
95c53ad8a5a96289,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W010,12,True,,False,True,,153,,,,7y3sRwLe3Va,in_scope,oos
255bcfbc04e42564,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W011,20,True,,False,True,,278,,,,7y3sRwLe3Va,oos,oos
9e238cb62af7d82e,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W012,20,True,,False,True,,,,,,7y3sRwLe3Va,in_scope,oos
dcf84084e2f4a4bf,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W013,8,True,,False,True,,84,,,,7y3sRwLe3Va,in_scope,oos
85ae90c2f81b66df,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W014,20,True,,False,True,,,,,,7y3sRwLe3Va,oos,oos
c345eac5108fcf77,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W015,20,True,,False,True,,295,,,,7y3sRwLe3Va,oos,oos
db928628d69b3f0a,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W017,8,True,,False,True,,67,,,,7y3sRwLe3Va,in_scope,oos
4785d000f2625c42,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W018,20,True,,False,True,,259,,,,7y3sRwLe3Va,in_scope,oos
dc2410f47b0ae7f6,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W002,8,True,,False,True,,16,,,,7y3sRwLe3Va,oos,oos
e5a17929a8d3ddab,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W021,20,True,,False,True,,348,,,,7y3sRwLe3Va,oos,oos
03e01729807e10b2,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W027,20,True,,False,True,,459,,,,7y3sRwLe3Va,oos,oos
8cd45265d79ac735,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W028,20,True,,False,True,,233,,,,7y3sRwLe3Va,in_scope,oos
f7889df0393772a8,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W029,16,True,,False,True,,494,,,,7y3sRwLe3Va,in_scope,oos
42cd5a13d2ad90e1,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W030,18,True,,False,True,,126,,,,7y3sRwLe3Va,oos,oos
8044ecb0849dfec0,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W031,20,True,,False,True,,,,,,7y3sRwLe3Va,in_scope,oos
31ba2b8e12c0dae4,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W032,22,True,,False,True,,277,,,,7y3sRwLe3Va,oos,oos
8ada6a2e55916c35,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W033,16,True,,False,True,,445,,,,7y3sRwLe3Va,oos,oos
5dec5e1874a7a054,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W034,20,True,,False,True,,,,,,7y3sRwLe3Va,in_scope,oos
b66bb9496c68e5be,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W035,20,True,,False,True,,,,,,7y3sRwLe3Va,oos,oos
9f069c3bb68abdf2,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W036,12,True,,False,True,,357,,,,7y3sRwLe3Va,oos,oos
60bba1fdafe4c9bd,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W037,14,True,,False,True,,759,,,,7y3sRwLe3Va,in_scope,oos
62350f1ba1f6f629,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W006,20,True,,False,True,,244,,,,7y3sRwLe3Va,in_scope,oos
ced04aaa4e1efa7e,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W008,20,True,,False,True,,546,,,,7y3sRwLe3Va,oos,oos
a800c13498de5044,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W001,8,True,,False,True,,44,,,,7y3sRwLe3Va,oos,oos
82fb1dbda549df08,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W010,8,True,,False,True,,88,,,,7y3sRwLe3Va,in_scope,oos
b2e72f1eccfff1ce,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W011,14,True,,False,True,,412,,,,7y3sRwLe3Va,oos,oos
a3ab6a5900bc68ec,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W012,8,True,,False,True,,,,,,7y3sRwLe3Va,in_scope,oos
0425a943a10eec7b,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W013,8,True,,False,True,,28,,,,7y3sRwLe3Va,in_scope,oos
58c295ccb812be32,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W014,14,True,,False,True,,,,,,7y3sRwLe3Va,oos,oos
27dbf5c9cdf792b8,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W015,8,True,,False,True,,99,,,,7y3sRwLe3Va,in_scope,oos
3aa0bf741c4b39c3,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W017,8,True,,False,True,,76,,,,7y3sRwLe3Va,in_scope,oos
bf04983c0e9d6481,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W018,16,True,,False,True,,325,,,,7y3sRwLe3Va,in_scope,oos
2cb026abc8f06cca,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W002,8,True,,False,True,,15,,,,7y3sRwLe3Va,oos,oos
c16f76b61a0c2732,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W021,8,True,,False,True,,47,,,,7y3sRwLe3Va,in_scope,oos
1c503eddee825845,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W027,12,True,,False,True,,231,,,,7y3sRwLe3Va,oos,oos
