source_path,source_paths_json,dataset_id,asset_type,status,task_unit,tasks,images,annotations,annotation_basis,workers,k_min,k_median,k_max,k_basis,condition,can_merge_with_other_pools,merge_rule,overlap,evidence,unresolved_questions
"import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json","[""import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json""]","p1_manual_import_v2","import_definition","formal","import_task",30,30,0,"import_has_no_observed_annotations",,,,,"not_applicable_import_definition","manual","yes_with_deduplication","Membership source for P1 Manual exports; never add import rows to export annotations.","30/30 images match the P1 part of high_density_42.","Recomputed from JSON array length and distinct data.base_task_id.","Import does not encode worker roster or achieved K."
"export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json","[""export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json""]","p1_manual_zh_project28_raw","label_studio_export","formal","runtime_task",30,30,420,"observed_non_cancelled_raw",14,14,14,14,"raw_non_cancelled_per_base_image","manual","yes_with_deduplication","Combine with project 39 by base_task_id and canonical identity.","All 30 images are in high_density_42; zero overlap with DEV5.","Recomputed directly from task annotations and completed_by.","420 is one language/project slice, not final bilingual canonical support."
"export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json","[""export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json""]","p1_manual_en_project39_raw","label_studio_export","formal","runtime_task",30,30,362,"observed_non_cancelled_raw",12,11,12,13,"raw_non_cancelled_per_base_image","manual","yes_with_deduplication","Combine with project 28 by base_task_id and canonical identity.","Same 30 P1 Manual images as project 28 and high_density_42.","Recomputed directly from task annotations and completed_by.","Raw union contains records removed by canonical selection."
"export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json + export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json","[""export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json"",""export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json""]","p1_manual_bilingual_raw_union","recomputed_raw_union","formal","runtime_task_across_two_projects",60,30,782,"observed_non_cancelled_raw_union",26,25,26,27,"raw_non_cancelled_per_base_image_after_project_union","manual","yes_with_deduplication","Canonical selection required; selected support is 779, not 782.","Exactly the 30 P1 images in high_density_42; P1-C1 base overlap is zero.","Recomputed directly from both JSON exports.","Three raw rows are not retained by selected-canonical view."
"import_json/calibration_c1_v3_1_formal/c1_v3_1_anchor_import_foreign_https.json + import_json/calibration_c1_v3_1_formal/c1_v3_1_anchor_import_zh_with_gt_id2_v1.json","[""import_json/calibration_c1_v3_1_formal/c1_v3_1_anchor_import_foreign_https.json"",""import_json/calibration_c1_v3_1_formal/c1_v3_1_anchor_import_zh_with_gt_id2_v1.json""]","c1_anchor_bilingual_imports","import_definition_union","formal","import_task_across_two_language_projects",24,12,0,"imports_have_no_observed_annotations",,,,,"not_applicable_import_definition","manual","yes_with_deduplication","Two language packages contain the same 12 base images.","The 12 images are the C1 part of high_density_42; P1-C1 overlap is zero.","Recomputed from both JSON arrays and distinct data.base_task_id.","Imports do not encode achieved support."
"export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json","[""export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json""]","c1_anchor_en_project66_raw","label_studio_export","formal","runtime_task",12,12,135,"observed_non_cancelled_raw",11,11,11,13,"raw_non_cancelled_per_base_image","manual","yes_with_deduplication","Combine with project 69 by base_task_id and canonical identity.","All 12 images are in C1 part of high_density_42.","Recomputed directly from JSON export.","Raw support includes versions removed by canonical selection."
"export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json","[""export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json""]","c1_anchor_zh_project69_raw","label_studio_export","formal","runtime_task",12,12,144,"observed_non_cancelled_raw",12,12,12,12,"raw_non_cancelled_per_base_image","manual","yes_with_deduplication","Combine with project 66 by base_task_id and canonical identity.","All 12 images are in C1 part of high_density_42.","Recomputed directly from JSON export.","Raw support includes versions removed by canonical selection."
"export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json + export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json","[""export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json"",""export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json""]","c1_anchor_bilingual_raw_union","recomputed_raw_union","formal","runtime_task_across_two_projects",24,12,279,"observed_non_cancelled_raw_union",23,23,23,25,"raw_non_cancelled_per_base_image_after_project_union","manual","yes_with_deduplication","Canonical selection reduces this view to 276 records and K=23 on every image.","Exactly the 12 C1 images in high_density_42; zero overlap with P1 Manual or DEV5.","Recomputed directly from both JSON exports.","Three raw rows are not retained by selected-canonical view."
"analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv","[""analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv""]","high_density_42_selected","derived_analysis_manifest","formal","stage_x_base_image",42,42,1055,"selected_canonical_sum",26,23,26,26,"selected support; strict-valid sum=1013 and K=23..26 median=24","manual","no_additive_merge","Canonical derived view of P1 Manual plus C1 anchor; do not add to underlying exports.","30 images overlap projects 28/39; 12 overlap projects 66/69; DEV5 overlap zero; P1-C1 overlap zero.","Recomputed from metrics CSV; worker union verified against independent_canonical_records.csv.","Formal means derived from formal historical exports, not a new prospective experiment."
"export_label/stage2_English/project-67-at-2026-07-30-13-01-f5126135.json + export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json","[""export_label/stage2_English/project-67-at-2026-07-30-13-01-f5126135.json"",""export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json""]","c1_core_manual_bilingual_raw_union","recomputed_raw_union","formal","runtime_task_across_two_projects",143,75,401,"observed_non_cancelled_raw_union",23,5,5,7,"raw_non_cancelled_per_base_image_after_project_union","manual","conditional_stratified_only","May join a broader Manual analysis as lower-density C1-core; not part of high_density_42.","Not selected into high_density_42 because K is 5..7.","Recomputed directly from both JSON exports.","Prospective use needs a predeclared lower-density role."
"import_json/stage1_prescreen_final_20260325/stage1_prescreen_semi_import_v5.json","[""import_json/stage1_prescreen_final_20260325/stage1_prescreen_semi_import_v5.json""]","p1_semi_import_v5","import_definition","formal","import_task",18,18,0,"import_has_no_observed_annotations",,,,,"not_applicable_import_definition","semi","conditional_stratified_only","Defines P1 Semi membership; do not combine with Manual as one condition.","DEV5 is exact 5-image subset; overlap with high_density_42 is zero.","Recomputed from JSON and base-ID intersections.","Import does not encode achieved support."
"export_label/stage1_English/project-40-at-2026-06-28-05-14-bb74a057.json + export_label/stage1_chinese/project-29-at-2026-06-30-09-00-e7ea6931.json","[""export_label/stage1_English/project-40-at-2026-06-28-05-14-bb74a057.json"",""export_label/stage1_chinese/project-29-at-2026-06-30-09-00-e7ea6931.json""]","p1_semi_bilingual_raw_union","recomputed_raw_union","formal","runtime_task_across_two_projects",36,18,469,"observed_non_cancelled_raw_union",26,26,26,27,"raw_non_cancelled_per_base_image_after_project_union","semi","conditional_stratified_only","Canonical selection required; DEV5 is a non-additive subset.","DEV5 overlap 5/5 images; high_density_42 overlap zero.","Recomputed directly from both JSON exports.","Raw union includes versions not all retained by canonical selection."
