evidence_id,metric_group,value,unit,denominator,definition,source_path,generator_path,verification_level,verification_detail,limitations,conflict_status,conflict_note
"variance.geometry.task_share_pct","crossed_variance_geometry","65.25161438970702","percent","n_rows=2168; n_tasks=205; n_workers=26; n_task_worker_cells=2168; n_rows_dropped=0","task_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=每个 stage|condition|base_task 单元内，将 pairwise cyclic RMSE 分摊到两名工人后得到的 worker-task 平均几何分歧。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","描述性 crossed random-intercept 模型；task 是 stage×condition×image cell；worker 仅为跨任务主效应；residual 混合 item×worker 反应、测量误差与遗漏因素；MLE 有边界警告。","none",""
"variance.geometry.worker_share_pct","crossed_variance_geometry","2.753519441473816","percent","n_rows=2168; n_tasks=205; n_workers=26; n_task_worker_cells=2168; n_rows_dropped=0","worker_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=每个 stage|condition|base_task 单元内，将 pairwise cyclic RMSE 分摊到两名工人后得到的 worker-task 平均几何分歧。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","描述性 crossed random-intercept 模型；task 是 stage×condition×image cell；worker 仅为跨任务主效应；residual 混合 item×worker 反应、测量误差与遗漏因素；MLE 有边界警告。","none",""
"variance.geometry.residual_share_pct","crossed_variance_geometry","31.99486616881917","percent","n_rows=2168; n_tasks=205; n_workers=26; n_task_worker_cells=2168; n_rows_dropped=0","residual_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=每个 stage|condition|base_task 单元内，将 pairwise cyclic RMSE 分摊到两名工人后得到的 worker-task 平均几何分歧。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","描述性 crossed random-intercept 模型；task 是 stage×condition×image cell；worker 仅为跨任务主效应；residual 混合 item×worker 反应、测量误差与遗漏因素；MLE 有边界警告。","none",""
"variance.quality_iou.task_share_pct","crossed_variance_quality_iou","55.98989294976578","percent","n_rows=717; n_tasks=79; n_workers=23; n_task_worker_cells=715; n_rows_dropped=1784","task_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=reference-relative IoU。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","仅数值有效、可连接 reference 的 717 行；1784 行因缺失/无效被删；reference-relative quality 不等于唯一可见图像真值；MLE 有边界警告。","none",""
"variance.quality_iou.worker_share_pct","crossed_variance_quality_iou","2.9134814164106335","percent","n_rows=717; n_tasks=79; n_workers=23; n_task_worker_cells=715; n_rows_dropped=1784","worker_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=reference-relative IoU。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","仅数值有效、可连接 reference 的 717 行；1784 行因缺失/无效被删；reference-relative quality 不等于唯一可见图像真值；MLE 有边界警告。","none",""
"variance.quality_iou.residual_share_pct","crossed_variance_quality_iou","41.09662563382358","percent","n_rows=717; n_tasks=79; n_workers=23; n_task_worker_cells=715; n_rows_dropped=1784","residual_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=reference-relative IoU。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","仅数值有效、可连接 reference 的 717 行；1784 行因缺失/无效被删；reference-relative quality 不等于唯一可见图像真值；MLE 有边界警告。","none",""
"variance.log1p_active_time.task_share_pct","crossed_variance_log1p_active_time","11.556253600869272","percent","n_rows=2069; n_tasks=214; n_workers=24; n_task_worker_cells=2069; n_rows_dropped=432","task_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=log1p(owner-valid task-worker active seconds)。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","不用 Label Studio lead_time；432 行无有效时间而删除；worker 方差反映稳定节奏而非能力或质量；residual 混合 item×worker effort 与其他变异。","none",""
"variance.log1p_active_time.worker_share_pct","crossed_variance_log1p_active_time","51.7178376649988","percent","n_rows=2069; n_tasks=214; n_workers=24; n_task_worker_cells=2069; n_rows_dropped=432","worker_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=log1p(owner-valid task-worker active seconds)。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","不用 Label Studio lead_time；432 行无有效时间而删除；worker 方差反映稳定节奏而非能力或质量；residual 混合 item×worker effort 与其他变异。","none",""
"variance.log1p_active_time.residual_share_pct","crossed_variance_log1p_active_time","36.72590873413193","percent","n_rows=2069; n_tasks=214; n_workers=24; n_task_worker_cells=2069; n_rows_dropped=432","residual_variance / (task_variance + worker_variance + residual_variance) × 100；outcome=log1p(owner-valid task-worker active seconds)。","analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv","tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py; tools/thesis_main/analysis/full_uncertainty/full_uncertainty_stats_v5.py","recomputed","从机器表三项原始方差分量重新求和并计算占比；与 human_component_summary.csv 和 v2 草稿显示精度一致。","不用 Label Studio lead_time；432 行无有效时间而删除；worker 方差反映稳定节奏而非能力或质量；residual 混合 item×worker effort 与其他变异。","none",""
"active_time.task_adjusted_profile.n","task_adjusted_active_time_profile","22","workers","total_worker_profiles=26; estimated_time_profiles=22","WORKER_FACT.CSV 中 T_active_task_adjusted 非空且 profile_status=estimated 的工人数。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
