worker_id,public_worker_code,task_id,task_code,zh_task_code,inner_id,planned_project_code,assignment_batch_id,expected_completion_order,selected_design_sha,source_assignment_sha256,source_import_sha256,internal_only
1,W001,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
1,W001,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
1,W001,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
1,W001,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
10,W010,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
10,W010,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
10,W010,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
10,W010,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
11,W011,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
11,W011,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
11,W011,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
11,W011,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
12,W012,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
12,W012,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
12,W012,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
12,W012,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
13,W013,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
13,W013,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
13,W013,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
13,W013,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
15,W015,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
15,W015,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
15,W015,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
15,W015,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
17,W017,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
17,W017,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
17,W017,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
17,W017,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
18,W018,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
18,W018,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
18,W018,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
18,W018,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
2,W002,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,D-005,任务4-005,5,D,C2B_BATCH_A,1,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
2,W002,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,D-011,任务4-011,11,D,C2B_BATCH_A,2,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
2,W002,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,D-001,任务4-001,1,D,C2B_BATCH_A,3,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
2,W002,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,D-034,任务4-034,34,D,C2B_BATCH_A,4,f2b7cde8aadf29fb35a965ec49b434587feaa1c09863f74cf0e95e02e3462822,5e43e682a46211fb35ed5588b0f22b2853997236bff814f14f1306246907a07c,7e66c2aacc7929d11e98df3d918da6fa2cf1cd73c58f19bdd77eeea1e3a4021e,true
