group_code,image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation
G047,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,S9hNv5qa7GM,6,data/mp3d_layout/valid/img/S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636.png,valid,主卧床区,蓝床、深色墙裙、双窗围合,浴室入口独立；床及镜面遮挡,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G047,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G047,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,S9hNv5qa7GM,10,data/mp3d_layout/valid/img/S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54.png,valid,主卧近入口,06同一主卧床区,浴室门在接缝两侧，入口较近,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G047,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,15,data/mp3d_layout/valid/img/S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf.png,valid,主卧镜面床尾侧,06主卧范围,镜面不能当另一房间,20,20,20,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G047,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G047,S9hNv5qa7GM_dbcf0a37c275473094e1160770291679,S9hNv5qa7GM,17,data/mp3d_layout/valid/img/S9hNv5qa7GM_dbcf0a37c275473094e1160770291679.png,valid,主卧靠侧墙,06主卧范围,墙角与床旁遮挡,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G047,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G047,S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d,S9hNv5qa7GM,19,data/mp3d_layout/valid/img/S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d.png,valid,主卧入口内侧,06主卧床和双窗围合,入口多见但主卧仍占主区域,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G047,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G207,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,wc2JMjhGNzB,4,data/mp3d_layout/test/img/wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde.png,test,米色空卧室,双窄窗、单扇外门、浴室和衣柜门之间完整空房,遮挡少，卫浴和衣柜透视范围需区分。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,无法判断,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G206;G207,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,15,data/mp3d_layout/test/img/wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.png,test,米色空卧室靠卫浴门,与04对应的空卧室围合,近处卫浴门呈现坐便、洗手台及高窗，跨门范围信息比04明显增加。,26,26,24,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,无法判断,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G207,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G207,wc2JMjhGNzB_77962388887942148ee65c2892600e02,wc2JMjhGNzB,40,data/mp3d_layout/test/img/wc2JMjhGNzB_77962388887942148ee65c2892600e02.png,test,米色空卧室入口侧,与04同一空卧室围合,空墙少遮挡，衣柜/卫浴口和外门可对应。,26,0,0,26,0,20,0,0,20,20,20,,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,无法判断,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G207,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G207,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,wc2JMjhGNzB,45,data/mp3d_layout/test/img/wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c.png,test,米色空卧室靠衣柜门,与04同一空卧室围合,衣柜内信息较多，门边近景遮挡不同，主体仍空卧室。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,无法判断,user_reviewed_disagreement_subset,暂不归入,,G207,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G237,yqstnuAEVhm_19e4188fa39244378481dcdb18c42dbe,yqstnuAEVhm,2,data/mp3d_layout/test/img/yqstnuAEVhm_19e4188fa39244378481dcdb18c42dbe.png,test,正式餐厅靠厨房门,长餐桌及餐厅围合，旁侧通厨房,近门同时展示厨房，跨门范围比室内视点更不确定,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G237;G238,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
