candidate_id,building,n_images,numbers,image_ids,manual_counts,n_manual_ge19,n_manual_ge5,low_candidate,review_state,raw_decision,difficulty_similarity,physical_same_supported,comparable_for_prediction,oos_pending,outcome_exposure,issue_tags,selection_hold_reasons
G001,2t7WUuJeko7,4,1;11;13;14,2t7WUuJeko7_073656b4030d4389ba7f304298be1d73;2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847;2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a;2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a,0;0;1;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G002,2t7WUuJeko7,5,2;3;5;10;17,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59;2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94;2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e;2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371;2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,0;0;0;0;0,0,0,True,viewed_per_user_statement,优先候选,可能出现小幅歧义,True,True,False,False,视角信息困难,
G003,2t7WUuJeko7,2,4;6,2t7WUuJeko7_27af7fd637014142a4f530cfd4557189;2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,0;3,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G004,2t7WUuJeko7,3,8;15;16,2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820;2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc;2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134,0;0;0,0,0,True,explicit_discussion,优先候选,预期相近,True,True,False,False,,
G005,2t7WUuJeko7,2,9;12,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866;2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,3;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G006,7y3sRwLe3Va,2,1;5,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09;7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,0;0,0,0,False,viewed_per_user_statement,不支持,待定,False,False,False,False,,主空间或范围可比性未满足
G007,7y3sRwLe3Va,2,1;23,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09;7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,0;5,0,1,False,viewed_per_user_statement,不支持,待定,False,False,False,False,,主空间或范围可比性未满足
G008,7y3sRwLe3Va,2,2;4,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44;7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,0;25,1,1,False,viewed_per_user_statement,待定,待定,False,False,False,False,,主空间或范围可比性未满足
G009,7y3sRwLe3Va,2,3;7,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211;7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,5;0,0,1,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,难标,
G010,7y3sRwLe3Va,2,3;11,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211;7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,5;0,0,1,False,viewed_per_user_statement,待定,待定,False,False,False,False,,主空间或范围可比性未满足
