image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7,1,data/mp3d_layout/valid/img/2t7WUuJeko7_073656b4030d4389ba7f304298be1d73.png,valid,花纹墙纸卧室全体,床区、窗墙及帘封凹口所在围合,凸入/凹入壁面和床后遮挡；与11视点接近,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G001,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7,2,data/mp3d_layout/valid/img/2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59.png,valid,老式炉灶与白色橱柜厨房,厨房内小桌、固定橱柜与炉灶凸墙围合,炉灶遮住局部墙脚；通外餐室的窄门可见,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,3,data/mp3d_layout/valid/img/2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94.png,valid,白色玻璃吊柜厨房,与02相同厨房边界,近橱柜使墙脚被柜体遮挡，外餐室仅门后局部,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,2t7WUuJeko7,4,data/mp3d_layout/valid/img/2t7WUuJeko7_27af7fd637014142a4f530cfd4557189.png,valid,彩玻前门内狭长前厅,前门至内侧多个门洞之间的通道,各独立房间在门后出现，存在跨门范围选择,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G003,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,5,data/mp3d_layout/valid/img/2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e.png,valid,炉灶旁厨房,与02相同厨房围合，餐室在独立开门之后,较靠近炉灶及外餐室门，门后信息更显著,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,6,data/mp3d_layout/valid/img/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.png,valid,彩玻前门内狭长前厅,与04相同前厅通道,卧室、浴室及餐室门洞并见，视点沿走廊移动,3,3,3,0,3,3,17,20,17,17,0,8;31;34,1;2;6;10;11;12;13;15;17;28;29;30;32;33;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G003,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_53937db036374126830e0f1203b04ead,2t7WUuJeko7,7,data/mp3d_layout/valid/img/2t7WUuJeko7_53937db036374126830e0f1203b04ead.png,valid,浴室入口与前厅同时显著,浴室围合与前厅围合两种范围解释并存,入口视点明显，不能与纯浴室内部图按相同信息条件优先配对,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,交界候选,G004,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7,8,data/mp3d_layout/valid/img/2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820.png,valid,独立浴缸、洗手盆和高水箱浴室,狭长浴室及尽端白柜凹处,固定设备挡墙脚；前厅仅远端开口出现,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,9,data/mp3d_layout/valid/img/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.png,valid,条纹墙纸卧室,双床、窗和入口构成的卧室围合,床体与家具遮挡局部墙脚,3,3,3,0,3,3,17,20,17,17,0,8;31;34,1;2;6;10;11;12;13;15;17;28;29;30;32;33;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G005,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,10,data/mp3d_layout/valid/img/2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371.png,valid,厨房靠后门小餐桌一端,同一厨房整体，含炉灶凸墙和橱柜,靠后门位置使远端厨房缩小；仍非独立餐室,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
