image_id,condition,expert_tag,previous_grade,draft_grade,n_valid,total_clusters,supported_clusters,singletons,sizes_descending,questions,affected_conclusion,canonical_ids,workers,mode_medoid_ids,user_verdict
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,,difficult_candidate,,24,7,2,5,17;2;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;8a6c9350ded9f505;1106d9b3309125ae;b11846422ee8df2c;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;843ee33e6df34cd4;618e8cec7d276f9c;c0d2a3ea11db107a;5ff7ca831e9c5ad8;b8541e4707e39e94;4d2388c60747a53d;1bbc73c77d272720;c4bc31bc73053a93;e2305061fc73b67a;e805d3344d24834a,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,3d27ec416166fb40;8a6c9350ded9f505;b11846422ee8df2c;843ee33e6df34cd4;618e8cec7d276f9c;1bbc73c77d272720;e805d3344d24834a,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,中等,,,6,3,1,2,4;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;c63d05f140fcc66be4df;6051dfca1aade85a07a8;e6f01175aabbf9fcafe7;dec8403a4ddac6db3115,W008;W014;W018;W031;W032;W034,74c45cde6e9ca313500c;c63d05f140fcc66be4df;e6f01175aabbf9fcafe7,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,中等,simple,simple_candidate,4,1,1,0,4,观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,W006;W011;W033;W036,4486738211819be8d3d4,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,,difficult_candidate,difficult_candidate,24,15,5,10,6;2;2;2;2;1;1;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,c87d232365323163;60f415b63bc6abc8;902c7685cf8d8d7f;b9d7de702dfef712;6ef72d6a7373d51d;6b6025969bfa55d0;86bcdfbf6785b83b;901942d47886d494;645a19e0d1eff33f;cede48245acaf369;a10544ac2d404470;aff097a10b8a446c;26f5958a9b8dbc72;2c474f6a00577ed6;1bb726e611007d9d;1614c0e2e49fb8a1;78a68354a388042f;25a1d0d06f3c7ffa;dd72228423710274;4a3402faafe5ac31;723bcf1f4f6f7bf5;786190bfb0e48244;07ee953d1535b28d;90218eb4d8649c74,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,c87d232365323163;60f415b63bc6abc8;902c7685cf8d8d7f;b9d7de702dfef712;6ef72d6a7373d51d;6b6025969bfa55d0;86bcdfbf6785b83b;2c474f6a00577ed6;1bb726e611007d9d;1614c0e2e49fb8a1;78a68354a388042f;25a1d0d06f3c7ffa;dd72228423710274;4a3402faafe5ac31;723bcf1f4f6f7bf5,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,,difficult_candidate,,24,8,3,5,14;3;2;1;1;1;1;1,同点数支持簇之间多数配对仍在兼容阈值内：是连续定位波动被切开，还是不同范围解释？；逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,738a28459a248984;cebf574498a5a20d;bc019effee879dd8;0e52fffeabd5cf25;8857a2ec2d3444ba;538db2a79188e4ef;13f3eff18a52453b;ae0b6b00e971f182;8fceb8fe7a91b34c;d0af5ad0523f8433;07e393557408ab30;d7d3126eb509dcae;695653e48b0aca59;0e553d8ef8642a3a;d131babd2149e6ec;e980366a2f06439c;156dc163a5b76144;d96adfcf5b879a5d;3fbcb7812c80e839;58a8d69137385a19;5da232bc43b7c975;9eb205969fffe5f7;1b8adc7d1227c62b;66c78f1594586d3b,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,738a28459a248984;cebf574498a5a20d;d0af5ad0523f8433;13f3eff18a52453b;156dc163a5b76144;58a8d69137385a19;9eb205969fffe5f7;66c78f1594586d3b,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,困难,,,2,2,0,2,1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,909609a391f9f07e1416;7b8145a07f5a20482e72,W030;W031,909609a391f9f07e1416;7b8145a07f5a20482e72,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,困难,,medium_candidate,7,3,2,1,4;2;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；原困难预期指不能统一为一个答案，还是连多个模式的分布都不稳定？；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,fde166d2581c8aac76c1;a529ac26f739576c2616;6b330560608f60b295bf;4b65c7d12eb6fbf42766;c2176d956a2b8b97e6b8;37e4bea380270fea5835;f864f814213350fc3e6a,W010;W017;W030;W031;W032;W033;W034,37e4bea380270fea5835;4b65c7d12eb6fbf42766;f864f814213350fc3e6a,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,困难,,medium_candidate,19,6,4,2,8;5;2;2;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；存在单列无效作答；有效子集结论能否代表该图，已确认修正是否准确？；原困难预期指不能统一为一个答案，还是连多个模式的分布都不稳定？,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,6b1d44df0ab19f6b9f32;464d1f8e2646f0b168b2;45ac613c561811cb4a0d;e61e5cb856a564b7a01f;6f7020870942eee83774;6f392909790d7b83bad3;3278b0b885357fd483ef;aefffe82b59c80b70615;999a08307d0cb1737ba3;178ede5b2fef8ba1828e;d8cb18bc158b295d867a;7234128122016861cabd;955fdd77aab2e02c77b7;00c60f620f2c87cd54da;2e25450d5668732450c2;12fdc91e2fd278aac0c7;4f87d786ffa037888bac;e0e306b7d1de04330bc5;9f1b2668af9bbb8c27ab,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W029;W030;W031;W032;W033;W034;W035;W036;W037,6b1d44df0ab19f6b9f32;3278b0b885357fd483ef;e61e5cb856a564b7a01f;6f7020870942eee83774;7234128122016861cabd;12fdc91e2fd278aac0c7,
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,困难,,,5,4,1,3,2;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,0fce729d57cd25ee8f7c;165a2fd857e8341d4a8e;4f5b58a8268243d50888;1907e5aeb8f3d6578ad3;e1491370f166c6c5a7d6,W011;W030;W031;W035;W037,0fce729d57cd25ee8f7c;165a2fd857e8341d4a8e;4f5b58a8268243d50888;e1491370f166c6c5a7d6,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,,difficult_candidate,difficult_candidate,24,15,5,10,5;3;2;2;2;1;1;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,50e0c1d231bdc3e1;37d563a2a56a489c;b9e28e0e52d42c3e;c3c671ad2606cc81;dfeb464b1f6ab259;116113684cacd9cd;38f42c41164cac24;c37f510f32a97089;b94c8e53634b4344;b65da8ecfd28bcec;352bcc94c85fa24a;c99302ecb9582495;a9df090a73a1a89c;f1dd682311fd4140;0dd58701c016b64d;7dbcb72e807e85d2;330b5b8e0a0c2fec;98498bd37758c8be;d8758b5b52e63e50;65a57cac6d5c466f;d9f496f32a9ca809;8caa1a6f8af38d0e;95bec3e4f8012871;452a692a4bf6d4f5,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,50e0c1d231bdc3e1;dfeb464b1f6ab259;a9df090a73a1a89c;116113684cacd9cd;38f42c41164cac24;c37f510f32a97089;0dd58701c016b64d;7dbcb72e807e85d2;98498bd37758c8be;d8758b5b52e63e50;65a57cac6d5c466f;d9f496f32a9ca809;8caa1a6f8af38d0e;95bec3e4f8012871;452a692a4bf6d4f5,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,,difficult_candidate,,24,9,4,5,7;5;4;3;1;1;1;1;1,同点数支持簇之间多数配对仍在兼容阈值内：是连续定位波动被切开，还是不同范围解释？；逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,fa6fde75b32e9284;bd674c6f3557dcdb;25321e0f927c8940;39292048462d8d71;0798eb2f1686b13f;d8931b0022010545;608ec3179e0f4831;053bc215116bc248;6f1a49c5d8f42cf3;fc8f6754ddce3edb;17787d9f67d6b1ea;b3315d6eb3c3734d;053bc4b35d6a7e89;331b667f701c5817;3219998f9692f834;7fe6c3e1ec0a7d2e;27582294b1e86c6a;84b588165daf52f3;52a26360b1a53b44;87529068f0182c0d;cfa6db5cd9de9ae3;1e1b64ea1dae6b40;88d9213c617fe790;36576d4426b599da,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,fa6fde75b32e9284;bd674c6f3557dcdb;053bc4b35d6a7e89;0798eb2f1686b13f;36576d4426b599da;3219998f9692f834;84b588165daf52f3;52a26360b1a53b44;87529068f0182c0d,
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,中等,,,6,2,2,0,3;3,同点数支持簇之间多数配对仍在兼容阈值内：是连续定位波动被切开，还是不同范围解释？；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,8ff7251a7c24a8e0e71e;8af889f37a502f3fa126;f005d5460cd37c229372;dbdc83a7c9f53399480c;f92320ca03fc70c20aea;a431c68f99235de30da3,W002;W006;W008;W012;W013;W015,a431c68f99235de30da3;dbdc83a7c9f53399480c,
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,中等,,,1,1,0,1,1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,61b8048903e56202028a,W017,61b8048903e56202028a,
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,中等,,,3,2,1,1,2;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,fed448617a25d8c8e1a4;ba6ebd8d2cf4230b1479;2b8c21bbedfb62f34a49,W001;W034;W035,fed448617a25d8c8e1a4;ba6ebd8d2cf4230b1479,
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,,difficult_candidate,difficult_candidate,24,17,5,12,4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,9fc7e8e2d9d6bcc3;57c9e6d18d1e8441;e6cf4672ca0a98e0;f3dddcec6bd52333;0def5b6fa7a8c943;6751bda596ab6aa3;870b797b2c22b194;842bcbbca90674ae;ebf6a238abbded76;164460ea4b39a74c;ea3d5e0fe3227ffd;df9f72a9643f2a2e;68f273f5934bd5d6;f89be7fd70fc65db;55515d4fbe62f3d7;caa6d658732cb9af;3a772c253f77d4b7;9c8fbc4acb8cacca;d98e0f6e768e3029;4556c580e92894d6;2385c7af67eeea4e;3d53a4f071f870cb;680d9cdf96eaadf7;90b4dd7e59f67c16,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9fc7e8e2d9d6bcc3;57c9e6d18d1e8441;e6cf4672ca0a98e0;f3dddcec6bd52333;0def5b6fa7a8c943;6751bda596ab6aa3;842bcbbca90674ae;164460ea4b39a74c;ea3d5e0fe3227ffd;df9f72a9643f2a2e;f89be7fd70fc65db;55515d4fbe62f3d7;3a772c253f77d4b7;d98e0f6e768e3029;4556c580e92894d6;2385c7af67eeea4e;680d9cdf96eaadf7,
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,,difficult_candidate,difficult_candidate,24,11,3,8,11;3;2;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,b33e480dcb1ae10b;0284f20459ae4153;fb86982f536c3aaa;bdf5345d612260f9;dd6888e3ad2e47c0;fce565e3270fad1f;c9a58758edb18890;b49af842e8a9a5d6;886e3f4cfcd0e0b8;352ec6e68a3da904;f659d3608c54a9ef;fbc606f95f59c132;384c1de2ec90820f;98e8fe358da56c8f;bf2aab73a5aed79f;a819fde1949e375b;9589363fea90baba;3e9e6ac471e7da2a;e07cd54978722b1e;9cab10e73212c27f;d5f398bdf9e24194;3266c87d109f70bf;1863472107c00fbd;abff623d76a69986,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,b33e480dcb1ae10b;0284f20459ae4153;352ec6e68a3da904;fbc606f95f59c132;a819fde1949e375b;9589363fea90baba;e07cd54978722b1e;9cab10e73212c27f;d5f398bdf9e24194;1863472107c00fbd;abff623d76a69986,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,中等,,medium_candidate,23,4,3,1,18;2;2;1,同点数支持簇之间多数配对仍在兼容阈值内：是连续定位波动被切开，还是不同范围解释？；逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,e141cec3bd166425f47c;cb5e672973105a2a1c43;d14d3e95941e544b31c6;f579b073015ccb5f87b1;e4ccffc7a8756b7b0be4;cc9c520b1f8781f19e31;0ab97a7e7082f598e237;d82cf0aab412ea6e207e;0a6c2ab575a7b36f82bd;e714d76c74a373febbee;0359bc11d268822d94fd;7d1b82da44ed8dd8ef72;e53257d9b7428d4da0f5;b7e7d86f528066fab226;35a9f318fa8bb9909db0;a8282b826c2b83f1c177;bed357bd88baf4c32786;e7b36064adef9c88eb38;423d83b62a6b1fee7af4;a4015419d4289160ce21;46a22bc8081a9f80e282;6b145ff560adec834931;200f0c572426f1ad5f6c,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,6b145ff560adec834931;e4ccffc7a8756b7b0be4;0ab97a7e7082f598e237;b7e7d86f528066fab226,
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,,difficult_candidate,difficult_candidate,24,14,5,9,4;4;3;2;2;1;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,2a11d537c790512c;75be39df2c1c14a3;8178591994d42ce3;edbb02694073d0f8;7693891481ff5386;88a80bacfd70139f;9d5019675a6c9add;a4e0cac5adec2e1e;5a980411975e48d1;f4e3004912779c48;74051761f655b31b;523c33883ac9489a;c0243fb04589828e;d7eb6edddcc78db9;39f32d3182a9a449;f9f3e8e273c243a5;1eff38d64ebf8ebb;f79d8e8c15022fce;8b3be018ff673d1f;268e43366ea0bcb8;9ab5ef47f1224afd;7ad8feb020087113;43b2e89e9fd7c38f;79a20413d834e832,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,2a11d537c790512c;75be39df2c1c14a3;8178591994d42ce3;a4e0cac5adec2e1e;7693891481ff5386;88a80bacfd70139f;9d5019675a6c9add;523c33883ac9489a;f9f3e8e273c243a5;8b3be018ff673d1f;9ab5ef47f1224afd;7ad8feb020087113;43b2e89e9fd7c38f;79a20413d834e832,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,,difficult_candidate,difficult_candidate,23,14,6,8,5;2;2;2;2;2;1;1;1;1;1;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,e367c19601f2d8e7823e;8e8f77a48f3ad4c6096c;91f5a2eb0fcd82cebcf4;f2769cc6b8e8d4026727;6c9ac9d78b385a762253;ffd589e4f6a13787a5d6;082f62d60b17746b01fc;e66d78ee7fefb50ef63b;60a0c3a0dcba1739fb67;aadcebbd5deed880c6fe;be51f8a15243df569129;6807fe796de6aacaa1d3;98f815cef49de82c7449;eb7401f8c6a2d74124c0;a2dd65d0b594bb9212ac;1b06bf8a8b92fca18545;fc858eb54d55668285a1;100cc9a45d0a0f994238;2f1944702583d6eb6860;7316a2901ae455c12625;f048b9e4877b4a6cc5d6;b93da0bbe5ffb848a0c6;2976993fc059101f9e6a,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,e367c19601f2d8e7823e;8e8f77a48f3ad4c6096c;91f5a2eb0fcd82cebcf4;6c9ac9d78b385a762253;ffd589e4f6a13787a5d6;082f62d60b17746b01fc;e66d78ee7fefb50ef63b;98f815cef49de82c7449;eb7401f8c6a2d74124c0;a2dd65d0b594bb9212ac;1b06bf8a8b92fca18545;2f1944702583d6eb6860;7316a2901ae455c12625;f048b9e4877b4a6cc5d6,
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,manual,困难,,,5,3,1,2,3;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,740b26f3c0809cbeadad;0dfa885b59782e4c1c1b;3bf751765858f968e01b;35b93ebcf170b657802a;fe7b820ed43008b5a057,W006;W017;W028;W029;W036,740b26f3c0809cbeadad;35b93ebcf170b657802a;fe7b820ed43008b5a057,
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,manual,中等,,,5,4,1,3,2;1;1;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,f0b7c25018d49988f041;1d0597eb333ea3d5fed7;8f895f66411f68620317;4f5e2f801a33ddacfbff;e377c53531a08df384d9,W001;W002;W012;W027;W030,f0b7c25018d49988f041;1d0597eb333ea3d5fed7;8f895f66411f68620317;4f5e2f801a33ddacfbff,
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,中等,,simple_candidate,5,2,1,1,4;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,f8b24f616d167c27b810;f2a65213a0368b751984;92084aa32f538179d158;5d58f3bc4858f0d343be;d2c9465ce508ba7c1195,W006;W008;W017;W031;W032,f8b24f616d167c27b810;d2c9465ce508ba7c1195,
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,中等,,,4,2,1,1,3;1,逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。；观察人数较少：只判断现有标法含义，不据此裁决永不稳定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,702f8663c962b7634220;ec7b9674561060eaad40;b578f0248ceb6441105b;3a3bc0a4eb51fdb493f4,W011;W012;W015;W034,702f8663c962b7634220;3a3bc0a4eb51fdb493f4,
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,中等,,medium_candidate,23,6,4,2,9;7;3;2;1;1,同点数支持簇之间多数配对仍在兼容阈值内：是连续定位波动被切开，还是不同范围解释？；逐一核查单人标法：合理少数解释、范围选择、定位偏差或确实无效？不得仅按人数否定。,初步中等/困难边界；模式数量的语义有效性；支持核心与整体分布是否混淆,d6f4c71d3816fc9fef4a;81234a56777545e31b9c;561446db19099c48c68e;19253e4ab328902a4d12;bb287f23eb43955e7502;006d495cbff76f46e992;fca31418ca45c43fa616;8d7a436f7ee75b72d1ba;1230dd95959a683bf7aa;8b9ce3b553725840ef9d;8f8f293766eeffd6470a;48e0e1e7a86beb1ce565;d9c1add75dab8315cd34;2de8896d2c2ea564fd37;42264e54a01908d81bbe;acb3d20a4fb6e211d3b1;b7393a16aa19bd7f1989;88b2b69f04caf44309bc;93cf3ac259facb9e83dc;c53730832245059ca129;0e09f3e9552514dbad74;45865dabe049ebace6d2;432c6ebaa6bb7a54b3a9,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,d6f4c71d3816fc9fef4a;561446db19099c48c68e;006d495cbff76f46e992;2de8896d2c2ea564fd37;d9c1add75dab8315cd34;b7393a16aa19bd7f1989,
