image_id,condition,priority,expert_tag,review_draft_grade,n_valid,sizes_descending,question,worker_ids,canonical_ids,medoid_canonical_ids,affected_conclusion,user_verdict
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,3,,simple_candidate,5,4;1,单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？；少人数仅作有限观察证据，不据此排除未来少数标法。,W006;W010;W027;W028;W030,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95;d5c88ef7632f0c3ce88f,9ba553c8c79977374da6;d5c88ef7632f0c3ce88f,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,,simple_candidate,24,24,,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6,f5958e31992e703a,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,2,,,24,17;2;1;1;1;1;1,各支持簇代表的空间范围/点数/转角解释是否真正不同且合理？；单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;8a6c9350ded9f505;1106d9b3309125ae;b11846422ee8df2c;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;843ee33e6df34cd4;618e8cec7d276f9c;c0d2a3ea11db107a;5ff7ca831e9c5ad8;b8541e4707e39e94;4d2388c60747a53d;1bbc73c77d272720;c4bc31bc73053a93;e2305061fc73b67a;e805d3344d24834a,3d27ec416166fb40;8a6c9350ded9f505;b11846422ee8df2c;843ee33e6df34cd4;618e8cec7d276f9c;1bbc73c77d272720;e805d3344d24834a,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,3,中等,,6,4;1;1,单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？；少人数仅作有限观察证据，不据此排除未来少数标法。,W008;W014;W018;W031;W032;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;c63d05f140fcc66be4df;6051dfca1aade85a07a8;e6f01175aabbf9fcafe7;dec8403a4ddac6db3115,74c45cde6e9ca313500c;c63d05f140fcc66be4df;e6f01175aabbf9fcafe7,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,3,中等,simple_candidate,4,4,少人数仅作有限观察证据，不据此排除未来少数标法。,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,4486738211819be8d3d4,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,3,,medium_candidate,24,12;7;2;1;1;1,各支持簇代表的空间范围/点数/转角解释是否真正不同且合理？；多数跨簇几何配对仍兼容，是连续定位波动被切开还是语义不同？不要自动合并。；单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,3f1d4cacc3faf7d7;75ca740199bbfca6;e2c06769623e335c;f61cafa7e89ea17e;cd59ff6392d0007b;9664309abeb6b078;7b70014ef90dfa00;77ab07a0a6d85137;033e34e10addfeb4;be4265df16f250c5;ee6734855a1fce2c;69dd02c653b999da;158cdf9ee8269d7a;ae9eebd3c841d936;f8548145ddefef82;dab549f7649c26f5;d5ec1431385bed24;01111484ace4b94e;283873b63fff0570;0a8c62a27fbaac21;d709cefe9dcba87b;71917bb13f847c7d;803f0a9e869112a9;9a14ee08aba6a9c3,3f1d4cacc3faf7d7;75ca740199bbfca6;e2c06769623e335c;f61cafa7e89ea17e;cd59ff6392d0007b;d709cefe9dcba87b,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,3,,,5,2;1;1;1,单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？；少人数仅作有限观察证据，不据此排除未来少数标法。,W011;W015;W033;W034;W037,8a2600447847d5ab7f5f;ad005008336266edcd64;9378da78037a5091f22e;260cf962d9bea8512f9e;ecd4e736ab99493cf8bd,8a2600447847d5ab7f5f;ad005008336266edcd64;9378da78037a5091f22e;ecd4e736ab99493cf8bd,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,3,,simple_candidate,4,3;1,单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？；少人数仅作有限观察证据，不据此排除未来少数标法。,W002;W013;W029;W035,1a60a6ad7849198e802c;72dc231b20fe4c8a589d;198b56fd7f0946ac5b09;b47f07e34df3a99ff20d,1a60a6ad7849198e802c;198b56fd7f0946ac5b09,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,3,,simple_candidate,5,5,少人数仅作有限观察证据，不据此排除未来少数标法。,W027;W028;W029;W035;W036,ef96b87ef5fb03c9889e;53a1af9cac0415879d2f;04c900e4f73f755265b3;25a1ba6fcd4fbb14c433;cc1c0c89b7e5fdacc836,25a1ba6fcd4fbb14c433,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,3,,,4,3;1,单人标法是合理少数/尚未获得重复支持，还是可指出具体错误？；少人数仅作有限观察证据，不据此排除未来少数标法。,W001;W002;W030;W032,456be942f0947a669713;9b7c8a47533d55322728;bbb44530a7ff92f92b27;bf6d1e98afbb6306ebff,456be942f0947a669713;bf6d1e98afbb6306ebff,中等/困难初步边界；数字簇是否具有合理空间解释；整体和支持核心的收敛是否混淆,
