task_id,project_id,dataset_group,condition,image_id,data_title,task_final_scope,task_scope_adjudication_source,final_gold_scope,final_gold_ref,worker_scope_values_seen,n_worker_in_scope,n_worker_oos,n_worker_scope_missing,mixed_scope_flag,unresolved_scope_flag,geometry_primary_possible,notes
3125,39,PreScreen_manual,manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,in_scope,final_gold,normal,task_id:462,in_scope:7;oos:5,7,5,0,True,False,True,
3126,39,PreScreen_manual,manual,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,in_scope,final_gold,normal,task_id:470,in_scope:6;oos:6,6,6,0,True,False,True,
3127,39,PreScreen_manual,manual,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.jpg,in_scope,final_gold,normal,task_id:497,in_scope:12,12,0,0,False,False,True,
3128,39,PreScreen_manual,manual,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.jpg,in_scope,final_gold,normal,task_id:509,in_scope:11;oos:1,11,1,0,True,False,True,
3129,39,PreScreen_manual,manual,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,in_scope,final_gold,normal,task_id:510,in_scope:6;oos:6,6,6,0,True,False,True,
3130,39,PreScreen_manual,manual,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.jpg,in_scope,final_gold,normal,task_id:533,in_scope:8;oos:4,8,4,0,True,False,True,
3131,39,PreScreen_manual,manual,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,in_scope,final_gold,normal,task_id:550,in_scope:10;oos:2,10,2,0,True,False,True,
3132,39,PreScreen_manual,manual,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,in_scope,final_gold,normal,task_id:554,in_scope:9;oos:3,9,3,0,True,False,True,
3133,39,PreScreen_manual,manual,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,in_scope,final_gold,normal,task_id:555,in_scope:12,12,0,0,False,False,True,
3134,39,PreScreen_manual,manual,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.jpg,in_scope,final_gold,normal,task_id:556,in_scope:10;oos:2,10,2,0,True,False,True,
