source_export,project_id,task_id,task_key,task_label,dataset_group,condition,annotator_id,annotation_id,annotation_sort_key,lead_time_seconds,active_time,active_time_source,active_time_match_status,active_time_source_file,active_time_session_count,active_time_event_count,geometry_hash,canonical_geometry,n_corners,parse_error,primary_active_time_eligible,sensitivity_active_time_eligible,canonical_annotation_id,raw_canonical_annotation_id,duplicate_annotation_ids,duplicate_group_size,duplicate_geometry_type,duplicate_time_ambiguous,eligible_for_primary_analysis,exclusion_reason
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,1,4813,2026-06-30T03:40:25.699064Z||2026-06-30T03:40:25.699046Z|4813,48.496,119.0,log,project+task+annotator,active_times_2026-06-30.jsonl,1,4,486fdcf898807d343589933de5e02a476f69ad806c11ec353208b0a12eaf99ad,"[[63.5,352.0],[71.5,201.0],[360.0,143.0],[364.0,378.0],[443.5,83.5],[451.5,445.5],[662.0,127.5],[664.0,437.5],[833.0,445.5],[837.0,115.5],[978.5,189.0],[980.5,370.0]]",12,,True,True,738a28459a248984,4813,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,10,3190,2026-05-21T07:41:54.211622Z||2026-05-21T07:41:54.211607Z|3190,59.673,79.0,log,project+task+annotator,active_times_2026-05-21.jsonl,1,4,ab45d014adf43fe445ce62c4e318700f4ce81901eb17f3a0f473acd968048ae4,"[[63.5,366.5],[66.5,191.0],[348.5,391.0],[351.5,145.5],[630.0,424.0],[636.0,130.5],[972.5,363.5],[975.5,188.0]]",8,,True,True,8857a2ec2d3444ba,3190,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,11,3541,2026-05-31T06:28:58.570001Z||2026-05-31T06:28:58.569986Z|3541,96.342,115.0,log,project+task+annotator,active_times_2026-05-31.jsonl,1,4,284d0caa6dab8da63e56e8427d8decd3caf782117537f3529e9af8280542e485,"[[69.5,336.0],[70.5,193.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",8,,True,True,538db2a79188e4ef,3541,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,12,3453,2026-05-28T15:08:02.908513Z||2026-05-28T15:08:02.908498Z|3453,37.24,37.24,lead_time_fallback,fallback_no_direct_log,,0,0,f41bae47d4152188f4878139694180b7bf06f7d2e31ab3dcb9fb780f5564f244,"[[64.5,317.0],[66.5,192.0],[352.5,152.0],[352.5,348.5],[661.0,423.5],[665.5,121.0],[974.0,192.0],[974.0,369.0]]",8,,False,True,13f3eff18a52453b,3453,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,13,3358,2026-05-24T16:02:01.931304Z||2026-05-24T16:02:01.931289Z|3358,89.179,132.0,log,project+task+annotator,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,2,7,3193da6ccf052428fc6b6ca0dc5c9a7cce116f0a1e0b4669b50d7ccd5ce51742,"[[68.0,194.5],[69.5,341.5],[351.0,415.5],[351.5,147.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",8,,True,True,ae0b6b00e971f182,3358,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,14,3528,2026-05-31T06:27:28.213087Z||2026-05-31T06:27:28.213073Z|3528,23.209,23.209,lead_time_fallback,fallback_no_direct_log,,0,0,f77ded83a89597c9a518e24410ece62af12081a8ddc3562d5227c70456824269,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[354.5,421.5],[665.0,429.5],[667.0,127.5],[973.0,191.0],[973.5,362.5]]",8,,False,True,8fceb8fe7a91b34c,3528,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,15,3221,2026-05-21T08:34:06.982751Z||2026-05-21T08:34:06.982735Z|3221,997.564,992.0,log,project+task+annotator,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,2,39,fd549233a269ce04597c793401a541432c404c8004edcfae58f5158d5c81780d,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[359.0,412.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",8,,True,True,d0af5ad0523f8433,3221,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,17,3133,2026-05-19T07:18:27.476670Z||2026-05-19T07:03:31.928594Z|3133,1411.904,1109.0,log,project+task+annotator,active_times_2026-05-19.jsonl,1,104,bddbbb01506f87864636a071ed7f26bc4b60f4e1c70f58b2d0f195989c502856,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",8,,True,True,07e393557408ab30,3133,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,18,4697,2026-06-28T09:31:11.706374Z||2026-06-28T09:31:11.706353Z|4697,75.423,183.0,log,project+task+annotator,active_times_2026-05-25.jsonl;active_times_2026-06-28.jsonl,2,11,33ce6b080405a7424aefa4ca25198d6bd1f8a7bbbbca0339c0729a18f50653e6,"[[43.5,209.0],[43.5,332.0],[354.5,146.5],[354.5,418.0],[643.5,124.0],[643.5,436.5],[992.5,215.0],[992.5,333.0]]",8,,True,True,d7d3126eb509dcae,4697,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,19,4614,2026-06-27T12:45:45.765826Z||2026-06-27T12:45:45.765805Z|4614,15.08,22.0,log,project+task+annotator,active_times_2026-06-27.jsonl,1,3,45bbfdfeb789193dd3693243dcaefdea2c9c5c0802c979bd45e268b93405fef6,"[[65.5,347.5],[73.0,200.0],[353.0,140.0],[446.5,73.0],[450.5,440.0],[975.0,191.0],[976.5,353.0]]",7,,True,True,ee2e59495db1c2bf,4614,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,2,4037,2026-06-17T05:40:20.740895Z||2026-06-17T05:05:12.757011Z|4037,426.421,319.0,log,project+task+annotator,active_times_2026-06-17.jsonl,1,41,33ce6b080405a7424aefa4ca25198d6bd1f8a7bbbbca0339c0729a18f50653e6,"[[43.5,209.0],[43.5,332.0],[354.5,146.5],[354.5,418.0],[643.5,124.0],[643.5,436.5],[992.5,215.0],[992.5,333.0]]",8,,True,True,cebf574498a5a20d,4037,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,21,3696,2026-06-04T15:46:17.225946Z||2026-06-04T15:46:17.225932Z|3696,81.468,159.0,log,project+task+annotator,active_times_2026-06-04.jsonl,1,9,f08408d10ead410462bda511c8df654bff15690451d3d4d0cafabce610d26e2a,"[[68.0,191.5],[72.0,335.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",8,,True,True,695653e48b0aca59,3696,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,6,3302,2026-05-22T07:14:49.469405Z||2026-05-22T07:14:49.469382Z|3302,4.971,98.0,log,project+task+annotator,active_times_2026-05-22.jsonl,1,4,bddbbb01506f87864636a071ed7f26bc4b60f4e1c70f58b2d0f195989c502856,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",8,,True,True,bc019effee879dd8,3302,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3053,28:3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,8,3742,2026-06-12T08:45:51.241055Z||2026-06-12T08:45:51.241041Z|3742,308.923,380.0,log,project+task+annotator,active_times_2026-06-12.jsonl,1,12,910c8dc2326e07a13a8919a3c56075abe73bc018750008d86c52f2bc23985aa1,"[[72.0,192.0],[72.0,362.5],[354.5,147.0],[354.5,410.5],[666.5,124.0],[666.5,436.5],[979.0,192.0],[979.0,366.5]]",8,,True,True,0e52fffeabd5cf25,3742,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,1,4814,2026-06-30T03:42:43.706375Z||2026-06-30T03:42:43.706350Z|4814,109.154,138.0,log,project+task+annotator,active_times_2026-06-30.jsonl,1,6,52a4e6baab32b28d436e8030667b355f97d61722f080235f790c4980b4d21369,"[[131.0,415.5],[139.0,135.0],[463.5,338.0],[473.0,201.0],[634.5,429.5],[642.0,113.5],[656.0,437.5],[658.0,109.5],[708.0,127.5],[710.0,334.0],[716.0,230.5],[724.0,413.5],[767.5,332.0],[771.5,230.5],[887.0,141.0],[891.0,413.5]]",16,,True,True,9e9998c2efb5ea77,4814,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,10,3191,2026-05-21T07:44:12.355546Z||2026-05-21T07:44:12.355530Z|3191,131.107,137.0,log,project+task+annotator,active_times_2026-05-21.jsonl,1,5,228d0fbeb1c3478f5ecf1409c3223013c62653ed80aeb8cf3a74b92ff93ca90f,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[706.0,409.0],[872.5,409.0],[881.5,139.5]]",8,,True,True,4a5ea8f6ba8ecaab,3191,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,11,3559,2026-05-31T06:33:14.716432Z||2026-05-31T06:33:14.716418Z|3559,207.557,222.0,log,project+task+annotator,active_times_2026-05-31.jsonl,1,11,4c85c98d82c3ed8d3af9d5e587a0d8252c6408c4136156822327e061de18737d,"[[127.0,414.0],[129.5,129.5],[476.0,203.5],[478.0,328.5],[541.0,337.5],[543.0,196.5],[693.5,430.0],[707.5,132.0],[887.5,425.5],[890.0,129.5]]",10,,True,True,1a1637b695381c15,3559,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,12,3454,2026-05-28T15:09:28.223473Z||2026-05-28T15:09:28.223457Z|3454,76.13,76.13,lead_time_fallback,fallback_no_direct_log,,0,0,13597bfcf4084e8f4555d3620c8e43d0cc518c134c6d93ab917476ac33d367ed,"[[125.0,415.0],[127.0,127.0],[475.5,315.0],[477.5,202.5],[536.0,198.0],[546.5,340.0],[707.0,127.0],[721.5,406.5],[872.0,402.5],[874.0,139.5]]",10,,False,True,f40efaca8c5d3bf1,3454,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,13,3359,2026-05-24T16:02:50.009709Z||2026-05-24T16:02:50.009693Z|3359,36.342,47.0,log,project+task+annotator,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,2,3,228d0fbeb1c3478f5ecf1409c3223013c62653ed80aeb8cf3a74b92ff93ca90f,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[706.0,409.0],[872.5,409.0],[881.5,139.5]]",8,,True,True,27682bb9932ff2bb,3359,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,14,3529,2026-05-31T06:27:50.544228Z||2026-05-31T06:27:50.544214Z|3529,13.869,13.869,lead_time_fallback,fallback_no_direct_log,,0,0,20fec28611ffd73c265747a77e4386825ee0285aa5aa72d128a936b48c9ee085,"[[133.5,130.5],[136.5,409.0],[357.5,115.0],[363.5,421.0],[706.0,124.0],[710.5,415.5],[886.0,415.5],[888.0,139.5]]",8,,False,True,8aa86d5f3b887423,3529,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,15,3222,2026-05-21T08:54:52.370661Z||2026-05-21T08:44:15.451793Z|3222,737.01,850.0,log,project+task+annotator,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,2,46,2ac5fb787bc2bccf8bf7baef444aee3beebc2c7705da48a579a05c1618469f79,"[[132.0,129.0],[133.5,414.0],[357.5,120.5],[359.0,420.0],[705.0,125.0],[710.5,418.5],[869.5,405.5],[878.0,140.5]]",8,,True,True,847ff1091d8cc648,3222,,1,single,False,True,
export_label\stage1_chinese\project-28-at-2026-06-30-08-59-94dcf30a.json,28,3054,28:3054,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,PreScreen_manual,manual,17,3134,2026-05-19T07:52:16.368221Z||2026-05-19T07:15:09.023875Z|3134,1140.4080000000001,863.0,log,project+task+annotator,active_times_2026-05-19.jsonl,1,43,a2bac66f61dbe41eb61594adb18031a9c51f9c2bd5b8aef75eac853bfc3b71b9,"[[131.0,128.0],[133.0,413.5],[475.0,204.0],[475.0,325.5],[538.0,326.5],[539.5,200.0],[658.5,440.0],[659.5,98.0],[708.5,125.5],[714.0,413.5],[876.5,403.0],[879.0,136.5]]",12,,True,True,2794795e8c4e927b,3134,,1,single,False,True,
