schema_version,table_name,field_name,data_type,description_zh,missing_semantics_zh,source_role
uncertainty_substrate_v1,annotation_spine.csv,schema_version,string,annotation_spine.csv 的稳定机器字段 `schema_version`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,annotation_identity,string,annotation_spine.csv 的稳定机器字段 `annotation_identity`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,canonical_annotation_id,string,规范选中的标注记录身份；字符串。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,canonical_annotation_id_legacy_alias,string,annotation_spine.csv 的稳定机器字段 `canonical_annotation_id_legacy_alias`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_annotation_id,string,Label Studio 原始 annotation ID；字符串。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,annotation_unique_id,string,annotation_spine.csv 的稳定机器字段 `annotation_unique_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_stage,string,annotation_spine.csv 的稳定机器字段 `raw_stage`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,stage,string,统一阶段：P1、C1、C2-B 或 C2-A-RP。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,block_index,integer_or_blank,C2-A-RP 独立 block 编号；其他阶段为 0。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_project_id,string,annotation_spine.csv 的稳定机器字段 `raw_project_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,project_id,string,annotation_spine.csv 的稳定机器字段 `project_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_runtime_task_id,string,annotation_spine.csv 的稳定机器字段 `raw_runtime_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,runtime_task_id,string,annotation_spine.csv 的稳定机器字段 `runtime_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_task_data_task_id,string,annotation_spine.csv 的稳定机器字段 `raw_task_data_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_task_data_planned_task_id,string,annotation_spine.csv 的稳定机器字段 `raw_task_data_planned_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,planned_task_id,string,annotation_spine.csv 的稳定机器字段 `planned_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,base_task_id,string,annotation_spine.csv 的稳定机器字段 `base_task_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,image_id,string,annotation_spine.csv 的稳定机器字段 `image_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,building_id,string,annotation_spine.csv 的稳定机器字段 `building_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_worker_id,string,annotation_spine.csv 的稳定机器字段 `raw_worker_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,worker_id,string,annotation_spine.csv 的稳定机器字段 `worker_id`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_condition,string,原始条件码，不承担 task lane 或 scope 的复合语义。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,assistance_exposure,string,是否暴露模型预标注；与 task lane 正交。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,task_lane,string,任务 lane，如 outside、ordinary、stress、anchor、core。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,scope_status,string,研究者/计划层 scope 状态；不由 worker 多数票替代。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,dataset_group,string,annotation_spine.csv 的稳定机器字段 `dataset_group`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,task_stratum,string,annotation_spine.csv 的稳定机器字段 `task_stratum`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,language_group,string,annotation_spine.csv 的稳定机器字段 `language_group`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,assignment_provenance,string,annotation_spine.csv 的稳定机器字段 `assignment_provenance`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,canonical_selection_status,string,annotation_spine.csv 的稳定机器字段 `canonical_selection_status`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,historical_primary_eligibility_status,string,annotation_spine.csv 的稳定机器字段 `historical_primary_eligibility_status`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,historical_primary_eligibility_source_field,string,annotation_spine.csv 的稳定机器字段 `historical_primary_eligibility_source_field`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,historical_formal_assignment_status,string,annotation_spine.csv 的稳定机器字段 `historical_formal_assignment_status`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,legacy_exclusion_reason,string,annotation_spine.csv 的稳定机器字段 `legacy_exclusion_reason`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_geometry_point_count,integer_or_blank,annotation_spine.csv 的稳定机器字段 `raw_geometry_point_count`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,raw_geometry_computable,string,annotation_spine.csv 的稳定机器字段 `raw_geometry_computable`。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
uncertainty_substrate_v1,annotation_spine.csv,lead_time_seconds,number_or_blank,Label Studio lead time；始终与 active time 分列。,空值表示源未提供、结构不适用或不可评价；绝不自动解释为 0/false。,machine_output_schema
