schema_version,proposal_id,stage,block_index,base_task_id,image_id,building_id,initialization_source_kind,initialization_import_sha256_set_json,initialization_prediction_sha256,initial_geometry_hash,initial_points_json,initial_point_count,initial_geometry_computable,initial_geometry_consistency_status,planned_trap_family_set_json,trap_family_set_json,reference_identity_set_json,reference_sha256_set_json,reference_type_set_json,reference_availability_status,response_count,worker_count,source_path,source_sha256
uncertainty_substrate_v1,init:c1:01471fa99ed32205509a,C1,0,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa""]",01471fa99ed32205509ae5030a723f1374b2ece79b4f412d82ec1357c7b6b253,3fc9c06cca8ce9baeb30bc33d2ac50a0cd0a1101c424e4caa1e45deeb826e30b,"[[53.6,159.67],[53.6,375.57],[111.47,106.08],[111.47,427.94],[160.76,195.23],[160.76,334.85],[396.1,207.59],[396.1,319.58],[649.98,213.37],[649.98,312.26],[801.88,201.18],[801.88,327.57]]",12,true,consistent_across_responses,[],[],"[""gt:70:3525:5074""]","[""7ea92ed6662998c779ed7569ea467b57273f4fe9007693cc2efa65fcfa37c624""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:0b6413d6a0f3f1c53258,C1,0,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",0b6413d6a0f3f1c5325846866aae0977a662978a1b791041affba699a0605564,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,"[[68.48,193.38],[68.48,377.94],[163.98,142.39],[163.98,433.83],[235.4,224.26],[235.4,325.3],[286.49,224.56],[286.49,324.71],[720.54,208.27],[720.54,354.69],[799.8,207.18],[799.8,356.52],[861.19,140.07],[861.19,435.74],[957.53,193.07],[957.53,378.38]]",16,true,consistent_across_responses,[],[],"[""gt:70:3444:4993""]","[""cddee40fd75937fd1b3ee978c72667d8311459be77eff8fb9cac1ca0e9cea649""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:0d714b6e3f87042ca0e9,C1,0,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",0d714b6e3f87042ca0e91e8713864f1a725004a7e3eacacb4bc186d30a0e90e0,e19def3f100fb38530e8f10398255a9e344ed6eeb47aebd0bd141e9c6752d606,"[[213.83,210.69],[213.83,298.07],[296.7,210.59],[296.7,298.16],[753.04,238.77],[753.04,271.94],[783.52,238.78],[783.52,271.94]]",8,true,consistent_across_responses,[],[],"[""gt:70:3586:5135""]","[""69904922704f0e93a5cc2f9e3518be9768e8b17c607760f120920a51a0b968d9""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:14ca994eec1b3ffad17a,C1,0,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",14ca994eec1b3ffad17a209dc97050e2dc68c6cbceada314e690f8141ae407f1,3b05145e85f7b06a8f73634f0a32a33637f580ea119b5cd93eaf3a4d495e6cdb,"[[27.09,195.25],[27.09,325.46],[467.9,164.16],[467.9,359.16],[713.93,221.71],[713.93,295.62],[852.4,224.41],[852.4,292.52]]",8,true,consistent_across_responses,[],[],"[""gt:70:3443:4992""]","[""da105d205fa4b5c2485b76ea0daecfc269ea5efe8e3c6d8d2b91f60a59d8330f""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:179b7f0559d5dc6079da,C1,0,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",179b7f0559d5dc6079dae4d7ab1be10ed48ca5a9936610a71f6c1603d00a12d1,96dceebc23540785bac045e4ad168292104ee122b4bb5275a5e4953f23650351,"[[77.83,220.91],[77.83,304.5],[342.57,192.56],[342.57,341.09],[393.75,132.96],[393.75,406.32],[427.44,156.12],[427.44,382.87],[601.81,157.58],[601.81,381.32],[636.21,135.69],[636.21,403.67],[684.17,194.21],[684.17,339.05],[943.55,221.2],[943.55,304.12]]",16,true,consistent_across_responses,[],[],"[""gt:70:3358:4907""]","[""9638e2029a7bd9b4acae8b3a508e77d013080a8d79d3706736d566b29031f9b0""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:17b0ea85da4cc3e30b89,C1,0,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",17b0ea85da4cc3e30b89606bf740f9ee5b03b365d66cb96536825059b4ef5076,4b57d158ad04aff4124026c7ea93c6a001d6727f9a51fc760da84af0cf17f501,"[[114.44,153.36],[114.44,302.51],[362.99,137.13],[362.99,312.29],[587.78,106.33],[587.78,335.03],[972.48,135.91],[972.48,313.08]]",8,true,consistent_across_responses,[],[],"[""gt:70:3347:4896""]","[""28c5cff98cc262bb13a7027d46eda7236922d4d73ed3206f51abdfbde5cce928""]","[""public_frozen_gt""]",available,5,5,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:2da8e3e9a425df771319,C1,0,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",2da8e3e9a425df771319ed1756d0f1c70a4b227007f5b6b0cfa17d9a42b9ebf8,5c80d966ba57e05b496a0f12b27420fde5a86816111adcc0286c7e52b226b302,"[[101.8,159.21],[101.8,347.27],[457.15,196.63],[457.15,311.46],[621.94,189.7],[621.94,318.03],[623.67,206.59],[623.67,302.07],[648.93,198.51],[648.93,309.69],[800.36,194.66],[800.36,313.33],[822.04,161.81],[822.04,344.76],[841.51,199.27],[841.51,308.97]]",16,true,consistent_across_responses,[],[],"[""gt:70:3351:4900""]","[""c1eb3c0c5f4eaa03a718372d0fb006f8da53afe34249763bee285fab6545e273""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:4cc2667fa70fdd7cde18,C1,0,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",4cc2667fa70fdd7cde18f6cf73e573943a2a83e8e8bcd6bb83f8c536b19c6cc2,cdaf0d7ed4dfe2a7886445b5256b165795116cee57e8af79a38e89a1ab9df3d0,"[[182.69,167.39],[182.69,334.68],[436.32,208.41],[436.32,297.56],[557.03,205.01],[557.03,300.57],[772.4,171.74],[772.4,330.65],[777.17,114.32],[777.17,386.13],[822.38,175.63],[822.38,327.07],[869.97,131.24],[869.97,369.22],[883.09,136.38],[883.09,364.18]]",16,true,consistent_across_responses,[],[],"[""gt:70:3346:4895""]","[""056eb24f09be47172ffd8b0a0ea132b41e9a0018b78a8fc4e98ec46e930ccd5b""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:50bc4c35af92dd603906,C1,0,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",50bc4c35af92dd603906938d35c9a4d101180ce6df725d1b4835e396db6a9835,bb28da8bfd2065072d325e2b824f2504d786a0be61c8f979536690a4ded0a221,"[[61.84,164.06],[61.84,294.69],[462.35,178.83],[462.35,287.53],[646.3,198.99],[646.3,278.59],[870.74,193.77],[870.74,280.83]]",8,true,consistent_across_responses,[],[],"[""gt:70:3560:5109""]","[""b62d0d23e62a6b7bbf55a8cc2b84be19b5ae024b58036b701364e3f97d0ec93f""]","[""public_frozen_gt""]",available,4,4,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
uncertainty_substrate_v1,init:c1:558b45e7b03196692282,C1,0,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,missing_required_initialization,"[""1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa"",""81dde50a0cf18bb5ad6e2d7d15dcf3bcffb012c72bffc04a2f3cedb8505c745c""]",558b45e7b03196692282c282b3a0d6c791849d398b9be822534e18623eaf5341,4c9c2b231ca54aaab9afe5fc6e01fdc23140ff49c6af1440da58738ba987332b,"[[66.55,203.46],[66.55,319.1],[316.62,147.67],[316.62,380.39],[729.05,179.09],[729.05,346.8],[956.37,221.98],[956.37,297.23],[959.57,203.18],[959.57,319.42],[981.73,220.13],[981.73,299.44]]",12,true,consistent_across_responses,[],[],"[""gt:70:3334:4883""]","[""b54a390fedd976db15baa4ce1d3ff425189248c0ec86c53ca89bf3577506c7ea""]","[""public_frozen_gt""]",available,5,5,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv,e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22
