schema_version,task_context_id,stage,block_index,raw_stage_set_json,base_task_id,image_id,building_id,raw_condition,assistance_exposure,task_lane,scope_status_set_json,dataset_group_set_json,task_stratum_set_json,canonical_annotation_count,worker_count,worker_ids_json,raw_geometry_computable_count,lead_time_available_count,formal_active_time_available_count,reference_measurement_available_count
uncertainty_substrate_v1,50ad82ab9ef3ab8d61ce678c,P1,0,"[""P1""]",7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,none,screening,"[""researcher_in_scope""]","[""PreScreen_manual""]","[""prescreen_manual""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",25,26,20,0
uncertainty_substrate_v1,3c9354f3b6f4e3c5410d5965,P1,0,"[""P1""]",7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,none,outside,"[""planned_oos_lane""]","[""PreScreen_oos""]","[""prescreen_oos""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",25,26,20,0
uncertainty_substrate_v1,c58d3ae19cb367b8fda4651f,P1,0,"[""P1""]",7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,none,outside,"[""planned_oos_lane""]","[""PreScreen_oos""]","[""prescreen_oos""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",24,26,20,0
uncertainty_substrate_v1,59e24f11cc930d1af014d31d,P1,0,"[""P1""]",7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,model_preannotation,screening,"[""not_adjudicated""]","[""PreScreen_semi""]","[""prescreen_semi""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",26,26,19,26
uncertainty_substrate_v1,7b0cfc5a444db1ecc2d51f15,P1,0,"[""P1""]",B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,model_preannotation,screening,"[""not_adjudicated""]","[""PreScreen_semi""]","[""prescreen_semi""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",26,26,19,26
uncertainty_substrate_v1,6c7846df69df6829af90d444,P1,0,"[""P1""]",B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,none,screening,"[""researcher_in_scope""]","[""PreScreen_manual""]","[""prescreen_manual""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",25,26,20,0
uncertainty_substrate_v1,8fcdd87385d963208475fe98,P1,0,"[""P1""]",B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,model_preannotation,screening,"[""not_adjudicated""]","[""PreScreen_semi""]","[""prescreen_semi""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",26,26,20,26
uncertainty_substrate_v1,d9f25562b7dae0af6891c7f6,P1,0,"[""P1""]",B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,none,screening,"[""researcher_in_scope""]","[""PreScreen_manual""]","[""prescreen_manual""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",24,26,19,0
uncertainty_substrate_v1,4da88348985fe685e52c519b,P1,0,"[""P1""]",B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,none,screening,"[""researcher_in_scope""]","[""PreScreen_manual""]","[""prescreen_manual""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",25,26,20,0
uncertainty_substrate_v1,41ffb10dab271c4c44a51708,P1,0,"[""P1""]",UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,oos,none,outside,"[""planned_oos_lane""]","[""PreScreen_oos""]","[""prescreen_oos""]",26,26,"[""1"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""2"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""6"",""8""]",25,26,20,0
