base_task_id,building_id,image_reference,remote_reference_available,workspace_local_found,workspace_local_path,git_tracked_image_found,candidate_image_count,risk,risk_design_score_A,g_duplicate_peak,g_postprocess_invalid,g_seam_instability,g_topology_invalid,feature_timing,reference_status,image_sha256,image_parse_status,image_width,image_height,image_only_feature_version,mean_luma,horizontal_gradient_mean_wrap,horizontal_gradient_mean_no_seam,seam_gradient_mean,vertical_edge_mean,vertical_edge_p90_proxy,boundary_gradient_mean,ceiling_boundary_row_norm,ceiling_boundary_strength,floor_boundary_row_norm,floor_boundary_strength,edge_density_proxy,confirmatory_status,frozen_preassignment_n_ready,legacy_difficulty_label,legacy_label_status,gt_keypoint_count,gt_pair_count,proposal_initial_quality_mean,post_meta_response_pattern_entropy_mean,post_meta_jaccard_disagreement_mean,post_meta_modal_response_share_mean,image_feature_classification,model_feature_classification,legacy_difficulty_classification,post_meta_classification
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,False,3,3.9778924598625696,3.9778924598625696,,,,,pre_task,use_existing_public_gt_as_is,8bb597928892539bc0d7fc659b4dbf68363ab21822e148da15e6be7252590c57,ready,1024,512,image_only_pil_grayscale_downsample_v1,125.043212890625,7.88055419921875,7.880147058823529,7.984375,7.880147058823529,21,7.337290846456693,0.390625,21.375,0.6484375,15.7734375,0.12299325980392156,,,,,,,,0.0,0.0,1.0,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,False,3,3.768993304208514,3.768993304208514,,,,,pre_task,use_existing_public_gt_as_is,df9b47102dd6a6953da6ada67fdd2960b5f1d63bd764de8e417ce4f546b7b007,ready,1024,512,image_only_pil_grayscale_downsample_v1,129.2060546875,5.2523193359375,5.258823529411765,3.59375,5.258823529411765,15,5.899175688976378,0.421875,11.609375,0.7421875,20.421875,0.0956188725490196,,,,,,,,0.0,0.0,1.0,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,True,True,data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,False,3,3.928480185152084,3.928480185152084,,,,,pre_task,use_existing_public_gt_as_is,216c8bbee87379952faaa321efb3ba1ef5cf77b60c9d9ab9e0d55b7e7ae53a47,ready,1024,512,image_only_pil_grayscale_downsample_v1,121.40286254882812,6.178955078125,6.1886029411764705,3.71875,6.1886029411764705,17,6.451863927165355,0.3984375,11.72265625,0.8125,23.15234375,0.11072303921568627,,,,,,,,0.0,,1.0,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,False,4,,,,,,,pre_task,reference_ready_public_gt,ec966bfd680439ab1f64d59ab4fdd6b709587fbb9aaef77a0cb7526ba8dbda3a,ready,1024,512,image_only_pil_grayscale_downsample_v1,134.43154907226562,3.58685302734375,3.5875919117647057,3.3984375,3.5875919117647057,10,4.7578125,0.4609375,11.66015625,0.6796875,13.21484375,0.07274816176470589,,,,,,,,0.7253364813857113,0.44999999999999996,0.7,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,True,True,trap集/manual/非常简单/task630/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,True,4,,,,,,,,,2ac495dc55952d9a7fbb75e5ff179dcf7cf8de32cf2078e722130190ac9ef125,ready,2048,1024,image_only_pil_grayscale_downsample_v1,139.67913818359375,3.36541748046875,3.3685661764705883,2.5625,3.3685661764705883,9,3.2374200295275593,0.4140625,7.5,0.78125,15.6015625,0.05157781862745098,,,,,,,,0.16302362949436594,0.07692307692307693,0.9615384615384616,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.jpg,True,True,"trap集/OOS/错层,天花板下凸/task575/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png",True,4,,,,,,,,,ba4bffbf9fd2b11962d76d42f066f873a3e39dc9dd0f8a4665b7f66413b6dda7,ready,2048,1024,image_only_pil_grayscale_downsample_v1,132.15585327148438,3.29254150390625,3.297120098039216,2.125,3.297120098039216,8,2.9958169291338583,0.4609375,7.57421875,0.6328125,9.49609375,0.04918811274509804,,,,,,,,1.2892587817794832,0.6661538461538461,0.4423076923076923,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.jpg,True,True,"trap集/OOS/错层,天花板下凸/task496/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png",True,4,,,,,,,,,5c2a2bed7e8d6896d3e48b8a8caccdbc4d698469baaf410bd15885d0bcbacbac,ready,2048,1024,image_only_pil_grayscale_downsample_v1,137.40216064453125,4.00677490234375,4.009405637254902,3.3359375,4.009405637254902,11,3.5458292322834644,0.4609375,8.52734375,0.6796875,13.23046875,0.06133578431372549,,,,,,,,1.3844483964532546,0.6869230769230769,0.46153846153846156,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,True,True,data/mp3d_layout/img_v/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,False,3,,,,,,,,,368f4b363539fdee7e2d71226de01774c65264213a68d22114cbb092f82e536c,ready,1024,512,image_only_pil_grayscale_downsample_v1,134.335205078125,3.235595703125,3.2440870098039216,1.0703125,3.2440870098039216,8,2.483636811023622,0.453125,4.55078125,0.578125,7.578125,0.04094669117647059,,,,,,,,1.2250298801461075,0.5342735042735044,0.5641025641025641,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,False,4,,,,,,,pre_task,reference_ready_public_gt,dad7a91d5124dcf34dba64effeb6059f68b49826b050fa3714ce64bb42145e4e,ready,1024,512,image_only_pil_grayscale_downsample_v1,131.23153686523438,4.06988525390625,4.069638480392157,4.1328125,4.069638480392157,11,3.9633366141732282,0.4609375,11.21875,0.5703125,11.95703125,0.07100183823529412,,,,,,,,1.0549201679861442,0.75,0.4,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,True,True,analysis_results/c1_building_registry_review_20260801/representative_images/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,False,4,,,,,,,pre_task,reference_ready_public_gt,5342be1387a5c7b0cf77747589cd0b490a2d41a1f3fe3e38cc252c365ab52fd6,ready,1024,512,image_only_pil_grayscale_downsample_v1,132.60797119140625,3.8316650390625,3.831954656862745,3.7578125,3.831954656862745,9,3.765378937007874,0.4453125,7.72265625,0.5703125,12.8515625,0.0628063725490196,,,,,,,,1.0550082766877305,0.5888888888888889,0.5833333333333333,pre_task_image_only,pre_task_model,historical_proxy,post_worker_concurrent
