analysis_lane,analysis_lane_zh,base_task_id,condition,condition_zh,worker_id,is_largest_mode,is_supported_minority_mode,cluster_support,cluster_count,building_id,annotation_id,cluster_rank,n_pairs,task_centered_n_pairs,assignment_provenance,formal_use_allowed,worker_process_class
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,12,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,27,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,10,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,35,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,6,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,8,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,2,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,30,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,34,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,31,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,33,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,28,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,13,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,18,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,15,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,17,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,1,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,32,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,29,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,11,True,False,20,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,36,False,False,1,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,37,False,False,1,3,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,18,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,11,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,36,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,35,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,30,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,28,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,17,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,29,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,8,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,27,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,37,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,13,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,15,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,12,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,33,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,31,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,34,True,False,20,2,,,,,,,,
legacy_q095_k22_evaluable_9,原始码：legacy_q095_k22_evaluable_9,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,纯人工,10,True,False,20,2,,,,,,,,
