stage,stage_zh,record_role,project_id,runtime_task_id,task_id,base_task_id,building_id,condition,condition_zh,worker_id,annotation_id,canonical_annotation_id,assignment_provenance,dataset_group,language_group,formal_use_allowed,canonical_valid_source,parse_error,n_corners_source,geometry_points_json,geometry_computable,n_corners,topology_signature,active_time_observed_seconds,active_time_formal_eligible,active_time_source,active_time_source_file,active_time_event_count,active_time_session_count,timing_status,lead_time_seconds,source_artifact,source_sha256,source_row_index,active_time_computable,lead_time_computable,data_mining_included,worker_status_class,primary_exclusion_class,secondary_exclusion_flags,worker_process_class,task_final_scope,geometry_reference_status,iou_to_gt,worker_caused_structural_failure,active_time_candidate_seconds,active_time_proxy_excluded,active_time_measurement_class,raw_lead_time_seconds,raw_lead_time_observation_count,raw_annotation_version_count,lead_time_source,formal_assignment_status,formal_assignment_status_source,primary_eligibility_status,primary_eligibility_status_source,design_has_semi_arm,task_has_semi_candidate,semi_pairing_status,geometry_computable_bool,active_time_computable_bool,lead_time_computable_bool,quality_computable_bool,formal_assignment_eligible_bool,flag__administrative_exclusion,flag__outside_assignment,flag__formal_assignment_ineligible,flag__independence_ineligible,flag__scope_oos_or_ineligible,flag__geometry_not_computable,flag__quality_not_computable,flag__active_time_not_computable,flag__manual_only_no_semi_candidate,flag__historical_retained_worker,flag__noncanonical_or_raw_only_role,orthogonal_flag_count,orthogonal_flags,active_time_script_versions,time_measurement_lane,time_measurement_lane_zh,lead_time_is_active_time
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,1,4813,738a28459a248984,not_recorded,PreScreen_manual,,True,True,,12,"[[63.5,352.0],[71.5,201.0],[360.0,143.0],[364.0,378.0],[443.5,83.5],[451.5,445.5],[662.0,127.5],[664.0,437.5],[833.0,445.5],[837.0,115.5],[978.5,189.0],[980.5,370.0]]",True,12,n_points:12,119.0,True,log,active_times_2026-06-30.jsonl,4,1,project+task+annotator,48.496,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,1,True,True,True,observed_worker,,,,,,,,119.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,10,3190,8857a2ec2d3444ba,not_recorded,PreScreen_manual,,True,True,,8,"[[63.5,366.5],[66.5,191.0],[348.5,391.0],[351.5,145.5],[630.0,424.0],[636.0,130.5],[972.5,363.5],[975.5,188.0]]",True,8,n_points:8,79.0,True,log,active_times_2026-05-21.jsonl,4,1,project+task+annotator,59.673,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,2,True,True,True,observed_worker,,,,,,,,79.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,11,3541,538db2a79188e4ef,not_recorded,PreScreen_manual,,True,True,,8,"[[69.5,336.0],[70.5,193.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",True,8,n_points:8,115.0,True,log,active_times_2026-05-31.jsonl,4,1,project+task+annotator,96.342,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,3,True,True,True,observed_worker,,,,,,,,115.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,12,3453,13f3eff18a52453b,not_recorded,PreScreen_manual,,True,True,,8,"[[64.5,317.0],[66.5,192.0],[352.5,152.0],[352.5,348.5],[661.0,423.5],[665.5,121.0],[974.0,192.0],[974.0,369.0]]",True,8,n_points:8,,False,lead_time_fallback,,0,0,fallback_no_direct_log,37.24,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,4,False,True,True,observed_worker,,,,,,,,37.24,True,lead_time_proxy_excluded,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,2,quality_not_computable;active_time_not_computable,not_recorded,lead_time_proxy_excluded,原始码：lead_time_proxy_excluded,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,13,3358,ae0b6b00e971f182,not_recorded,PreScreen_manual,,True,True,,8,"[[68.0,194.5],[69.5,341.5],[351.0,415.5],[351.5,147.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",True,8,n_points:8,132.0,True,log,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,7,2,project+task+annotator,89.179,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,5,True,True,True,observed_worker,,,,,,,,132.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,14,3528,8fceb8fe7a91b34c,not_recorded,PreScreen_manual,,True,True,,8,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[354.5,421.5],[665.0,429.5],[667.0,127.5],[973.0,191.0],[973.5,362.5]]",True,8,n_points:8,,False,lead_time_fallback,,0,0,fallback_no_direct_log,23.209,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,6,False,True,True,administrative_exclusion,,,,,,,,23.209,True,lead_time_proxy_excluded,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,3,administrative_exclusion;quality_not_computable;active_time_not_computable,not_recorded,lead_time_proxy_excluded,原始码：lead_time_proxy_excluded,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,15,3221,d0af5ad0523f8433,not_recorded,PreScreen_manual,,True,True,,8,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[359.0,412.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",True,8,n_points:8,992.0,True,log,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,39,2,project+task+annotator,997.564,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,7,True,True,True,observed_worker,,,,,,,,992.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,17,3133,07e393557408ab30,not_recorded,PreScreen_manual,,True,True,,8,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",True,8,n_points:8,1109.0,True,log,active_times_2026-05-19.jsonl,104,1,project+task+annotator,1411.904,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,8,True,True,True,observed_worker,,,,,,,,1109.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,quality_not_computable,0.24-official,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,18,4697,d7d3126eb509dcae,not_recorded,PreScreen_manual,,True,True,,8,"[[43.5,209.0],[43.5,332.0],[354.5,146.5],[354.5,418.0],[643.5,124.0],[643.5,436.5],[992.5,215.0],[992.5,333.0]]",True,8,n_points:8,183.0,True,log,active_times_2026-05-25.jsonl;active_times_2026-06-28.jsonl,11,2,project+task+annotator,75.423,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,9,True,True,True,historical_retained,,,,,,,,183.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,2,quality_not_computable;historical_retained_worker,0.24-official;stage1_helper_ordercache_hotfix_20260617_v1,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
P1,预筛,stage_canonical,28,,3053,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,纯人工,19,4614,ee2e59495db1c2bf,not_recorded,PreScreen_manual,,True,True,,7,"[[65.5,347.5],[73.0,200.0],[353.0,140.0],[446.5,73.0],[450.5,440.0],[975.0,191.0],[976.5,353.0]]",False,7,not_computable,22.0,True,log,active_times_2026-06-27.jsonl,3,1,project+task+annotator,15.08,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d,10,True,True,True,observed_worker,,,,,,,,22.0,False,formal_frozen,,,,stage_canonical_label_studio_lead_time,not_applicable,"P1 uses eligible_for_primary_analysis, not the formal-assignment gate",eligible,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv:eligible_for_primary_analysis,False,False,not_applicable_outside_c1_paired_design,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,2,geometry_not_computable;quality_not_computable,stage1_helper_ordercache_hotfix_20260617_v1,other_stage_formal_active_log,原始码：other_stage_formal_active_log,False
