stage,stage_zh,base_task_id,building_id,metric,manual_task_median_seconds,semi_task_median_seconds,semi_minus_manual_seconds,semi_to_manual_ratio,analysis_unit
C1,校准一阶段,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,active_time,90.0,92.0,2.0,1.022222222222222,task_within_stage_condition_medians
C1,校准一阶段,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,active_time,296.0,349.5,53.5,1.1807432432432432,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,active_time,232.0,24.0,-208.0,0.1034482758620689,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,active_time,364.0,61.5,-302.5,0.1689560439560439,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,active_time,180.0,115.0,-65.0,0.6388888888888888,task_within_stage_condition_medians
C1,校准一阶段,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,active_time,106.5,170.0,63.5,1.596244131455399,task_within_stage_condition_medians
C1,校准一阶段,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,active_time,59.0,317.0,258.0,5.372881355932203,task_within_stage_condition_medians
C1,校准一阶段,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,active_time,160.5,75.5,-85.0,0.470404984423676,task_within_stage_condition_medians
C1,校准一阶段,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,active_time,151.0,30.0,-121.0,0.1986754966887417,task_within_stage_condition_medians
C1,校准一阶段,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,active_time,54.5,77.0,22.5,1.4128440366972477,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,active_time,228.0,289.0,61.0,1.2675438596491229,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,active_time,80.0,92.0,12.0,1.15,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,active_time,95.0,108.5,13.5,1.1421052631578947,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,active_time,53.0,47.5,-5.5,0.8962264150943396,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,active_time,124.0,213.0,89.0,1.717741935483871,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,active_time,211.0,128.5,-82.5,0.6090047393364929,task_within_stage_condition_medians
