stage,stage_zh,condition,condition_zh,base_task_id,building_id,observed_worker_count,available_record_count,geometry_computable_worker_count,geometry_missing_worker_count,topology_counts_json,topology_mode_count,topology_shannon_entropy,topology_gini_simpson,largest_topology_share,different_topology_pair_share,same_topology_pair_count,same_topology_cyclic_rmse_median,same_topology_cyclic_rmse_q25,same_topology_cyclic_rmse_q75,geometry_uncertainty_class,geometry_uncertainty_class_zh,measurement_lane,measurement_lane_zh
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.3199999999999998,0.8,0.4,6,0.0585194961727036,0.0231944176474887,0.0594276425916293,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.3199999999999998,0.8,0.4,6,0.1105284379433101,0.0904777107422369,0.1373508253666285,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,6,6,0,"{""12"": 3, ""8"": 3}",2,0.6931471805599453,0.5,0.5,0.6,6,0.1458704133689003,0.1184573336453064,0.1611180476551687,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,6,6,0,"{""12"": 1, ""16"": 1, ""8"": 4}",3,0.8675632284814612,0.5,0.6666666666666666,0.6,6,0.1623503706263785,0.1193054375612284,0.1632493730395448,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""16"": 1, ""20"": 3}",3,0.9502705392332348,0.5599999999999999,0.6,0.7,3,0.1569143304256088,0.146345925758854,0.1574066374258402,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,5,5,0,"{""16"": 1, ""8"": 4}",2,0.5004024235381879,0.3199999999999998,0.8,0.4,6,0.0887802429584941,0.0669604824640144,0.1183596773085928,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.0752924130145528,0.0269604620991418,0.1322137558751688,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,5,5,0,"{""10"": 1, ""12"": 4}",2,0.5004024235381879,0.3199999999999998,0.8,0.4,6,0.0646231474252363,0.0458431160499294,0.0750580059748135,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.3199999999999998,0.8,0.4,6,0.0382685479615037,0.0294841249889275,0.0469076008345348,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
C1,校准一阶段,manual,纯人工,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.1707438672099503,0.0132179545349175,0.1741823854183602,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive
