base_task_id,k,replicate,seed,derived_sample_seed,sample_annotation_ids,valid_k,task_crowd_structure_status,task_crowd_structure_status_zh,partition_status,partition_status_zh,structure_reason,cluster_membership_json,sampling_mode,requested_replicates,full_sample_equivalent_to_requested_replicates
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,0,20260821,16115467870652008320,1623fbedf957f0be9421;3e053dc275632e30f220;944fc693a5243b08b5ee;a5582527e1e55759fca4;c71f04cf03f04f83010c,5,dominant_with_dissent,主模式伴少数异议,unique,唯一分区,unique_complete_link_partition,"[[""3e053dc275632e30f220"", ""a5582527e1e55759fca4"", ""944fc693a5243b08b5ee"", ""c71f04cf03f04f83010c""], [""1623fbedf957f0be9421""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,1,20260821,9012640473687690298,0545d5cfd8fca3b793bc;0f006ad814591f20f1d7;6037abe04bcfa1d308ed;944fc693a5243b08b5ee;c71f04cf03f04f83010c,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""944fc693a5243b08b5ee"", ""0545d5cfd8fca3b793bc"", ""c71f04cf03f04f83010c"", ""0f006ad814591f20f1d7"", ""6037abe04bcfa1d308ed""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,2,20260821,13919136175758083971,0545d5cfd8fca3b793bc;0f006ad814591f20f1d7;3e053dc275632e30f220;9e082eaf47377454a352;b52612c32e32fb20b8c2,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""0545d5cfd8fca3b793bc"", ""3e053dc275632e30f220"", ""9e082eaf47377454a352"", ""b52612c32e32fb20b8c2"", ""0f006ad814591f20f1d7""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,3,20260821,4206430471742251119,0545d5cfd8fca3b793bc;58fcb37f432cd01e22a1;779f777343654b55ad95;a899e204555a9b64f4b5;efdd3af8bbe9661a922f,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""a899e204555a9b64f4b5"", ""58fcb37f432cd01e22a1"", ""779f777343654b55ad95"", ""efdd3af8bbe9661a922f"", ""0545d5cfd8fca3b793bc""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,4,20260821,9475631579860545192,432d23215497f235714b;58fcb37f432cd01e22a1;779f777343654b55ad95;a5582527e1e55759fca4;bbe40bd3ad25e4383c92,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""432d23215497f235714b"", ""779f777343654b55ad95"", ""a5582527e1e55759fca4"", ""bbe40bd3ad25e4383c92"", ""58fcb37f432cd01e22a1""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,5,20260821,10222559571517038880,0545d5cfd8fca3b793bc;3e053dc275632e30f220;a899e204555a9b64f4b5;bbe40bd3ad25e4383c92;efdd3af8bbe9661a922f,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""3e053dc275632e30f220"", ""efdd3af8bbe9661a922f"", ""bbe40bd3ad25e4383c92"", ""a899e204555a9b64f4b5"", ""0545d5cfd8fca3b793bc""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,6,20260821,17113341073917922997,1623fbedf957f0be9421;432d23215497f235714b;779f777343654b55ad95;a899e204555a9b64f4b5;bbe40bd3ad25e4383c92,5,dominant_with_dissent,主模式伴少数异议,unique,唯一分区,unique_complete_link_partition,"[[""a899e204555a9b64f4b5"", ""432d23215497f235714b"", ""bbe40bd3ad25e4383c92"", ""779f777343654b55ad95""], [""1623fbedf957f0be9421""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,7,20260821,8829845241405892014,0545d5cfd8fca3b793bc;432d23215497f235714b;58fcb37f432cd01e22a1;a5582527e1e55759fca4;b26eb0a9d329d8a255fd,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""b26eb0a9d329d8a255fd"", ""432d23215497f235714b"", ""a5582527e1e55759fca4"", ""58fcb37f432cd01e22a1"", ""0545d5cfd8fca3b793bc""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,8,20260821,12103275739846563141,0f006ad814591f20f1d7;779f777343654b55ad95;a5582527e1e55759fca4;a899e204555a9b64f4b5;b52612c32e32fb20b8c2,5,unimodal,单峰,unique,唯一分区,unique_complete_link_partition,"[[""a899e204555a9b64f4b5"", ""0f006ad814591f20f1d7"", ""a5582527e1e55759fca4"", ""779f777343654b55ad95"", ""b52612c32e32fb20b8c2""]]",without_replacement_fixed_seed,200,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,5,9,20260821,5866037456471694204,0545d5cfd8fca3b793bc;1aa87c4e8b0db18c1ccd;a899e204555a9b64f4b5;b26eb0a9d329d8a255fd;beebb1979f052693f701,5,dominant_with_dissent,主模式伴少数异议,unique,唯一分区,unique_complete_link_partition,"[[""0545d5cfd8fca3b793bc"", ""1aa87c4e8b0db18c1ccd"", ""a899e204555a9b64f4b5"", ""b26eb0a9d329d8a255fd""], [""beebb1979f052693f701""]]",without_replacement_fixed_seed,200,False
