base_task_id,condition,condition_zh,worker_id,canonical_annotation_id,initial_points_json,final_points_json,initial_point_count,final_point_count,initial_to_final_rmse_diagonal_normalized,U_initial,U_final,delta_U,initial_geometry_hash,final_geometry_hash
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,2,6037abe04bcfa1d308ed,[],"[[659.46, 148.84], [659.46, 393.29], [849.018, 139.41], [849.018, 402.77], [199.99, 164.54], [199.99, 376.56], [335.96, 169.26], [335.96, 371.28000000000003]]",0,8,,,,,,b16d1728358188958f975ba68df94aac0256aa9704918ff4ca56cf9ab1f7ff7b
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,8,58fcb37f432cd01e22a1,[],"[[335.2523308980829, 169.4161026741375], [203.2764582689111, 167.9240307438831], [202.01387157158868, 376.250835802084], [335.84806148776624, 372.46307571011664], [659.0702560023082, 145.19747019207935], [852.2882091641497, 136.35936331082235], [659.0702560023082, 395.1896362619203], [852.2882091641497, 406.5529165378222]]",0,8,,,,,,4000ca43c095af5b0e30f82d7dc126cbfee4bc8c603a61687c4b2af739b28b69
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,10,1aa87c4e8b0db18c1ccd,[],"[[202.89696760421194, 376.4891143784987], [335.69144233113997, 373.0182334270905], [203.8543761567984, 166.8974861708775], [334.74542393340136, 170.32694593795006], [658.7211801436014, 146.02052428437403], [661.244402215162, 396.67530793193265], [849.1607667579514, 136.83456393756802], [860.3394663740796, 403.5806739054439]]",0,8,,,,,,6d7ffe99117f5c38846916c6b37c09c69b99db85737cc6e28de6c5705f8e9f35
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,17,bbe40bd3ad25e4383c92,[],"[[202.03243243243244, 167.8990990990991], [202.03243243243244, 375.46666666666664], [334.87567567567567, 171.5891891891892], [333.9531531531532, 371.7765765765766], [659.6036036036036, 148.52612612612612], [655.9135135135135, 387.4594594594595], [848.7207207207207, 138.3783783783784], [856.1009009009009, 407.75495495495494]]",0,8,,,,,,d6ddbf579bbad9cdd24c35e74a99063d864bc541d8221f89228fc15ea223e4cc
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,13,a899e204555a9b64f4b5,[],"[[201.6969696969697, 170.66666666666666], [201.6969696969697, 381.2294372294372], [336.9004329004329, 170.66666666666666], [334.6839826839827, 372.36363636363643], [658.2857142857143, 148.5021645021645], [658.2857142857143, 394.5281385281385], [853.3333333333335, 137.41991341991343], [857.7662337662338, 398.96103896103904]]",0,8,,,,,,b52e438359836aeba7e0b4465eda8c28fe18164cb6d074bc30f58b88d0257f67
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,6,432d23215497f235714b,[],"[[201.6969696969697, 170.66666666666666], [201.6969696969697, 381.2294372294372], [336.9004329004329, 170.66666666666666], [334.6839826839827, 372.36363636363643], [658.2857142857143, 148.5021645021645], [658.2857142857143, 394.5281385281385], [853.3333333333335, 137.41991341991343], [857.7662337662338, 398.96103896103904]]",0,8,,,,,,b52e438359836aeba7e0b4465eda8c28fe18164cb6d074bc30f58b88d0257f67
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,1,c71f04cf03f04f83010c,[],"[[204.085014995062, 171.40379759074204], [202.11485640206496, 378.27044985543074], [340.0259579118574, 173.37395618373907], [336.08564072586336, 376.3002912624337], [661.161808570374, 149.73205306777467], [663.077394398673, 407.7864469072542], [881.819570986042, 147.76189447477762], [879.8494123930451, 431.46473186635063]]",0,8,,,,,,99083513a082cc188189330f19caf3116d5bda568722d295fa4f4a514a7ad069
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,12,0545d5cfd8fca3b793bc,[],"[[204.38289205702648, 166.84317718940937], [335.77189409368634, 173.0997963340122], [202.29735234215886, 373.31160896130353], [335.77189409368634, 371.2260692464358], [654.8594704684318, 148.0733197556008], [659.0305498981671, 410.8513238289206], [865.4989816700611, 137.64562118126273], [867.5845213849287, 410.8513238289206]]",0,8,,,,,,5b8719c03dd28560e1ef1792a537f13c8d0764c3e98067526239a7e974b658c5
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,11,efdd3af8bbe9661a922f,[],"[[201.50679667284706, 168.08220777376278], [334.8371739263621, 171.73509482180427], [202.12641665829688, 377.46499496428936], [334.847979403805, 373.20329340824094], [658.270891424625, 147.55748779112872], [662.7478087455294, 403.0047144550954], [848.3653396074416, 142.24310592289854], [861.0215848299214, 415.89097972194725]]",0,8,,,,,,9ddffc7a9f528da07e3eef92b4e86eedd0cf14be4e03711916f9856605b8e599
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,15,b52612c32e32fb20b8c2,[],"[[203.07899159663867, 168.65882352941176], [203.07899159663867, 376.9008403361345], [335.5966386554622, 373.45882352941175], [333.87563025210085, 172.10084033613447], [660.8672268907563, 148.00672268907564], [662.5882352941177, 395.8319327731093], [850.1781512605043, 399.273949579832], [851.8991596638656, 141.12268907563026]]",0,8,,,,,,780ead0e483c98230097db48071ec095dfefd3997309f7f5c1041158615639f1
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,14,5370cc8259dd087bb93c,[],"[[203.07899159663867, 168.65882352941176], [203.07899159663867, 376.9008403361345], [335.5966386554622, 373.45882352941175], [333.87563025210085, 170.37983193277313], [660.8672268907563, 148.00672268907564], [662.5882352941177, 395.8319327731093], [850.1781512605043, 399.273949579832], [851.8991596638656, 141.12268907563026]]",0,8,,,,,,05b0e44c2b55dd33b2eb32580c1ad51ac3bba29d8eac3a6354e738da5cca1614
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,纯人工,18,b26eb0a9d329d8a255fd,[],"[[659.46, 148.84], [659.46, 393.29], [849.018, 139.41], [849.018, 402.77], [199.99, 164.54], [199.99, 376.56], [335.96, 169.26], [335.96, 371.28000000000003]]",0,8,,,,,,b16d1728358188958f975ba68df94aac0256aa9704918ff4ca56cf9ab1f7ff7b
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,纯人工,2,3a54a9c43fb6058d2199,[],"[[684.69, 226.38], [684.69, 287.82], [759.99, 222.19], [759.99, 292.3], [733.12, 135.71], [733.12, 382.26], [795.21, 134.98], [795.21, 383.0], [186.046, 72.18], [186.046, 444.34000000000003], [485.39, 198.15], [485.39, 317.86]]",0,12,,,,,,efec669ca2dbae2c9d4ba9b84aac987205289ff934a713d7e9fba004ba8f19fb
