stage,stage_zh,condition,condition_zh,base_task_id,worker_id,response_id,meta_group,label_set_json,label_cardinality,canonical_join_status,canonical_join_status_zh,image_reference
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,C1|69|3294|2|4843,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,C1|69|3294|2|4843,difficulty,"[""occlusion"", ""reflection_transparency""]",2,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,C1|69|3294|8|6105,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,C1|69|3294|8|6105,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,10,C1|69|3294|10|6157,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,10,C1|69|3294|10|6157,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,17,C1|69|3294|17|6188,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,17,C1|69|3294|17|6188,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,C1|69|3294|13|6216,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,C1|69|3294|13|6216,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,6,C1|69|3294|6|6249,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,6,C1|69|3294|6|6249,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,C1|69|3294|1|6281,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,C1|69|3294|1|6281,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,12,C1|69|3294|12|6282,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,12,C1|69|3294|12|6282,difficulty,"[""occlusion""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,11,C1|69|3294|11|6385,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,11,C1|69|3294|11|6385,difficulty,"[""trivial""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,15,C1|69|3294|15|6453,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,15,C1|69|3294|15|6453,difficulty,"[""trivial""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,14,C1|69|3294|14|6486,scope,"[""in_scope""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
C1,校准一阶段,manual,纯人工,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,14,C1|69|3294|14|6486,difficulty,"[""trivial""]",1,matched,已连接最终规范记录,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg
