population,population_zh,stage,stage_zh,condition,condition_zh,base_task_id,meta_group,response_version_count,worker_count,response_pattern_entropy,mean_pairwise_jaccard_disagreement,modal_response_share,version_independence_note
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,difficulty,5,5,0.5004024235381879,0.2,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,scope,5,5,0.9502705392332347,0.7,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,difficulty,5,5,1.0549201679861442,0.7,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,scope,5,5,1.0549201679861442,0.8,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,difficulty,6,6,1.242453324894,0.5777777777777778,0.5,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,scope,6,6,0.8675632284814612,0.6,0.6666666666666666,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,difficulty,6,6,0.6365141682948128,0.5333333333333333,0.6666666666666666,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,scope,6,6,-0.0,0.0,1.0,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,difficulty,5,5,0.5004024235381879,0.2,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scope,5,5,0.9502705392332347,0.7,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,difficulty,5,5,0.5004024235381879,0.4,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,scope,5,5,0.6730116670092565,0.6,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,difficulty,5,5,0.9502705392332347,0.55,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,scope,5,5,-0.0,0.0,1.0,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,difficulty,5,5,0.6730116670092565,0.3,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,scope,5,5,0.5004024235381879,0.4,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,5,5,1.6094379124341005,0.9166666666666667,0.2,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,scope,5,5,0.5004024235381879,0.4,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,difficulty,5,5,0.9502705392332347,0.55,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,scope,5,5,-0.0,0.0,1.0,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,6,6,1.329661348854758,0.8200000000000001,0.3333333333333333,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,scope,6,6,0.8675632284814612,0.6,0.6666666666666666,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,difficulty,5,5,1.3321790402101223,0.7333333333333334,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,scope,5,5,0.5004024235381879,0.4,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,difficulty,6,6,1.5607104090414063,0.7666666666666665,0.3333333333333333,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,scope,6,6,0.45056120886630463,0.3333333333333333,0.8333333333333334,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,difficulty,5,5,0.9502705392332347,0.31666666666666676,0.6,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,scope,5,5,-0.0,0.0,1.0,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,difficulty,5,5,1.0549201679861442,0.6000000000000001,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,scope,5,5,1.0549201679861442,0.8,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,difficulty,5,5,1.3321790402101223,0.5833333333333334,0.4,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,scope,5,5,0.5004024235381879,0.4,0.8,raw/history版本不是独立标注员
raw_history,原始码：raw_history,C1,校准一阶段,manual,纯人工,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,difficulty,6,6,1.3296613488547582,0.6222222222222222,0.3333333333333333,raw/history版本不是独立标注员
