case_category,base_task_id,image_reference,stage,stage_zh,condition,condition_zh,detail_zh,evidence_values_json
semi_uncertainty_compression,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d"", ""building_id"": ""wc2JMjhGNzB"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.7"", ""delta_largest_mode_share"": ""0.65"", ""delta_mode_count"": ""-2.6"", ""delta_pairwise_correspondence_disagreement"": ""0.0016943498515474458"", ""delta_pairwise_metric_dissimilarity_all"": ""-0.01088083382364502"", ""delta_shannon_entropy"": -1.2476649250079013, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.7"", ""manual_largest_mode_share"": ""0.35"", ""manual_mode_count"": ""3.6"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.0036219067661911186"", ""manual_pairwise_metric_dissimilarity_all"": ""0.016197090441383583"", ""manual_shannon_entropy"": ""1.2476649250079013"", ""manual_subset_count"": ""15"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""15"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.0"", ""semi_largest_mode_share"": ""1.0"", ""semi_mode_count"": ""1.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.005316256617738564"", ""semi_pairwise_metric_dissimilarity_all"": ""0.005316256617738564"", ""semi_shannon_entropy"": ""0.0"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_compression,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f"", ""building_id"": ""wc2JMjhGNzB"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.525"", ""delta_largest_mode_share"": ""0.4"", ""delta_mode_count"": ""-1.6"", ""delta_pairwise_correspondence_disagreement"": ""0.0014731720572735783"", ""delta_pairwise_metric_dissimilarity_all"": ""-0.03172356175866994"", ""delta_shannon_entropy"": -0.848766520351474, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.525"", ""manual_largest_mode_share"": ""0.6"", ""manual_mode_count"": ""2.6"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.008568485116204968"", ""manual_pairwise_metric_dissimilarity_all"": ""0.04176521893214848"", ""manual_shannon_entropy"": ""0.848766520351474"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.0"", ""semi_largest_mode_share"": ""1.0"", ""semi_mode_count"": ""1.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.010041657173478546"", ""semi_pairwise_metric_dissimilarity_all"": ""0.010041657173478546"", ""semi_shannon_entropy"": ""0.0"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_compression,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""building_id"": ""7y3sRwLe3Va"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.45"", ""delta_largest_mode_share"": ""0.33333333333333337"", ""delta_mode_count"": ""-1.3333333333333335"", ""delta_pairwise_correspondence_disagreement"": ""-0.003032049760211523"", ""delta_pairwise_metric_dissimilarity_all"": ""-0.017460004997885217"", ""delta_shannon_entropy"": -0.7158003854659982, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.45"", ""manual_largest_mode_share"": ""0.6666666666666666"", ""manual_mode_count"": ""2.3333333333333335"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.003032049760211523"", ""manual_pairwise_metric_dissimilarity_all"": ""0.017460004997885217"", ""manual_shannon_entropy"": ""0.7158003854659982"", ""manual_subset_count"": ""15"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""15"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.0"", ""semi_largest_mode_share"": ""1.0"", ""semi_mode_count"": ""1.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.0"", ""semi_pairwise_metric_dissimilarity_all"": ""0.0"", ""semi_shannon_entropy"": ""0.0"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_compression,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347"", ""building_id"": ""yqstnuAEVhm"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.45"", ""delta_largest_mode_share"": ""0.4"", ""delta_mode_count"": ""-1.0"", ""delta_pairwise_correspondence_disagreement"": ""-0.0038309284783146994"", ""delta_pairwise_metric_dissimilarity_all"": ""-0.01906903755453383"", ""delta_shannon_entropy"": -0.6408223661834905, ""delta_supported_multimodality"": ""-0.6"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.45"", ""manual_largest_mode_share"": ""0.6"", ""manual_mode_count"": ""2.0"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.009605107793644064"", ""manual_pairwise_metric_dissimilarity_all"": ""0.024843216869863193"", ""manual_shannon_entropy"": ""0.6408223661834905"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.6"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.0"", ""semi_largest_mode_share"": ""1.0"", ""semi_mode_count"": ""1.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.005774179315329364"", ""semi_pairwise_metric_dissimilarity_all"": ""0.005774179315329364"", ""semi_shannon_entropy"": ""0.0"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_compression,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9"", ""building_id"": ""B6ByNegPMKs"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.3"", ""delta_largest_mode_share"": ""0.19999999999999996"", ""delta_mode_count"": ""-0.8"", ""delta_pairwise_correspondence_disagreement"": ""0.0001976826233686859"", ""delta_pairwise_metric_dissimilarity_all"": ""-0.019732980741448775"", ""delta_shannon_entropy"": -0.4498681156950466, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.3"", ""manual_largest_mode_share"": ""0.8"", ""manual_mode_count"": ""1.8"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.007915825127319993"", ""manual_pairwise_metric_dissimilarity_all"": ""0.027846488492137455"", ""manual_shannon_entropy"": ""0.44986811569504664"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.0"", ""semi_largest_mode_share"": ""1.0"", ""semi_mode_count"": ""1.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.008113507750688679"", ""semi_pairwise_metric_dissimilarity_all"": ""0.008113507750688679"", ""semi_shannon_entropy"": ""0.0"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_compression,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵低于 Manual；这表示分布集中，不自动表示质量提高。,"{""base_task_id"": ""uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e"", ""building_id"": ""uNb9QFRL6hY"", ""common_k"": ""4"", ""delta_gini_simpson"": ""-0.22499999999999998"", ""delta_largest_mode_share"": ""0.25"", ""delta_mode_count"": ""-0.7999999999999998"", ""delta_pairwise_correspondence_disagreement"": ""0.015822379034000467"", ""delta_pairwise_metric_dissimilarity_all"": ""0.014939925565685686"", ""delta_shannon_entropy"": -0.408070908165115, ""delta_supported_multimodality"": ""-0.2"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.6"", ""manual_largest_mode_share"": ""0.5"", ""manual_mode_count"": ""2.8"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.04374672020664089"", ""manual_pairwise_metric_dissimilarity_all"": ""0.04462917367495567"", ""manual_shannon_entropy"": ""0.9704060527839233"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.2"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.375"", ""semi_largest_mode_share"": ""0.75"", ""semi_mode_count"": ""2.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.059569099240641354"", ""semi_pairwise_metric_dissimilarity_all"": ""0.059569099240641354"", ""semi_shannon_entropy"": ""0.5623351446188083"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_expansion,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵高于 Manual；需结合初始 proposal、编辑和 GT 质量。,"{""base_task_id"": ""q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d"", ""building_id"": ""q9vSo1VnCiC"", ""common_k"": ""4"", ""delta_gini_simpson"": ""0.75"", ""delta_largest_mode_share"": ""-0.75"", ""delta_mode_count"": ""3.0"", ""delta_pairwise_correspondence_disagreement"": """", ""delta_pairwise_metric_dissimilarity_all"": ""0.0414279478486092"", ""delta_shannon_entropy"": 1.3862943611198906, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.0"", ""manual_largest_mode_share"": ""1.0"", ""manual_mode_count"": ""1.0"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.012248938320233438"", ""manual_pairwise_metric_dissimilarity_all"": ""0.012248938320233438"", ""manual_shannon_entropy"": ""0.0"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.75"", ""semi_largest_mode_share"": ""0.25"", ""semi_mode_count"": ""4.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": """", ""semi_pairwise_metric_dissimilarity_all"": ""0.05367688616884264"", ""semi_shannon_entropy"": ""1.3862943611198906"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_expansion,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵高于 Manual；需结合初始 proposal、编辑和 GT 质量。,"{""base_task_id"": ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460"", ""building_id"": ""B6ByNegPMKs"", ""common_k"": ""4"", ""delta_gini_simpson"": ""0.375"", ""delta_largest_mode_share"": ""-0.25"", ""delta_mode_count"": ""1.0"", ""delta_pairwise_correspondence_disagreement"": ""0.0002669119033745747"", ""delta_pairwise_metric_dissimilarity_all"": ""0.015650741165238007"", ""delta_shannon_entropy"": 0.5623351446188083, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.0"", ""manual_largest_mode_share"": ""1.0"", ""manual_mode_count"": ""1.0"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.011650089985680257"", ""manual_pairwise_metric_dissimilarity_all"": ""0.011650089985680257"", ""manual_shannon_entropy"": ""0.0"", ""manual_subset_count"": ""5"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""5"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.375"", ""semi_largest_mode_share"": ""0.75"", ""semi_mode_count"": ""2.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.011917001889054831"", ""semi_pairwise_metric_dissimilarity_all"": ""0.027300831150918265"", ""semi_shannon_entropy"": ""0.5623351446188083"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_expansion,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵高于 Manual；需结合初始 proposal、编辑和 GT 质量。,"{""base_task_id"": ""q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5"", ""building_id"": ""q9vSo1VnCiC"", ""common_k"": ""4"", ""delta_gini_simpson"": ""0.375"", ""delta_largest_mode_share"": ""-0.25"", ""delta_mode_count"": ""1.0"", ""delta_pairwise_correspondence_disagreement"": ""0.0018487014108043093"", ""delta_pairwise_metric_dissimilarity_all"": ""0.013096202632047808"", ""delta_shannon_entropy"": 0.5623351446188083, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.0"", ""manual_largest_mode_share"": ""1.0"", ""manual_mode_count"": ""1.0"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.006565335763284272"", ""manual_pairwise_metric_dissimilarity_all"": ""0.006565335763284272"", ""manual_shannon_entropy"": ""0.0"", ""manual_subset_count"": ""15"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""15"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.375"", ""semi_largest_mode_share"": ""0.75"", ""semi_mode_count"": ""2.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.008414037174088581"", ""semi_pairwise_metric_dissimilarity_all"": ""0.01966153839533208"", ""semi_shannon_entropy"": ""0.5623351446188083"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
semi_uncertainty_expansion,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.jpg,C1,校准一阶段,manual_vs_semi,原始码：manual_vs_semi,Semi 的等支持量模式熵高于 Manual；需结合初始 proposal、编辑和 GT 质量。,"{""base_task_id"": ""uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d"", ""building_id"": ""uNb9QFRL6hY"", ""common_k"": ""4"", ""delta_gini_simpson"": ""0.375"", ""delta_largest_mode_share"": ""-0.25"", ""delta_mode_count"": ""1.0"", ""delta_pairwise_correspondence_disagreement"": ""0.0042854277190275195"", ""delta_pairwise_metric_dissimilarity_all"": ""0.024711024053908928"", ""delta_shannon_entropy"": 0.5623351446188083, ""delta_supported_multimodality"": ""0.0"", ""inference_role"": ""primary_data_mining_inclusive_descriptive"", ""manual_gini_simpson"": ""0.0"", ""manual_largest_mode_share"": ""1.0"", ""manual_mode_count"": ""1.0"", ""manual_nonunique_or_not_evaluable_count"": ""0"", ""manual_pairwise_correspondence_disagreement"": ""0.012380825589329656"", ""manual_pairwise_metric_dissimilarity_all"": ""0.012380825589329656"", ""manual_shannon_entropy"": ""0.0"", ""manual_subset_count"": ""15"", ""manual_supported_multimodality"": ""0.0"", ""manual_unique_partition_count"": ""15"", ""population"": ""all_canonical_planned"", ""semi_gini_simpson"": ""0.375"", ""semi_largest_mode_share"": ""0.75"", ""semi_mode_count"": ""2.0"", ""semi_nonunique_or_not_evaluable_count"": ""0"", ""semi_pairwise_correspondence_disagreement"": ""0.016666253308357176"", ""semi_pairwise_metric_dissimilarity_all"": ""0.037091849643238584"", ""semi_shannon_entropy"": ""0.5623351446188083"", ""semi_subset_count"": ""1"", ""semi_supported_multimodality"": ""0.0"", ""semi_unique_partition_count"": ""1"", ""threshold"": 0.95}"
