base_task_id,worker_support,row_support,building_id,support_bin
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,3,3,2t7WUuJeko7,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,3,3,2t7WUuJeko7,3
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,1,1,2t7WUuJeko7,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,19,19,S9hNv5qa7GM,5_plus
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,1,1,S9hNv5qa7GM,1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,2,2,S9hNv5qa7GM,2
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,4,4,S9hNv5qa7GM,4
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,1,1,S9hNv5qa7GM,1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,2,2,S9hNv5qa7GM,2
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,20,20,S9hNv5qa7GM,5_plus
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,2,2,S9hNv5qa7GM,2
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,1,1,S9hNv5qa7GM,1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,3,3,S9hNv5qa7GM,3
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,2,2,VFuaQ6m2Qom,2
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,2,2,VFuaQ6m2Qom,2
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,6,6,VFuaQ6m2Qom,5_plus
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,19,19,VFuaQ6m2Qom,5_plus
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,5,5,VFuaQ6m2Qom,5_plus
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,2,2,VLzqgDo317F,2
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,3,3,jh4fc5c5qoQ,3
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,2,2,jh4fc5c5qoQ,2
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,2,2,jh4fc5c5qoQ,2
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,2,2,jh4fc5c5qoQ,2
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,2,2,jh4fc5c5qoQ,2
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,1,1,jh4fc5c5qoQ,1
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,2,2,jh4fc5c5qoQ,2
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,3,3,jtcxE69GiFV,3
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,3,3,jtcxE69GiFV,3
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,6,6,jtcxE69GiFV,5_plus
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,1,1,jtcxE69GiFV,1
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,1,1,jtcxE69GiFV,1
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,2,2,jtcxE69GiFV,2
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,1,1,jtcxE69GiFV,1
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,2,2,jtcxE69GiFV,2
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,1,1,jtcxE69GiFV,1
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,4,4,jtcxE69GiFV,4
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,2,2,jtcxE69GiFV,2
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,1,1,jtcxE69GiFV,1
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,4,4,jtcxE69GiFV,4
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,4,4,jtcxE69GiFV,4
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,1,1,jtcxE69GiFV,1
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,3,3,pRbA3pwrgk9,3
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,6,6,pRbA3pwrgk9,5_plus
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,1,1,pRbA3pwrgk9,1
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,2,2,pRbA3pwrgk9,2
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,3,3,pRbA3pwrgk9,3
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,5,5,pRbA3pwrgk9,5_plus
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,2,2,pRbA3pwrgk9,2
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,19,19,pRbA3pwrgk9,5_plus
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,2,2,pRbA3pwrgk9,2
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,2,2,pRbA3pwrgk9,2
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,2,2,pRbA3pwrgk9,2
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,2,2,pa4otMbVnkk,2
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,1,1,pa4otMbVnkk,1
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,2,2,pa4otMbVnkk,2
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,3,3,pa4otMbVnkk,3
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,1,1,pa4otMbVnkk,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,5,5,pa4otMbVnkk,5_plus
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,3,3,pa4otMbVnkk,3
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,1,1,pa4otMbVnkk,1
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,1,1,pa4otMbVnkk,1
