task_id,base_task_id,image_id,image_stem,source_path,image_path,source_pool,source_files,used_in_prescreen,used_in_random_c1_deprecated,has_final_gold,geometry_gold_ready,scope_gold_ready,gt_keypoint_count,gt_pair_count,corner_count_bin,old_manual_scope_raw,old_manual_difficulty_raw,old_semi_model_issue_raw,legacy_label_status,expert_review_status,latest_human_reviewed,scope_difficulty_reviewed,legacy_proxy,unreviewed,expert_scope_confirmed,expert_proxy_family_primary,expert_proxy_family_secondary,model_issue_only,semi_only,scope_gate_only,requires_gt_fix,requires_gt_review,hard_exclude,exclude_reason,eligible_for_manual_calibration,eligible_for_core_proxy_sampling,eligible_for_anchor_candidate,eligible_for_reserve_candidate,eligible_for_semi_candidate,core_candidate_type,proxy_confidence,notes,used_in_existing_manual_or_old_label,legacy_labeled_proxy,unreviewed_pool,source_status,eligible_after_exclusion,full_pool_order,full_pool_source,calibration_split,selection_rank,selection_reason,used_for_r_u,semi_family,semi_family_confidence,semi_selection_rank
468,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,data\mp3d_layout\img_v\uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,12,6,pairs_5_6,normal,occlusion,acceptable,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,模型标注质量好,模型标注质量好,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,265,data/mp3d_layout/img_v,core,65,v3_full_pool_proxy_balanced,false_non_reliability_core,模型标注质量好,legacy_proxy,1
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,data\mp3d_layout\img_v\7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;亲自复核整理;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,oos_split_level,low_texture,acceptable,legacy_proxy,latest_human_reviewed,true,false,true,false,oos 错层多平面,错层多平面,模型标注质量好,false,false,true,false,false,false,,true,true,false,true,true,core_scope_gate_audit_candidate,confirmed,可作 OOS 错层/多平面候选,true,true,false,latest_human_reviewed,true,17,data/mp3d_layout/img_v,core,46,v3_full_pool_proxy_balanced,false_non_reliability_core,模型标注质量好,confirmed,2
654,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,data\mp3d_layout\img_v\yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,16,8,pairs_7_8,normal,occlusion;reflection,acceptable,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,模型标注质量好,模型标注质量好,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,440,data/mp3d_layout/img_v,core,47,v3_full_pool_proxy_balanced,false_non_reliability_core,模型标注质量好,legacy_proxy,3
653,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,data\mp3d_layout\img_v\wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,8,4,pairs_le_4,normal,occlusion;reflection,acceptable,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,模型标注质量好,模型标注质量好,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,392,data/mp3d_layout/img_v,core,58,v3_full_pool_proxy_balanced,false_non_reliability_core,模型标注质量好,legacy_proxy,4
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,data\mp3d_layout\img_v\wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,occlusion;reflection,overextend_adjacent;over_parsing,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,369,data/mp3d_layout/img_v,core,44,v3_full_pool_proxy_balanced,false_non_reliability_core,跨门扩张,legacy_proxy,5
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,data\mp3d_layout\img_v\7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,16,8,pairs_7_8,oos_geometry,occlusion;low_texture,overextend_adjacent;corner_drift;corner_duplicate,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,跨门扩张,跨门扩张,false,false,true,false,false,false,,true,true,false,true,true,core_scope_gate_audit_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,19,data/mp3d_layout/img_v,core,71,v3_full_pool_proxy_balanced,false_non_reliability_core,跨门扩张,legacy_proxy,6
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,data\mp3d_layout\img_v\q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;范围难度人工分层候选;旧标注补充清单;校准semi模型问题整理,false,true,true,true,true,16,8,pairs_7_8,normal,occlusion;low_texture,overextend_adjacent;corner_duplicate;corner_drift,legacy_proxy,legacy_labeled_proxy,false,true,true,false,,跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,199,data/mp3d_layout/img_v,core,49,v3_full_pool_proxy_balanced,false_non_reliability_core,跨门扩张,legacy_proxy,7
525,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,data\mp3d_layout\img_v\UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,true,false,true,true,32,16,pairs_ge_9,normal,occlusion;reflection,overextend_adjacent,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,93,data/mp3d_layout/img_v,core,75,v3_full_pool_proxy_balanced,false_non_reliability_core,跨门扩张,legacy_proxy,8
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,data\mp3d_layout\img_v\uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;范围难度人工分层候选;旧标注补充清单;校准semi模型问题整理,false,false,true,true,true,28,14,pairs_ge_9,normal,occlusion;low_texture,overextend_adjacent;corner_drift,legacy_proxy,legacy_labeled_proxy,false,true,true,false,,跨门扩张,跨门扩张,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,343,data/mp3d_layout/img_v,core,55,v3_full_pool_proxy_balanced,false_non_reliability_core,跨门扩张,legacy_proxy,9
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,data\mp3d_layout\img_v\UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg,full_local_mp3d_layout_image_registry_v3,full_local_image_registry;old_label_json;旧标注补充清单;校准semi模型问题整理,false,false,false,true,true,12,6,pairs_5_6,normal,seam,corner_drift,legacy_proxy,legacy_labeled_proxy,false,false,true,true,,角点错位/飘移,角点错位/飘移,false,false,false,false,false,false,,true,true,false,true,true,core_paired_semi_counterpart_candidate,legacy_proxy,,true,true,false,legacy_labeled_proxy,true,89,data/mp3d_layout/img_v,core,43,v3_full_pool_proxy_balanced,false_non_reliability_core,角点错位/飘移,legacy_proxy,10
