image_id,model,source,sha256,git_blob,bytes_read,arrays_read,status
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.npz,6138cfd685b03e09f6e2d8bf9cbf4a41d8a9b98c24659a585f97e21d41441414,050cc0399c36373e2b9fd48e3fcbd61d2fd30ea6,1422861,61,actual_export_loaded_and_required_candidates_checked
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.npz,dcf2d0b6f625e7db010c96b36e4ba8776629851aaca80201d3a94f37bbcabad7,a680128f2016cba5dbbf1a35a12383c0fd4c1b9c,1429667,61,actual_export_loaded_and_required_candidates_checked
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.npz,74114afac8fb160ea8b0601a77795f9584dd8be1ccd374f52ca58609b1b4ac3f,af7d5c3194aae2ebf224f68e28afbed92195c8a1,1419062,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.npz,b7d49407692109d5ef98ee009e7dd30e1d385a1a45d4d5c73ce9fa14c2c57241,8e44b661af49ccfa578d7208319f02d4584b3586,1407014,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.npz,2b4249b7085b42713d591a1b70f2cf99ebb7af2dbca1fdeaeac44a871af7ab05,e6ed354cba8c8a903a8cf690edab722848e5b2b9,1440405,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.npz,ece2ba699343f34bb80b1c0280d106ae8736086259c34af137ff03e65a63f444,cb12cbc6c650c7c8691edb1dfbfca35ee6fb719a,1418600,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.npz,592c56d483ef6d0e81e2a21bf6c7dcf55963b394f14fbe476b9ca5f62d0891e3,dabae6bc4f64564cd4f6bf38a7e5649c1e65d177,1423035,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.npz,3e23adcf936bd1080f75618026920f166fa092e5ecdff4098e9372f7e911e7be,9fad66e05d2c0b7c0dffc66da639c90160509731,1413025,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.npz,2303c4f5e1de5acdc3f0111c287ca200e51a672a71d235d106e582c0615a4d09,5e64e3942234e7aa634c16f15282a22013b08172,1414576,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.npz,1d7ce4a417c4909d7fefcb2548bbcd404190ecedb1899babd28841869651c302,bd3f66f24bdc42d949ed115cbf8db59aca04fb1a,1433549,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.npz,42f598db2745b94363452b24cc1f865fe1a67bbc3c213f8ac6302a04689bd5c8,f0df2168901bc71bd4d87b59af2fe4b150ada5d3,1422538,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.npz,54140adccda403240d0721da1e26fd5651c6544423edba3ef1d2b379cf276069,54bc4b6bf9f65ab9c2d0effe6e56d2cda7cf2a24,1421880,61,actual_export_loaded_and_required_candidates_checked
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/7y3sRwLe3Va_fdab6422162e49db822a37178ab70481.npz,8c1558e1cf8c7d184386ee287150e8df626777c29c05c457533560f9a4398554,2960d372cb4efa463d088df276955e0a6a4a3c66,1422981,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.npz,dd0f13064a7fc859b44882c56e4ab6c32c164b9d29f2ffa4e3a40f21c4ca5cd7,f0be220bc3a18f1afda807553d0695c3db41b2ce,1410910,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.npz,99ea8dccb85447d564cf7c7aff9bdf024cfbb6fddf740792e9f6465eb04d1a2e,e82d654a72f8d16a673f78d73ce98ceffe534bdc,1434240,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.npz,68679202d2a252ec3f509eccb698dcab96e2df596627d5996fb972f383e96302,17f03449a0172b7ec6040fe3580f0cadba43366f,1414735,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.npz,9f7082e3d321296935b483db8ad28b5629b72d19b0802635f4653ba00b25722b,8569a19e03cab9d75c9fc4c3fb8558d81e4f8af9,1435151,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_75327de9719945aa8b893a6404667884,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_75327de9719945aa8b893a6404667884.npz,5e9ea9a36c8b9b333bd3405a338768836c9da89eae001b6d273971afe328f0cc,9b688a4aacba0baeb1ccbb1ed736ef44ae097685,1413356,61,actual_export_loaded_and_required_candidates_checked
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,hohonet,analysis_results/image_portrait_20260914_v1/models/hohonet/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.npz,1859f33ddf9aeb6f5db9244675407c4c26deb14ef491199825daf21ce2a079ff,b768912aea8ffa0dafb03c49acd63dc9a4af7725,1413984,61,actual_export_loaded_and_required_candidates_checked
