annotator_id,language,completion_status,expected_total,observed_total,pending_completion,dropout,known_bad_or_process_risk,exclude_from_primary_candidate,provisional_worker_status,dry_run,provisional_only
1,zh,pending_completion,57,0,True,false,false,false,pending_completion,True,True
2,zh,pending_completion,57,9,True,false,false,false,pending_completion,True,True
6,zh,complete,57,57,False,false,false,false,review_only,True,True
7,zh,dropout_no_future,57,0,False,true,false,true,dropout,True,True
8,zh,complete,57,57,False,false,false,false,review_only,True,True
9,zh,dropout_no_future,57,0,False,true,false,true,dropout,True,True
10,zh,complete,57,57,False,false,false,false,review_only,True,True
11,zh,complete,57,57,False,false,false,false,review_only,True,True
12,zh,complete,57,57,False,false,false,false,review_only,True,True
13,zh,complete,57,57,False,false,false,false,review_only,True,True
14,zh,complete,57,57,False,false,false,false,review_only,True,True
15,zh,complete,57,57,False,false,false,false,review_only,True,True
16,zh,dropout_no_future,57,0,False,true,false,true,dropout,True,True
17,zh,complete,57,57,False,false,false,false,review_only,True,True
18,zh,pending_completion,57,27,True,false,false,false,pending_completion,True,True
19,zh,known_bad_complete,57,57,False,false,true,true,process_risk_or_excluded,True,True
21,zh,known_bad_complete,57,57,False,false,true,true,process_risk_or_excluded,True,True
26,en,incomplete_excluded,57,56,False,false,true,true,process_risk_or_excluded,True,True
27,en,complete,57,57,False,false,false,false,review_only,True,True
28,en,complete,57,57,False,false,false,false,review_only,True,True
29,en,complete,57,57,False,false,false,false,review_only,True,True
30,en,complete,57,57,False,false,false,false,review_only,True,True
31,en,complete,57,57,False,false,false,false,review_only,True,True
32,en,complete,57,57,False,false,false,false,review_only,True,True
33,en,complete,57,57,False,false,false,false,review_only,True,True
34,en,complete,57,57,False,false,false,false,review_only,True,True
35,en,complete,57,57,False,false,false,false,review_only,True,True
36,en,complete,57,57,False,false,false,false,review_only,True,True
37,en,complete,57,57,False,false,false,false,review_only,True,True
