canonical_annotation_id,worker_id,image_id,raw_condition,processing_status,calculation_included
8487d3e12302f924,17,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,confirmed_point_removed,True
cf3e0b1c47e35600,19,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,confirmed_point_removed,True
36a4d17901b03d45,19,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,confirmed_point_removed,True
c14fda0522180ac6,26,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos,confirmed_response_excluded,False
3a772c253f77d4b7,30,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,confirmed_point_added,True
7f82401488af7306,26,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,confirmed_response_excluded,False
40ac299ba105fdef,37,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,confirmed_point_added,True
e6701d3b7c423a86,19,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,confirmed_response_excluded,False
d1ded26e80b45fc5,19,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,confirmed_point_removed,True
bf715e62b25484d6,19,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,confirmed_point_removed,True
2da0deeeb2d81a3f,26,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,confirmed_response_excluded,False
