image_id,building_id,n_A,n_B,common_recipe_k2_4_6
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,2,1,False
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,2,1,False
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,1,0,False
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,2,2,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,10,10,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,4,1,False
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,1,4,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,2,2,False
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,3,2,False
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,2,3,False
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,2,3,False
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,10,10,True
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,3,2,False
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,1,3,False
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,1,4,False
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,10,10,True
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,2,2,False
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,1,3,False
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,3,2,False
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,10,10,True
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,1,0,False
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,0,2,False
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,1,3,False
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,1,0,False
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,1,1,False
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,10,10,True
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,1,1,False
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,0,1,False
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,1,2,False
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,2,2,False
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,4,0,False
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,10,10,True
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,10,10,True
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,1,3,False
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,10,10,True
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,2,3,False
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,0,2,False
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,0,2,False
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,3,4,False
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,1,4,False
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,1,1,False
