p1_package,p1_import_file,p1_import_order,dataset_group,condition,final_role,semi_role,oos_role,source_task_id,base_task_id,title,image,gt_inner_id,gt_title,gt_image,gt_import_file,gt_project20_task_id,gt_export_order,gt_project20_export_file,match_status
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,1,PreScreen_manual,manual,non_anchor,,,462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,4,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,import_json/label_studio_import_docker.json,2488,4,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,2,PreScreen_manual,manual,expert_anchor,,,470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,12,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,import_json/label_studio_import_docker.json,2496,12,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,3,PreScreen_manual,manual,expert_anchor,,,497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.jpg,39,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.jpg,import_json/label_studio_import_docker.json,2523,39,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,4,PreScreen_manual,manual,non_anchor,,,509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.jpg,51,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.jpg,import_json/label_studio_import_docker.json,2535,51,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,5,PreScreen_manual,manual,expert_anchor,,,510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,52,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,import_json/label_studio_import_docker.json,2536,52,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,6,PreScreen_manual,manual,non_anchor,,,533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.jpg,75,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.jpg,import_json/label_studio_import_docker.json,2559,75,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,7,PreScreen_manual,manual,expert_anchor,,,550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,92,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,import_json/label_studio_import_docker.json,2576,92,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,8,PreScreen_manual,manual,expert_anchor,,,554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,96,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,import_json/label_studio_import_docker.json,2580,96,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,9,PreScreen_manual,manual,expert_anchor,,,555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,97,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,import_json/label_studio_import_docker.json,2581,97,project-20-at-2026-03-27-14-57-e66c6481.json,matched
P1_manual,import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,10,PreScreen_manual,manual,expert_anchor,,,556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.jpg,98,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.jpg,import_json/label_studio_import_docker.json,2582,98,project-20-at-2026-03-27-14-57-e66c6481.json,matched
