gt_inner_id,base_task_id,hohonet_test_png_exists,hohonet_test_png_size,hohonet_test_png_sha16,hohonet_img_v_jpg_exists,hohonet_img_v_jpg_size,hohonet_img_v_jpg_sha16,bilayout_png_exists,bilayout_png_size,bilayout_png_sha16,png_vs_bilayout_mean_abs_rgb_resized,png_vs_bilayout_rms_abs_rgb_resized,png_vs_bilayout_any_pixel_changed,jpg_vs_bilayout_mean_abs_rgb,jpg_vs_bilayout_rms_abs_rgb,jpg_vs_bilayout_any_pixel_changed
1,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,True,2048x1024,3d83e3561abcb743,True,1024x512,1f9be885c9af522b,True,1024x512,2b3e2761f93776a4,1.078,2.933,1,1.903,3.675,1
2,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,True,2048x1024,20be7d456207247b,True,1024x512,491ff05cf27c0ecb,True,1024x512,1a6b77b94aa63dea,2.888,10.039,1,3.254,10.530,1
3,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,True,2048x1024,08356660eb59245c,True,1024x512,4b79bf8d66fed8eb,True,1024x512,9048df74516fe48a,1.390,3.805,1,2.062,4.465,1
4,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,True,2048x1024,dc3b5707c815d730,True,1024x512,b7a26d2c4e54a859,True,1024x512,348c38e8835930d9,0.602,1.727,1,1.357,2.449,1
5,uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086,True,2048x1024,db200ef8f7b0623e,True,1024x512,f22e4e46eb6ada89,True,1024x512,71130578a5cf5462,2.180,7.084,1,2.615,7.624,1
6,Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27,True,2048x1024,62d442e0f24b2db7,True,1024x512,9ee0541ae48dbde4,True,1024x512,cd94a0c4b69b8cff,11.487,21.103,1,12.581,22.773,1
7,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,True,2048x1024,fc6e419392743ce9,True,1024x512,a08917387f25113e,True,1024x512,c5db75b92a14e5bb,1.736,5.001,1,2.479,5.684,1
8,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,True,2048x1024,4eef899c1976d9c6,True,1024x512,7c4c4c74fd1be228,True,1024x512,be3fa5c81dfdd91c,2.046,5.955,1,2.893,6.738,1
9,X7HyMhZNoso_445ae0203f294b5c9889505576e37998,True,2048x1024,5fbbcac4f38fc20f,True,1024x512,1d1dba14ac1788b7,True,1024x512,64d60665415549fb,0.722,2.073,1,1.360,2.702,1
10,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,True,2048x1024,51d976845bf57dab,True,1024x512,5d61ce1129b6f6ff,True,1024x512,68fb40e7ba391f9e,1.140,3.608,1,1.690,4.166,1
11,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,True,2048x1024,3735251478928b60,True,1024x512,500b38166f329092,True,1024x512,a26a3f190e7a8e9a,0.689,1.608,1,1.928,3.203,1
