analysis_role,base_task_id,block3_generated,evidence_rows,formal_policy_frozen,formal_profile_frozen,risk_eligible_rows,scientific_conclusion_prohibited,stage,workers
diagnostic_pre_stage3,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,False,6,False,False,0,True,C1,6
diagnostic_pre_stage3,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,False,10,False,False,0,True,C1,10
diagnostic_pre_stage3,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,False,22,False,False,0,True,C1,22
diagnostic_pre_stage3,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,False,5,False,False,0,True,C1,5
diagnostic_pre_stage3,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,False,9,False,False,0,True,C1,9
diagnostic_pre_stage3,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,False,10,False,False,0,True,C1,10
diagnostic_pre_stage3,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,False,5,False,False,0,True,C1,5
