analysis_role,block3_generated,building_id,evidence_rows,formal_policy_frozen,formal_profile_frozen,risk_eligible_rows,scientific_conclusion_prohibited,stage,workers
diagnostic_pre_stage3,False,7y3sRwLe3Va,49,False,False,0,True,C1,22
diagnostic_pre_stage3,False,B6ByNegPMKs,42,False,False,0,True,C1,22
diagnostic_pre_stage3,False,UwV83HsGsw3,56,False,False,0,True,C1,22
diagnostic_pre_stage3,False,X7HyMhZNoso,14,False,False,0,True,C1,13
diagnostic_pre_stage3,False,Z6MFQCViBuw,24,False,False,0,True,C1,19
diagnostic_pre_stage3,False,b8cTxDM8gDG,10,False,False,0,True,C1,10
diagnostic_pre_stage3,False,e9zR4mvMWw7,17,False,False,0,True,C1,16
diagnostic_pre_stage3,False,q9vSo1VnCiC,62,False,False,0,True,C1,22
diagnostic_pre_stage3,False,rPc6DW4iMge,59,False,False,0,True,C1,22
diagnostic_pre_stage3,False,uNb9QFRL6hY,210,False,False,0,True,C1,22
diagnostic_pre_stage3,False,wc2JMjhGNzB,98,False,False,0,True,C1,22
diagnostic_pre_stage3,False,x8F5xyUWy9e,15,False,False,0,True,C1,15
diagnostic_pre_stage3,False,yqstnuAEVhm,92,False,False,0,True,C1,22
diagnostic_pre_stage3,False,2t7WUuJeko7,7,False,False,7,True,C2A_RP,4
diagnostic_pre_stage3,False,S9hNv5qa7GM,7,False,False,6,True,C2A_RP,5
diagnostic_pre_stage3,False,VFuaQ6m2Qom,6,False,False,5,True,C2A_RP,6
diagnostic_pre_stage3,False,jh4fc5c5qoQ,6,False,False,5,True,C2A_RP,5
diagnostic_pre_stage3,False,jtcxE69GiFV,20,False,False,19,True,C2A_RP,12
diagnostic_pre_stage3,False,pRbA3pwrgk9,12,False,False,11,True,C2A_RP,8
diagnostic_pre_stage3,False,pa4otMbVnkk,11,False,False,9,True,C2A_RP,8
diagnostic_pre_stage3,False,zsNo4HB9uLZ,11,False,False,8,True,C2A_RP,8
diagnostic_pre_stage3,False,S9hNv5qa7GM,49,False,False,48,True,C2B,20
diagnostic_pre_stage3,False,VFuaQ6m2Qom,30,False,False,29,True,C2B,20
diagnostic_pre_stage3,False,VLzqgDo317F,2,False,False,2,True,C2B,2
diagnostic_pre_stage3,False,jh4fc5c5qoQ,9,False,False,9,True,C2B,7
diagnostic_pre_stage3,False,jtcxE69GiFV,17,False,False,17,True,C2B,12
diagnostic_pre_stage3,False,pRbA3pwrgk9,36,False,False,35,True,C2B,20
diagnostic_pre_stage3,False,pa4otMbVnkk,11,False,False,11,True,C2B,11
diagnostic_pre_stage3,False,zsNo4HB9uLZ,6,False,False,4,True,C2B,6
diagnostic_pre_stage3,False,,1481,False,False,0,True,P1,26
