image_id,in_current_adopted_pool,historical_unassisted_submitters,historical_geometry_workers,historical_semi_workers,after_required_workers
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,False,3,3,0,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,False,3,3,0,3
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,False,1,1,0,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,False,5,5,0,5
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,False,24,24,0,24
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,False,24,24,0,24
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,False,24,24,0,24
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,False,0,0,24,0
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,False,5,5,0,5
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,False,6,6,0,6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,True,6,6,4,6
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,False,5,5,4,5
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,False,5,5,0,5
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,False,5,5,0,5
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,False,5,5,0,5
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,False,0,0,24,0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,True,24,24,0,24
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,False,5,5,4,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,False,5,5,4,5
B6ByNegPMKs_75327de9719945aa8b893a6404667884,False,0,0,24,0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,False,24,24,0,24
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,False,6,6,4,6
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,False,24,24,0,24
