worker_id,image_id,tier,language,batch,source_groups,code,number,scene,difficulty,doorway,image_path,selection_state,baseline_credit,order,project_key,package_task_code,display_task_code
1,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,required,zh,G179,G179,uNb9QFRL6hY-19,19,卧室,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,已明确采用,0,1,zh_required,013,任务7-013
1,uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,required,zh,G178,G178,uNb9QFRL6hY-48,48,工作与学习,简单,否,data/mp3d_layout/test/img/uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426.png,已明确采用,0,2,zh_required,020,任务7-020
1,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,required,zh,G184,G184,uNb9QFRL6hY-26,26,卫浴,困难,否,data/mp3d_layout/test/img/uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab.png,已明确采用,5,3,zh_required,015,任务7-015
1,uNb9QFRL6hY_76ba70b55bde4313939a4a0cd78a49d3,required,zh,G184,G184,uNb9QFRL6hY-41,41,卫浴,困难,否,data/mp3d_layout/test/img/uNb9QFRL6hY_76ba70b55bde4313939a4a0cd78a49d3.png,已明确采用,0,4,zh_required,018,任务7-018
1,uNb9QFRL6hY_13a430466eb64e2087e7fb5acde7a398,required,zh,G172,G172,uNb9QFRL6hY-09,9,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_13a430466eb64e2087e7fb5acde7a398.png,已明确采用,0,5,zh_required,009,任务7-009
1,uNb9QFRL6hY_b98c9460586e4f138658181461df9f51,required,zh,G184,G184,uNb9QFRL6hY-59,59,卫浴,困难,否,data/mp3d_layout/test/img/uNb9QFRL6hY_b98c9460586e4f138658181461df9f51.png,已明确采用,0,6,zh_required,024,任务7-024
1,uNb9QFRL6hY_a728d2eef41b449f82357899de802dd3,required,zh,G172,G172,uNb9QFRL6hY-53,53,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_a728d2eef41b449f82357899de802dd3.png,已明确采用,0,7,zh_required,021,任务7-021
1,uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8,required,zh,G172,G172,uNb9QFRL6hY-04,4,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8.png,已明确采用,0,8,zh_required,007,任务7-007
1,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,required,zh,G172,G172,uNb9QFRL6hY-12,12,起居与休闲,中等,否,data/mp3d_layout/test/img/uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f.png,已明确采用,0,9,zh_required,010,任务7-010
1,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,required,zh,G184,G184,uNb9QFRL6hY-66,66,卫浴,困难,否,data/mp3d_layout/test/img/uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449.png,已明确采用,5,10,zh_required,025,任务7-025
