canonical_annotation_id,image_id,building,worker_id,main_worker_included,stage,initialization_source,initialization_reference_type,current_reference_status,planned_payload_verified,participant_view_event_verified,checkpoint_known,initial_geometry_valid,initial_failure,initial_points,final_points,initial_error_current_reference,final_error_current_reference,net_reference_improvement,initial_final_d_mask,point_count_changed,active_seconds,scope
babc4e1b7d60b5ce,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W001,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0885658713308,0.0622941539563,0.174585143556,True,40,normal
1106d9b3309125ae,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W010,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0334232500341,0.117436775253,0.142669296515,True,125,normal
b11846422ee8df2c,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W011,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,12,0.150860025287,0.150860025287,0,0,False,24,normal
38972f7a8ac6e59e,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W012,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0892666166064,0.0615934086807,0.196889734248,True,,normal
e13f31dcfeca786f,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W013,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0334232500341,0.117436775253,0.142669296515,True,50,normal
c98ff21fd3ac34dc,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W014,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0324866563198,0.118373368967,0.145327052778,True,,normal
ed7c1f77254fbb2a,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W015,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.026638461829,0.124221563458,0.14553190356,True,281,normal
f9d6980bfc9259bd,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W017,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0315810106828,0.119279014604,0.146022148379,True,114,normal
dee69b2b7ab15827,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W018,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0334232500341,0.117436775253,0.142669296515,True,81,normal
708d8e2dff95ff2d,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W019,False,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,10,0.150860025287,0.210791012956,-0.0599309876687,0.145165510925,True,,normal
6d3c8739804e5920,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W002,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0365244544828,0.114335570804,0.145900979471,True,32,normal
d46ea988f490ef0f,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W021,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.026638461829,0.124221563458,0.14553190356,True,17,normal
a655ba3039d8cfc4,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W026,False,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,12,0.150860025287,0.150860025287,0,0,False,,oos_open_boundary
243708573fc746f4,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W027,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0334232500341,0.117436775253,0.142669296515,True,284,normal
843ee33e6df34cd4,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W028,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,6,0.150860025287,0.0359006220479,0.114959403239,0.159705499191,True,495,oos_insufficient
618e8cec7d276f9c,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W029,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.182400989539,-0.0315409642518,0.279264815604,True,244,oos_geometry
c0d2a3ea11db107a,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W030,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0689001737672,0.08195985152,0.171330205107,True,82,oos_open_boundary
5ff7ca831e9c5ad8,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W031,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0467832708848,0.104076754402,0.157587418213,True,,normal
b8541e4707e39e94,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W032,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,6,0.150860025287,0.0324904340794,0.118369591208,0.156270778062,True,283,oos_open_boundary
4d2388c60747a53d,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W033,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0263173829455,0.124542642342,0.14592709646,True,160,normal
1bbc73c77d272720,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W034,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.15598565559,-0.00512563030335,0.262144369363,True,,normal
c4bc31bc73053a93,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,W035,True,P1,trap_synthetic_disjoint_source,synthetic_source_gt,public_dataset_reference_not_quality_assumed,True,False,False,True,,12,8,0.150860025287,0.0583546135835,0.0925054117036,0.16646893621,True,,normal
