image_id,condition,trigger,value,question,canonical_ids,worker_ids,adjudication_status
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,hidden geometry outside allowed seed/model candidates,0.6875,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,50e0c1d231bdc3e1|37d563a2a56a489c|b9e28e0e52d42c3e|c3c671ad2606cc81|dfeb464b1f6ab259|116113684cacd9cd|38f42c41164cac24|c37f510f32a97089|b94c8e53634b4344|b65da8ecfd28bcec|352bcc94c85fa24a|c99302ecb9582495|a9df090a73a1a89c|f1dd682311fd4140|0dd58701c016b64d|7dbcb72e807e85d2|330b5b8e0a0c2fec|98498bd37758c8be|d8758b5b52e63e50|65a57cac6d5c466f|d9f496f32a9ca809|8caa1a6f8af38d0e|95bec3e4f8012871|452a692a4bf6d4f5,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,hidden geometry outside allowed seed/model candidates,0.6875,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,9fc7e8e2d9d6bcc3|57c9e6d18d1e8441|e6cf4672ca0a98e0|f3dddcec6bd52333|0def5b6fa7a8c943|6751bda596ab6aa3|870b797b2c22b194|842bcbbca90674ae|ebf6a238abbded76|164460ea4b39a74c|ea3d5e0fe3227ffd|df9f72a9643f2a2e|68f273f5934bd5d6|f89be7fd70fc65db|55515d4fbe62f3d7|caa6d658732cb9af|3a772c253f77d4b7|9c8fbc4acb8cacca|d98e0f6e768e3029|4556c580e92894d6|2385c7af67eeea4e|3d53a4f071f870cb|680d9cdf96eaadf7|90b4dd7e59f67c16,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,hidden geometry outside allowed seed/model candidates,0.6428571428571428,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,a1d5efe386cf76ad|860d45b73111d943|6ab629e7746273bd|3b9e797620fb7dd9|a818d1b88c34b687|ef971c0766ea37de|f0a32074507842d5|6ac5bcc2f84af656|a29b0f7c6c31b71b|317e5971cdfd0288|dcf6c97b7f3e2e0f|1120d74f964c5f97|cd3a92cc2800b3c7|4d934ce66ec29a47|3f6b62e3295e009a|8d6f18bc98ea1938|feaa118aa8a59f86|c61e2afdd2d8efd8|53b22edb56cc554f|aa5ab1caef85cf99|65e6380997e850f1|2431f1da19aaa950,W001|W006|W008|W010|W011|W012|W013|W014|W015|W017|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,hidden geometry outside allowed seed/model candidates,0.6333333333333333,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,1f27c10411477390|4d4eeebacecb850a|026b9a1fe7ba6a07|4a6dba8a9c32eb66|fb6a42a891f7dcee|9732c6f38ae221f0|170e1369f3fbeb52|1894f27c3fd308cd|1b3675da6acfc3f6|6decc656fd10407c|7231fd59d0668aa1|45ab7471668e03d9|899b2864942e642d|97a3f59e2ba873d1|0f26a801f28ae1ea|6426cfae34d581ff|1855cec45f3e93ab|0657f6415220d28c|f75ec2a5eb7100a8|4d26dca68df3a0a4|6d67a30583e6d492|b5c368a4140e7de4|a49a93c3a2018b34,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,hidden geometry outside allowed seed/model candidates,0.625,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,c87d232365323163|60f415b63bc6abc8|902c7685cf8d8d7f|b9d7de702dfef712|6ef72d6a7373d51d|6b6025969bfa55d0|86bcdfbf6785b83b|901942d47886d494|645a19e0d1eff33f|cede48245acaf369|a10544ac2d404470|aff097a10b8a446c|26f5958a9b8dbc72|2c474f6a00577ed6|1bb726e611007d9d|1614c0e2e49fb8a1|78a68354a388042f|25a1d0d06f3c7ffa|dd72228423710274|4a3402faafe5ac31|723bcf1f4f6f7bf5|786190bfb0e48244|07ee953d1535b28d|90218eb4d8649c74,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,hidden geometry outside allowed seed/model candidates,0.6,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,decd9e3adcbe39aed044|014b4e58073b849f7ed9|ae7096d6a5b271deaac2|f235b3c540b6882e63cb|cc4b77a1e08c03d24b8b|45c7e6b9c0f075b709c5|b1ce4141a47902a64e35|8f784855d8bd4f3a9024|23115303fffe0aeeb5be|ea7fabdfe31667749db1|097614c2e4d646b9059e|9468385d865a6955cb73|0a79e9b207c32db39202|64a7b681289e1d9e5c28|0ba3c33cb0e05abf58ae|e0a58597afa7f260d97e|d704f69a1c7c5327e638|c6821c31452459c11f75|ea7f2a3fdcd3a9d42d55|9d17cd836d7fc38ad108|1f84dbf5541abdd7a52b|35e84449b82da019aab5|303a694734e00bd95c83,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,hidden geometry outside allowed seed/model candidates,0.6,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,e367c19601f2d8e7823e|8e8f77a48f3ad4c6096c|91f5a2eb0fcd82cebcf4|f2769cc6b8e8d4026727|6c9ac9d78b385a762253|ffd589e4f6a13787a5d6|082f62d60b17746b01fc|e66d78ee7fefb50ef63b|60a0c3a0dcba1739fb67|aadcebbd5deed880c6fe|be51f8a15243df569129|6807fe796de6aacaa1d3|98f815cef49de82c7449|eb7401f8c6a2d74124c0|a2dd65d0b594bb9212ac|1b06bf8a8b92fca18545|fc858eb54d55668285a1|100cc9a45d0a0f994238|2f1944702583d6eb6860|7316a2901ae455c12625|f048b9e4877b4a6cc5d6|b93da0bbe5ffb848a0c6|2976993fc059101f9e6a,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,hidden geometry outside allowed seed/model candidates,0.59375,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,a3975721377143bb|100894ba6bbd1c2a|89baed79d40c1055|90ea86e7d48174ff|94c06b2d1bd3e71f|db91666fae7b3b76|25b1a2f938069b01|e117dbefc01bd181|a26eb6f92e013247|716886a2da0110e0|c609905186295723|f219dc1036258a80|6b2052d3fba9dfe9|426f97d5e9bd1052|1a628f7c69f6416b|264bb601655e3517|d89e352b650edb48|02b72fbd029d4c27|c107457021c4fdda|e77a797b88db2ceb|a1fe8ddab1fe7c86|b9f7aa260a402700|d2e973b350e6241e|b66f79e3d5607ae9,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,hidden geometry outside allowed seed/model candidates,0.59375,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,2a11d537c790512c|75be39df2c1c14a3|8178591994d42ce3|edbb02694073d0f8|7693891481ff5386|88a80bacfd70139f|9d5019675a6c9add|a4e0cac5adec2e1e|5a980411975e48d1|f4e3004912779c48|74051761f655b31b|523c33883ac9489a|c0243fb04589828e|d7eb6edddcc78db9|39f32d3182a9a449|f9f3e8e273c243a5|1eff38d64ebf8ebb|f79d8e8c15022fce|8b3be018ff673d1f|268e43366ea0bcb8|9ab5ef47f1224afd|7ad8feb020087113|43b2e89e9fd7c38f|79a20413d834e832,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,hidden geometry outside allowed seed/model candidates,0.59375,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,815fd216217c1154|d7eb958cdac4d365|342e487f437ad89a|11628957a40ead2f|99b98c71c8ac6cd8|f08c6262c07aaaf7|782abfe913b39a78|4d93146011879ad3|589afb1182c4df73|dcef5de556c4238a|4ae9cc8453c6eec8|4256a770bc409d70|dc7be2ac3c7daaf6|301e8f57605f360a|e41dccd543530b6f|8e954e66e20c6ba3|06f95fe563212fba|9515ea81d3b7d5f0|0ffa405d9cace672|975981eecffd896f|b4a28e4583d9d910|bf730d2c56f61535|16f25622c221fa4c|208a71d158c92f4e,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
