room_id,status,images,buildings,crosses_buildings
supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,4,2t7WUuJeko7,False
supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,5,2t7WUuJeko7,False
supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,supported_component,2,2t7WUuJeko7,False
supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,supported_component,4,2t7WUuJeko7,False
supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,supported_component,2,2t7WUuJeko7,False
supported_component:7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,overlap_with_pending_or_unsupported,2,7y3sRwLe3Va,False
supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,2,7y3sRwLe3Va,False
supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,4,7y3sRwLe3Va,False
supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,4,7y3sRwLe3Va,False
supported_component:7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,supported_component,2,7y3sRwLe3Va,False
supported_component:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,supported_component,3,7y3sRwLe3Va,False
supported_component:B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,supported_component,2,B6ByNegPMKs,False
supported_component:B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5,supported_component,2,B6ByNegPMKs,False
supported_component:B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,supported_component,2,B6ByNegPMKs,False
supported_component:B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,overlap_with_pending_or_unsupported,2,B6ByNegPMKs,False
supported_component:B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884,supported_component,2,B6ByNegPMKs,False
supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,2,B6ByNegPMKs,False
supported_component:S9hNv5qa7GM_181c56d99ddd42ba8d4be09dbb135381,overlap_with_pending_or_unsupported,3,S9hNv5qa7GM,False
supported_component:S9hNv5qa7GM_27869fb0e3414f2687b9580b335ec615,supported_component,2,S9hNv5qa7GM,False
supported_component:S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,overlap_with_pending_or_unsupported,2,S9hNv5qa7GM,False
supported_component:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,supported_component,3,S9hNv5qa7GM,False
supported_component:S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,supported_component,5,S9hNv5qa7GM,False
supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,supported_component,6,UwV83HsGsw3,False
supported_component:UwV83HsGsw3_1018c8753d68416e8f2d48a144282aeb,overlap_with_pending_or_unsupported,5,UwV83HsGsw3,False
supported_component:UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8,overlap_with_pending_or_unsupported,3,UwV83HsGsw3,False
supported_component:UwV83HsGsw3_28e58f32d4274b62ac6d2b239e9e8516,overlap_with_pending_or_unsupported,2,UwV83HsGsw3,False
supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,6,VFuaQ6m2Qom,False
supported_component:VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,supported_component,3,VFuaQ6m2Qom,False
supported_component:VLzqgDo317F_35299a16cf1e447da4c15c443929c27a,overlap_with_pending_or_unsupported,2,VLzqgDo317F,False
supported_component:X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583,supported_component,4,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_0e8aea225d0942f494fd2255f49eb314,overlap_with_pending_or_unsupported,2,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,supported_component,3,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,supported_component,2,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c,supported_component,4,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,overlap_with_pending_or_unsupported,2,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f,overlap_with_pending_or_unsupported,2,X7HyMhZNoso,False
supported_component:X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,overlap_with_pending_or_unsupported,2,X7HyMhZNoso,False
supported_component:Z6MFQCViBuw_099d792dbfb2402ca355fd7ed860128f,overlap_with_pending_or_unsupported,2,Z6MFQCViBuw,False
supported_component:Z6MFQCViBuw_2008e72476f84104858e908beeac0193,overlap_with_pending_or_unsupported,4,Z6MFQCViBuw,False
supported_component:ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059,supported_component,2,ZMojNkEp431,False
supported_component:b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,supported_component,2,b8cTxDM8gDG,False
supported_component:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,supported_component,3,b8cTxDM8gDG,False
supported_component:b8cTxDM8gDG_3638da5864ab4d2aa722479d9efa8b71,overlap_with_pending_or_unsupported,2,b8cTxDM8gDG,False
supported_component:b8cTxDM8gDG_3892d409b66644439f5afcf3d296efbf,supported_component,2,b8cTxDM8gDG,False
supported_component:b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,supported_component,2,b8cTxDM8gDG,False
supported_component:b8cTxDM8gDG_afc1807e6a1946b79137c1a158526913,overlap_with_pending_or_unsupported,2,b8cTxDM8gDG,False
supported_component:e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,supported_component,3,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,supported_component,7,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd,supported_component,3,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11,overlap_with_pending_or_unsupported,2,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,supported_component,2,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654,supported_component,5,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,supported_component,3,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,supported_component,3,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777,overlap_with_pending_or_unsupported,3,e9zR4mvMWw7,False
supported_component:e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,supported_component,2,e9zR4mvMWw7,False
