code,condition,N,method,id,worker,cluster,density_unassigned
jtcxE69GiFV-05,manual,6,A0_legacy,8ff7251a7c24a8e0e71e,W002,1,False
jtcxE69GiFV-05,manual,6,A0_legacy,8af889f37a502f3fa126,W006,1,False
jtcxE69GiFV-05,manual,6,A0_legacy,f005d5460cd37c229372,W008,2,False
jtcxE69GiFV-05,manual,6,A0_legacy,dbdc83a7c9f53399480c,W012,2,False
jtcxE69GiFV-05,manual,6,A0_legacy,f92320ca03fc70c20aea,W013,2,False
jtcxE69GiFV-05,manual,6,A0_legacy,a431c68f99235de30da3,W015,1,False
jtcxE69GiFV-05,manual,6,A1_mask,8ff7251a7c24a8e0e71e,W002,1,False
jtcxE69GiFV-05,manual,6,A1_mask,8af889f37a502f3fa126,W006,1,False
jtcxE69GiFV-05,manual,6,A1_mask,f005d5460cd37c229372,W008,2,False
jtcxE69GiFV-05,manual,6,A1_mask,dbdc83a7c9f53399480c,W012,2,False
jtcxE69GiFV-05,manual,6,A1_mask,f92320ca03fc70c20aea,W013,2,False
jtcxE69GiFV-05,manual,6,A1_mask,a431c68f99235de30da3,W015,1,False
jtcxE69GiFV-05,manual,6,A2_local,8ff7251a7c24a8e0e71e,W002,1,False
jtcxE69GiFV-05,manual,6,A2_local,8af889f37a502f3fa126,W006,1,False
jtcxE69GiFV-05,manual,6,A2_local,f005d5460cd37c229372,W008,2,False
jtcxE69GiFV-05,manual,6,A2_local,dbdc83a7c9f53399480c,W012,2,False
jtcxE69GiFV-05,manual,6,A2_local,f92320ca03fc70c20aea,W013,2,False
jtcxE69GiFV-05,manual,6,A2_local,a431c68f99235de30da3,W015,1,False
jtcxE69GiFV-05,manual,6,A3_cyclic,8ff7251a7c24a8e0e71e,W002,1,False
jtcxE69GiFV-05,manual,6,A3_cyclic,8af889f37a502f3fa126,W006,3,False
jtcxE69GiFV-05,manual,6,A3_cyclic,f005d5460cd37c229372,W008,1,False
jtcxE69GiFV-05,manual,6,A3_cyclic,dbdc83a7c9f53399480c,W012,2,False
jtcxE69GiFV-05,manual,6,A3_cyclic,f92320ca03fc70c20aea,W013,2,False
jtcxE69GiFV-05,manual,6,A3_cyclic,a431c68f99235de30da3,W015,1,False
jtcxE69GiFV-05,manual,6,A4_adaptive,8ff7251a7c24a8e0e71e,W002,1,False
jtcxE69GiFV-05,manual,6,A4_adaptive,8af889f37a502f3fa126,W006,3,False
jtcxE69GiFV-05,manual,6,A4_adaptive,f005d5460cd37c229372,W008,1,False
jtcxE69GiFV-05,manual,6,A4_adaptive,dbdc83a7c9f53399480c,W012,2,False
