code,condition,id,worker,valid,reason,legacy_included,legacy_worker_included,raw_points,effective_points
jtcxE69GiFV-05,manual,8ff7251a7c24a8e0e71e,W002,True,,True,True,8,8.0
jtcxE69GiFV-05,manual,8af889f37a502f3fa126,W006,True,,True,True,8,8.0
jtcxE69GiFV-05,manual,f005d5460cd37c229372,W008,True,,True,True,8,8.0
jtcxE69GiFV-05,manual,dbdc83a7c9f53399480c,W012,True,,True,True,8,8.0
jtcxE69GiFV-05,manual,f92320ca03fc70c20aea,W013,True,,True,True,8,8.0
jtcxE69GiFV-05,manual,a431c68f99235de30da3,W015,True,,True,True,8,8.0
uNb9QFRL6hY-40,semi,702f8663c962b7634220,W011,True,,True,True,12,12.0
uNb9QFRL6hY-40,semi,ec7b9674561060eaad40,W012,True,,True,True,12,12.0
uNb9QFRL6hY-40,semi,b578f0248ceb6441105b,W015,True,,True,True,12,12.0
uNb9QFRL6hY-40,semi,3a3bc0a4eb51fdb493f4,W034,True,,True,True,8,8.0
uNb9QFRL6hY-40,manual,f8b24f616d167c27b810,W006,True,,True,True,10,10.0
uNb9QFRL6hY-40,manual,f2a65213a0368b751984,W008,True,,True,True,8,8.0
uNb9QFRL6hY-40,manual,92084aa32f538179d158,W017,True,,True,True,8,8.0
uNb9QFRL6hY-40,manual,5d58f3bc4858f0d343be,W031,True,,True,True,8,8.0
uNb9QFRL6hY-40,manual,d2c9465ce508ba7c1195,W032,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,d6f4c71d3816fc9fef4a,W001,True,,True,True,10,10.0
uNb9QFRL6hY-45,manual,81234a56777545e31b9c,W002,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,561446db19099c48c68e,W006,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,19253e4ab328902a4d12,W008,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,bb287f23eb43955e7502,W010,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,006d495cbff76f46e992,W011,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,fca31418ca45c43fa616,W012,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,8d7a436f7ee75b72d1ba,W013,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,1230dd95959a683bf7aa,W014,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,8b9ce3b553725840ef9d,W015,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,8f8f293766eeffd6470a,W017,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,48e0e1e7a86beb1ce565,W018,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,d9c1add75dab8315cd34,W027,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,2de8896d2c2ea564fd37,W028,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,42264e54a01908d81bbe,W029,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,acb3d20a4fb6e211d3b1,W030,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,b7393a16aa19bd7f1989,W031,True,,True,True,14,14.0
uNb9QFRL6hY-45,manual,88b2b69f04caf44309bc,W032,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,93cf3ac259facb9e83dc,W033,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,c53730832245059ca129,W034,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,0e09f3e9552514dbad74,W035,True,,True,True,8,8.0
uNb9QFRL6hY-45,manual,45865dabe049ebace6d2,W036,True,,True,True,12,12.0
uNb9QFRL6hY-45,manual,432c6ebaa6bb7a54b3a9,W037,True,,True,True,14,14.0
7y3sRwLe3Va-08,oos,1870bb9b73b8e731,W001,True,,True,True,8,8.0
7y3sRwLe3Va-08,oos,dc2410f47b0ae7f6,W002,True,,True,True,8,8.0
7y3sRwLe3Va-08,oos,62350f1ba1f6f629,W006,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,ced04aaa4e1efa7e,W008,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,95c53ad8a5a96289,W010,True,,True,True,12,12.0
7y3sRwLe3Va-08,oos,255bcfbc04e42564,W011,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,9e238cb62af7d82e,W012,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,dcf84084e2f4a4bf,W013,True,,True,True,8,8.0
7y3sRwLe3Va-08,oos,85ae90c2f81b66df,W014,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,c345eac5108fcf77,W015,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,db928628d69b3f0a,W017,True,,True,True,8,8.0
7y3sRwLe3Va-08,oos,4785d000f2625c42,W018,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,712e3eb9664c8fbc,W019,True,,True,False,6,6.0
7y3sRwLe3Va-08,oos,e5a17929a8d3ddab,W021,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,f7cef468b7fc1a50,W026,False,shape_invalid,False,False,0,0.0
7y3sRwLe3Va-08,oos,03e01729807e10b2,W027,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,8cd45265d79ac735,W028,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,f7889df0393772a8,W029,True,,True,True,16,16.0
7y3sRwLe3Va-08,oos,42cd5a13d2ad90e1,W030,True,,True,True,18,18.0
7y3sRwLe3Va-08,oos,8044ecb0849dfec0,W031,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,31ba2b8e12c0dae4,W032,True,,True,True,22,22.0
7y3sRwLe3Va-08,oos,8ada6a2e55916c35,W033,True,,True,True,16,16.0
7y3sRwLe3Va-08,oos,5dec5e1874a7a054,W034,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,b66bb9496c68e5be,W035,True,,True,True,20,20.0
7y3sRwLe3Va-08,oos,9f069c3bb68abdf2,W036,True,,True,True,12,12.0
7y3sRwLe3Va-08,oos,60bba1fdafe4c9bd,W037,True,,True,True,14,14.0
7y3sRwLe3Va-12,oos,a800c13498de5044,W001,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,2cb026abc8f06cca,W002,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,075417b5f26b1723,W006,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,bf182260d97e72b4,W008,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,82fb1dbda549df08,W010,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,b2e72f1eccfff1ce,W011,True,,True,True,14,14.0
7y3sRwLe3Va-12,oos,a3ab6a5900bc68ec,W012,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,0425a943a10eec7b,W013,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,58c295ccb812be32,W014,True,,True,True,14,14.0
7y3sRwLe3Va-12,oos,27dbf5c9cdf792b8,W015,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,3aa0bf741c4b39c3,W017,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,bf04983c0e9d6481,W018,True,,True,True,16,16.0
7y3sRwLe3Va-12,oos,00a98959a0e8cc08,W019,True,,True,False,6,6.0
7y3sRwLe3Va-12,oos,c16f76b61a0c2732,W021,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,626ac6adf5415dd2,W026,False,shape_invalid,False,False,0,0.0
7y3sRwLe3Va-12,oos,1c503eddee825845,W027,True,,True,True,12,12.0
7y3sRwLe3Va-12,oos,4646bfc46dc3b9ce,W028,True,,True,True,16,16.0
7y3sRwLe3Va-12,oos,bba1f0de8ac71831,W029,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,925ff212fc8d9104,W030,True,,True,True,12,12.0
7y3sRwLe3Va-12,oos,32eaa5e855ae90ee,W031,True,,True,True,10,10.0
7y3sRwLe3Va-12,oos,628f11c0e0520639,W032,True,,True,True,16,16.0
7y3sRwLe3Va-12,oos,ffa6a35684824582,W033,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,7ed4383a08375303,W034,True,,True,True,12,12.0
7y3sRwLe3Va-12,oos,81feb0e35cc60306,W035,True,,True,True,10,10.0
7y3sRwLe3Va-12,oos,f227fac3913dbc27,W036,True,,True,True,8,8.0
7y3sRwLe3Va-12,oos,4d3e4911d8f07aa2,W037,False,odd_keypoint_count,True,True,11,11.0
B6ByNegPMKs-11,manual,3f1d4cacc3faf7d7,W001,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,75ca740199bbfca6,W002,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,e2c06769623e335c,W006,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,f61cafa7e89ea17e,W008,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,cd59ff6392d0007b,W010,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,9664309abeb6b078,W011,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,7b70014ef90dfa00,W012,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,77ab07a0a6d85137,W013,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,033e34e10addfeb4,W014,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,be4265df16f250c5,W015,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,ee6734855a1fce2c,W017,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,69dd02c653b999da,W018,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,d3b8c5279c4cce15,W019,True,,True,False,8,8.0
B6ByNegPMKs-11,manual,158cdf9ee8269d7a,W021,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,341734cb27e2e971,W026,False,shape_invalid,False,False,0,0.0
B6ByNegPMKs-11,manual,ae9eebd3c841d936,W027,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,f8548145ddefef82,W028,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,dab549f7649c26f5,W029,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,d5ec1431385bed24,W030,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,01111484ace4b94e,W031,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,283873b63fff0570,W032,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,0a8c62a27fbaac21,W033,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,d709cefe9dcba87b,W034,True,,True,True,10,10.0
B6ByNegPMKs-11,manual,71917bb13f847c7d,W035,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,803f0a9e869112a9,W036,True,,True,True,8,8.0
B6ByNegPMKs-11,manual,9a14ee08aba6a9c3,W037,True,,True,True,8,8.0
B6ByNegPMKs-21,semi,456be942f0947a669713,W001,True,,True,True,10,10.0
B6ByNegPMKs-21,semi,9b7c8a47533d55322728,W002,True,,True,True,8,8.0
B6ByNegPMKs-21,semi,bbb44530a7ff92f92b27,W030,True,,True,True,8,8.0
B6ByNegPMKs-21,semi,bf6d1e98afbb6306ebff,W032,True,,True,True,8,8.0
B6ByNegPMKs-21,manual,ef96b87ef5fb03c9889e,W027,True,,True,True,8,8.0
B6ByNegPMKs-21,manual,53a1af9cac0415879d2f,W028,True,,True,True,8,8.0
B6ByNegPMKs-21,manual,04c900e4f73f755265b3,W029,True,,True,True,8,8.0
B6ByNegPMKs-21,manual,25a1ba6fcd4fbb14c433,W035,True,,True,True,8,8.0
B6ByNegPMKs-21,manual,cc1c0c89b7e5fdacc836,W036,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,b21b9e1bc1f9748c,W001,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,f6296e82c056709c,W002,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,b17159a624da813a,W006,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,aba9b1487cd9adfb,W008,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,dd75ae13e342b2e4,W010,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,5945adbef25e9e2d,W011,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,4b34ab7cdc3ff32b,W012,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,ee2a23d20aaa38a2,W013,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,a10636e431b96e35,W014,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,8f3e2abc0f04f753,W015,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,f8530b0e7a20bef6,W017,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,202d1d9063738999,W018,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,87d9235672d0264e,W019,True,,True,False,10,10.0
B6ByNegPMKs-22,semi,c9f042d8c21ca99b,W021,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,91fa809bea75fc47,W026,True,,True,False,8,8.0
B6ByNegPMKs-22,semi,c6f141b411336076,W027,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,5429d9e5ae4acde8,W028,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,ad6812c23b79784a,W029,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,1c1e863ffcab5dcb,W030,True,,True,True,8,8.0
B6ByNegPMKs-22,semi,a55a92a57a48a087,W031,True,,True,True,8,8.0
