code,condition,worker_a,worker_b,relation,visual_note,review_status,A0_legacy,A1_mask,A2_local,A3_cyclic,A4_adaptive,A5_density,A6_spectral,A7_event,spherical,solid,event_signature_equal,image_id,building,id_a,id_b,n_a,n_b,same_count,ospa1,ospa2,cardinality_floor,hausdorff,directed_a,directed_b,nn_mean,sum_assignment_max,bottleneck,uncovered_a_3,uncovered_b_3,matched_3,one_to_one_unmatched_3,uncovered_a_6,uncovered_b_6,matched_6,one_to_one_unmatched_6,uncovered_a_9,uncovered_b_9,matched_9,one_to_one_unmatched_9,uncovered_a_12,uncovered_b_12,matched_12,one_to_one_unmatched_12,source,cluster_count_only,cluster_OSPA1_3,cluster_OSPA1_6,cluster_OSPA1_9,cluster_OSPA2_3,cluster_OSPA2_6,cluster_OSPA2_9,cluster_OSPA2_12,cluster_Hausdorff_3,cluster_Hausdorff_6,cluster_Hausdorff_9,cluster_Hausdorff_12,cluster_OSPA1_6_AND_H6,cluster_OSPA1_6_AND_H9,cluster_OSPA1_6_AND_H12,cluster_Bottleneck_equal_6,cluster_Bottleneck_equal_9,cluster_Bottleneck_equal_12
jtcxE69GiFV-05,manual,W012,W015,same_range_expression_localization_diff,墙角对应相近；首个及左侧底点差异，不是两个房间,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,True,False,True,True,,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,dbdc83a7c9f53399480c,a431c68f99235de30da3,8,8,True,2.770546760260097,3.0084645830535317,0.0,5.308084945796395,5.308084945796395,5.308084945796395,2.770546760260097,5.308084945796395,5.308084945796395,2,2,6,4,0,0,8,0,0,0,8,0,0,0,8,0,previous_analyst29_not_user_gold,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True
B6ByNegPMKs-11,manual,W002,W006,different_right_closure,近端门框和门内较远位置,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,False,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,75ca740199bbfca6,e2c06769623e335c,8,8,True,10.060902846960984,13.771600047194278,0.0,22.567658712237236,22.567658712237236,22.567658712237236,10.060902846960984,22.567658712237236,22.567658712237236,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,previous_analyst29_not_user_gold,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
B6ByNegPMKs-11,manual,W002,W034,same_right_closure_extra_column,范围相近，但W034额外表达柱体,analyst_development_relation_not_blind_gold,False,False,False,True,True,False,True,False,True,True,False,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,75ca740199bbfca6,d709cefe9dcba87b,8,10,False,7.247024560620147,13.564376016043187,6.0,52.742537607576,5.41218511367798,52.742537607576,6.179941974345034,5.41218511367798,,1,3,7,4,0,2,8,2,0,2,8,2,0,2,8,2,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
B6ByNegPMKs-21,semi,W001,W032,same_range_extra_center_pair,W001中央门状区域多一对；未评论不等于没差异,analyst_development_relation_not_blind_gold,False,True,False,False,False,False,True,False,True,True,,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,456be942f0947a669713,bf6d1e98afbb6306ebff,10,8,False,8.394070633631388,13.7967367338324,6.0,36.66315107220291,36.66315107220291,7.640563550131175,5.735124666586367,7.640563550131175,,5,3,5,8,3,1,7,4,2,0,8,2,2,0,8,2,previous_analyst29_not_user_gold,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso-19,manual,W033,W034,full_vs_omitted_partition,隔断前缘及连接均表达，对比全部省略,analyst_development_relation_not_blind_gold,False,True,False,True,True,False,True,False,True,True,False,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,adc213fc12f5f948aa56,5f7815f3a489b8007a97,16,8,False,15.35266991627288,21.220227974227107,15.0,40.58515306872666,40.58515306872666,1.33903027904688,8.725244334498829,1.33903027904688,,8,0,8,8,8,0,8,8,8,0,8,8,8,0,8,8,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso-19,manual,W033,W037,full_vs_partial_partition,有后连接高度，缺前缘高度,analyst_development_relation_not_blind_gold,False,True,False,True,True,False,True,True,True,True,False,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,adc213fc12f5f948aa56,ae929aa9e6dd3cd587ac,16,12,False,8.307906544412546,15.039713168038904,7.5,25.90644747918524,25.90644747918524,2.607701131718662,4.054186349248049,2.607701131718662,,4,0,12,4,4,0,12,4,4,0,12,4,4,0,12,4,previous_analyst29_not_user_gold,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso-19,manual,W034,W037,omitted_vs_partial_partition,零局部对和两局部对,analyst_development_relation_not_blind_gold,False,True,True,True,True,False,True,False,True,True,False,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5f7815f3a489b8007a97,ae929aa9e6dd3cd587ac,8,12,False,10.830520598371848,17.365838753446866,10.0,35.392611429560645,3.1132040459873984,35.392611429560645,5.631203822521175,3.1132040459873984,,1,5,7,6,0,4,8,4,0,4,8,4,0,4,8,4,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso-19,manual,W011,W015,same_expressed_partition_localization_diff,均有前缘及后缘；W015有后缘横坐标偏移,analyst_development_relation_not_blind_gold,True,True,False,True,True,False,True,True,True,True,True,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,c599740d3bc3761f8f39,a68c32790d01e6b27d0d,16,16,True,1.4321250198304725,2.0524675872147053,0.0,5.338464225606796,5.338464225606796,5.338464225606796,1.4321250198304725,5.338464225606796,5.338464225606796,2,2,14,4,0,0,16,0,0,0,16,0,0,0,16,0,previous_analyst29_not_user_gold,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
e9zR4mvMWw7-10,semi,W006,W035,same_range_expression_localization_diff,没有新增房间证据，主要顶点高度,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,4693ec5fcc3f09fc,4664edbc4eb51884,8,8,True,3.2186324192649973,3.2827054264118014,0.0,4.428449135911824,4.428449135911824,4.428449135911824,3.2186324192649973,4.428449135911824,4.428449135911824,4,4,4,8,0,0,8,0,0,0,8,0,0,0,8,0,previous_analyst29_not_user_gold,True,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,False,True
e9zR4mvMWw7-32,semi,W002,W031,same_range_expression_localization_diff,同样四个位置机会，顶底坐标不同,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,True,,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,e9zR4mvMWw7,7f2a70bd247387c9,38b4c355b2582da5,8,8,True,2.286989377396653,2.637579091640607,0.0,4.965951037119994,4.965951037119994,4.965951037119994,2.286989377396653,4.965951037119994,4.965951037119994,2,2,6,4,0,0,8,0,0,0,8,0,0,0,8,0,previous_analyst29_not_user_gold,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True
e9zR4mvMWw7-16,semi,W006,W032,different_local_floor_boundary,W032第三底点明显降到楼梯下方，不能因同点数隐藏,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,e30721b054460f15,c54bc02d1fcd094e,8,8,True,5.182780555386783,10.432226753351152,0.0,28.978547931246837,28.978547931246837,28.978547931246837,5.182780555386783,28.978547931246837,28.978547931246837,2,2,6,4,1,1,7,2,1,1,7,2,1,1,7,2,previous_analyst29_not_user_gold,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
