case_id,code,condition,worker_a,worker_b,direction,source_point_index_1based,source_x,source_y,nearest_index_1based,nearest_x,nearest_y,nearest_deg,equal_minimum_indices,outside_6,outside_9,outside_12,meaning
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,1,234.0,222.0,7,234.01265307541559,219.515093781827,0.8736106605225568,7,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,2,234.0,307.0,8,234.01265307541559,303.2941295145759,1.3028520029994717,8,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,3,369.0,230.0,5,367.6402150691501,226.63631181911066,1.2730438776310358,5,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,4,369.0,296.0,6,365.1268439971675,295.75401629862847,1.3229079399766706,6,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,5,566.0,218.0,3,570.9269099165351,214.87162530587227,2.010128891002531,3,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,6,566.0,313.0,4,573.0999223389979,395.23165637027313,28.978547931246833,4,True,True,True,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,7,834.0,164.0,1,830.6018944008232,161.63282095553706,1.3060599329281843,1,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,a_to_b,8,834.0,385.0,2,831.6884006120544,397.4046687927358,4.395093206786979,2,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,b_to_a,1,830.6018944008232,161.63282095553706,7,834.0,164.0,1.3060599329281843,7,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,b_to_a,2,831.6884006120544,397.4046687927358,8,834.0,385.0,4.395093206786979,8,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,b_to_a,3,570.9269099165351,214.87162530587227,5,566.0,218.0,2.010128891002531,5,False,False,False,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,b_to_a,4,573.0999223389979,395.23165637027313,6,566.0,313.0,28.978547931246833,6,True,True,True,geometric_nearest_only_not_confirmed_same_structure
1,e9zR4mvMWw7-16,semi,W006,W032,b_to_a,5,367.6402150691501,226.63631181911066,3,369.0,230.0,1.2730438776310358,3,False,False,False,geometric_nearest_only_not_confirmed_same_structure
