key,code,condition,method,id,worker,cluster,representative_id,distance_to_representative
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H6,b7ad646fe3dc3b0d378e,W008,1,3651a92290f6ddca5577,2.431040882111641
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H6,3651a92290f6ddca5577,W031,1,3651a92290f6ddca5577,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H6,17be19782ab6f1fa54ca,W034,1,3651a92290f6ddca5577,2.8007005572906856
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H9,b7ad646fe3dc3b0d378e,W008,1,3651a92290f6ddca5577,2.431040882111641
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H9,3651a92290f6ddca5577,W031,1,3651a92290f6ddca5577,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H9,17be19782ab6f1fa54ca,W034,1,3651a92290f6ddca5577,2.8007005572906856
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H12,b7ad646fe3dc3b0d378e,W008,1,3651a92290f6ddca5577,2.431040882111641
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H12,3651a92290f6ddca5577,W031,1,3651a92290f6ddca5577,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_H12,17be19782ab6f1fa54ca,W034,1,3651a92290f6ddca5577,2.8007005572906856
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_O6,b7ad646fe3dc3b0d378e,W008,1,3651a92290f6ddca5577,1.3935326591882502
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_O6,3651a92290f6ddca5577,W031,1,3651a92290f6ddca5577,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f|manual,2t7WUuJeko7-06,manual,Exemplar_O6,17be19782ab6f1fa54ca,W034,1,3651a92290f6ddca5577,1.12006342353811
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866|manual,2t7WUuJeko7-09,manual,Exemplar_H6,8bdb2a37829bea126cde,W008,1,8bdb2a37829bea126cde,0.0
