code,image_id,condition,id,worker,point_count,method,cluster
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,count_only,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,count_only,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,count_only,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA1_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA1_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA1_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA1_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA1_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA1_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA1_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA1_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA1_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA2_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA2_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA2_3,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA2_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA2_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA2_6,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA2_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA2_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,17be19782ab6f1fa54ca,W034,8,OSPA2_9,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,b7ad646fe3dc3b0d378e,W008,8,OSPA2_12,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3651a92290f6ddca5577,W031,8,OSPA2_12,1
