base_task_id,threshold_count,supported_multimodal_threshold_count,not_evaluable_threshold_count,dominant_with_dissent_threshold_count,unimodal_threshold_count,min_second_mode_support,max_second_mode_support,robust_observed_multimodality_candidate,requires_blind_expert_reasonableness_audit,inherent_ambiguity_claim_allowed,observable_cause_codes,cause_audit_rows
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,4,4,0,0,0,8.0,8.0,True,True,False,different_wall_count_or_topology;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,4,4,0,0,0,4.0,4.0,True,True,False,ceiling_boundary_interpretation;different_wall_count_or_topology;panorama_seam_boundary;room_height_or_vertical_extent;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,4,3,1,0,0,3.0,5.0,False,True,False,panorama_seam_boundary;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,4,3,1,0,0,2.0,2.0,False,True,False,ceiling_boundary_interpretation;different_wall_count_or_topology;room_height_or_vertical_extent;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,4,2,1,1,0,1.0,6.0,False,True,False,panorama_seam_boundary;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,4,2,2,0,0,5.0,5.0,False,True,False,scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,4,2,2,0,0,4.0,5.0,False,True,False,different_wall_count_or_topology;floor_boundary_interpretation;panorama_seam_boundary;room_height_or_vertical_extent;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,4,2,1,1,0,1.0,3.0,False,True,False,horizontal_wall_boundary_placement;panorama_seam_boundary;room_height_or_vertical_extent;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,4,1,1,2,0,1.0,7.0,False,True,False,horizontal_wall_boundary_placement;panorama_seam_boundary;room_height_or_vertical_extent;scope_or_adjacent_space_extent;visibility_or_appearance_evidence,1
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,4,0,0,4,0,1.0,1.0,False,True,False,ceiling_boundary_interpretation;horizontal_wall_boundary_placement;room_height_or_vertical_extent;visibility_or_appearance_evidence,1
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,4,0,1,3,0,1.0,1.0,False,True,False,different_wall_count_or_topology;floor_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,4,0,0,2,2,0.0,1.0,False,True,False,ceiling_boundary_interpretation;room_height_or_vertical_extent;visibility_or_appearance_evidence,1
