stage,base_task_id,building_id,worker_id,U_initial,U_final,delta_U,exact_geometry_equal_bool,proposal_failure_bool,issue_reported_bool,geometry_edit_rmse_panorama_diagonal_normalized,current20_bool,analysis_eligible_bool,model_issue_choice,planned_trap_family,trap_family,semi_role,proposal_correctness_observed_095,initial_correct_095,final_correct_095,correct_proposal_degraded_095,wrong_proposal_corrected_095,wrong_proposal_retained_exact
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,1,0.9883231584145082,0.905439847732394,-0.0828833106821141,False,False,True,0.0106837122438125,True,True,overextend_adjacent;underextend,acceptable,acceptable,control,True,True,False,True,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,10,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,11,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,12,0.9883231584145082,0.9386706213314164,-0.0496525370830918,False,False,False,0.0062881879798238,True,True,acceptable,acceptable,acceptable,control,True,True,False,True,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,13,0.9883231584145082,0.9680946006247212,-0.0202285577897871,False,False,True,0.0042261558849326,True,True,corner_drift,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,14,0.9883231584145082,0.9745940804318012,-0.0137290779827071,False,False,False,0.0031442497294736,False,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,15,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,17,0.9883231584145082,0.991019280640433,0.0026961222259247,False,False,False,0.001661183389232,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,18,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,False,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,19,0.9883231584145082,0.980999605567138,-0.0073235528473701,False,False,True,0.0194316410157102,False,True,overextend_adjacent;underextend,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,2,0.9883231584145082,0.9884567901234568,0.0001336317089485,False,False,False,0.0004554178810909,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,21,0.9883231584145082,0.9878555484962808,-0.0004676099182274,False,False,False,0.0013259031116662,False,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,6,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,8,0.9883231584145082,0.9883231584145082,0.0,True,False,False,0.0,True,True,acceptable,acceptable,acceptable,control,True,True,True,False,False,False
P1,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,1,0.9794180077541208,0.9094274809160304,-0.0699905268380901,False,False,False,,True,True,acceptable,acceptable,acceptable,control,True,True,False,True,False,False
