image_id,condition,family,repeat,pattern,feasible_role_assignments,remaining_type_counts
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,AA,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,AB,12,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,AAB,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,ACD,4,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,AABC,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,0,ABCD,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,AA,1,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,AB,6,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,AAB,2,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,ACD,1,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,AABC,1,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,1,ABCD,0,"{0: 18, 1: 1, 2: 1, 3: 0}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,AA,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,AB,12,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,AAB,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,ACD,4,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,AABC,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,2,ABCD,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,AA,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,AB,12,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,AAB,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,ACD,4,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,AABC,3,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,coannotation,3,ABCD,1,"{0: 17, 1: 1, 2: 1, 3: 1}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,profile,0,AA,4,"{0: 5, 1: 3, 2: 7, 3: 5}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,profile,0,AB,12,"{0: 5, 1: 3, 2: 7, 3: 5}"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,profile,0,AAB,12,"{0: 5, 1: 3, 2: 7, 3: 5}"
