case_id,annotation_id,raw_point_index,raw_keypoint_id,x,y
V33_other_view,4856,0,kp_0,619.59,200.18
V33_other_view,4856,1,kp_1,619.59,349.37
V33_other_view,4856,2,kp_2,902.13,194.64000000000001
V33_other_view,4856,3,kp_3,902.13,357.2
V33_other_view,4856,4,kp_4,125.96000000000001,195.96
V33_other_view,4856,5,kp_5,125.96000000000001,355.36
V33_other_view,4856,6,kp_6,400.42,201.18
V33_other_view,4856,7,kp_7,400.42,347.93
V33_other_view,6154,0,kp_0,125.96000000000001,195.96
V33_other_view,6154,1,kp_1,125.96000000000001,355.36
V33_other_view,6154,2,kp_2,400.42,201.18
V33_other_view,6154,3,kp_3,400.42,347.93
V33_other_view,6154,4,kp_4,619.59,200.18
V33_other_view,6154,5,kp_5,619.59,349.37
V33_other_view,6154,6,kp_6,902.13,194.64000000000001
V33_other_view,6154,7,kp_7,902.13,357.2
V33_other_view,6154,8,it_72rHERf,485.12163892445585,192.1252138284251
V33_other_view,6154,9,DiE-3ZrY9S,485.12163892445585,363.1856594110115
V33_other_view,6154,10,evwTCrZ1M0,466.76568501920616,114.48083994878361
V33_other_view,6154,11,ht-5yLH9sW,466.76568501920616,449.72087067861713
V33_other_view,6154,12,iQR1RxfNdi,499.54417413572344,452.3431498079385
V33_other_view,6154,13,_VpA79XjZt,499.54417413572344,111.92083994878362
V33_other_view,6154,14,35XRQAeojS,508.72215108834826,192.0629346991037
V33_other_view,6154,15,DUegcfMwwE,508.72215108834826,364.4967989756722
V10,6676,0,9NIKsZED1T,141.3598836563866,231.50449881710946
V10,6676,1,gbVFZOj_Ot,138.3994672447345,326.7957419317155
V10,6676,2,rWlpKPHgor,340.498448567078,240.75184991492364
V10,6676,3,WIH6JAdG_9,341.1712704788172,296.7747777265858
V10,6676,4,5Jws_tjMpN,461.1428957016141,231.50449881710946
V10,6676,5,kdhPXmneDh,461.1428957016141,298.9903813119849
V10,6676,6,5JJj_FTwNx,930.9090909090909,163.89244558258645
V10,6676,7,Ovd8yv8hCu,926.9756722151088,391.65705505761844
V20,6329,0,YGgz13mWGU,117.3126213592233,208.7766990291262
V20,6329,1,rxo0_SirXJ,123.27766990291262,328.0776699029127
V20,6329,2,30QYlOwKDD,139.18446601941747,204.8
V20,6329,3,BpyKbr84l4,141.17281553398058,340.00776699029126
V20,6329,4,VBkfPJSViG,161.05631067961164,212.75339805825243
V20,6329,5,Z-Z5aUW3yM,165.0330097087379,334.04271844660195
V20,6329,6,5FHuhpIH0L,286.3223300970874,200.8233009708738
V20,6329,7,gMNj_iWQPw,284.33398058252425,341.99611650485434
V20,6329,8,gC-eNm_N27,687.968932038835,111.347572815534
V20,6329,9,EEtOSzlwMd,683.9922330097087,435.4485436893204
V20,6329,10,usT4JfRscn,954.4077669902913,161.05631067961164
V20,6329,11,Ge1VwY2ZsA,950.431067961165,393.6932038834952
