case_id,annotation_id,raw_point_index,raw_keypoint_id,x,y
V33_other_view,4856,0,kp_0,619.59,200.18
V33_other_view,4856,1,kp_1,619.59,349.37
V33_other_view,4856,2,kp_2,902.13,194.64000000000001
V33_other_view,4856,3,kp_3,902.13,357.2
V33_other_view,4856,4,kp_4,125.96000000000001,195.96
V33_other_view,4856,5,kp_5,125.96000000000001,355.36
V33_other_view,4856,6,kp_6,400.42,201.18
V33_other_view,4856,7,kp_7,400.42,347.93
V33_other_view,6154,0,kp_0,125.96000000000001,195.96
V33_other_view,6154,1,kp_1,125.96000000000001,355.36
V33_other_view,6154,2,kp_2,400.42,201.18
V33_other_view,6154,3,kp_3,400.42,347.93
V33_other_view,6154,4,kp_4,619.59,200.18
V33_other_view,6154,5,kp_5,619.59,349.37
V33_other_view,6154,6,kp_6,902.13,194.64000000000001
V33_other_view,6154,7,kp_7,902.13,357.2
V33_other_view,6154,8,it_72rHERf,485.12163892445585,192.1252138284251
V33_other_view,6154,9,DiE-3ZrY9S,485.12163892445585,363.1856594110115
V33_other_view,6154,10,evwTCrZ1M0,466.76568501920616,114.48083994878361
V33_other_view,6154,11,ht-5yLH9sW,466.76568501920616,449.72087067861713
V33_other_view,6154,12,iQR1RxfNdi,499.54417413572344,452.3431498079385
V33_other_view,6154,13,_VpA79XjZt,499.54417413572344,111.92083994878362
V33_other_view,6154,14,35XRQAeojS,508.72215108834826,192.0629346991037
V33_other_view,6154,15,DUegcfMwwE,508.72215108834826,364.4967989756722
