case_id,variant,source_id,reading,artifact,status,author_intent_verified,raw_point_ids_json
V03,human_individual_W8,8bdb2a37829bea126cde,historical_pairmap_unaveraged,evidence/V03_human_individual_W8_historical_reading.jpg,rendered_not_adjudicated,False,"[6, 7, 4, 5, 0, 1, 2, 3]"
V07,reference_0,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|public_import|test|0,historical_pairmap_unaveraged,evidence/V07_reference_0_historical_reading.jpg,rendered_not_adjudicated,False,"[19, 16, 6, 7, 4, 5, 17, 18, 8, 9, 10, 11, 14, 15, 12, 13, 0, 1, 2, 3]"
V07,reference_1,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|historical_adjudicated,historical_pairmap_unaveraged,evidence/V07_reference_1_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
V07,human_rank1,026b9a1fe7ba6a07,historical_pairmap_unaveraged,,adjacent_pair_same_hemisphere,False,
V07,human_rank2,4a6dba8a9c32eb66,historical_pairmap_unaveraged,evidence/V07_human_rank2_historical_reading.jpg,rendered_not_adjudicated,False,"[6, 7, 4, 5, 2, 3, 0, 1]"
V10,human_individual_W15,a431c68f99235de30da3,historical_pairmap_unaveraged,evidence/V10_human_individual_W15_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 7, 3, 6, 4, 5]"
V10,human_individual_W8,f005d5460cd37c229372,historical_pairmap_unaveraged,evidence/V10_human_individual_W8_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 4, 5, 6, 7]"
V13,human_individual_W29,cfed132b0fc918765220,historical_pairmap_unaveraged,evidence/V13_human_individual_W29_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 4, 5, 6, 7]"
V13,human_individual_W32,3bb435208d6ac7f802e0,historical_pairmap_unaveraged,,camera_outside,False,
V16,human_individual_W36,49919e8b1c06c7489dd8,historical_pairmap_unaveraged,evidence/V16_human_individual_W36_historical_reading.jpg,rendered_not_adjudicated,False,"[1, 0, 2, 3, 15, 14, 13, 12, 4, 5, 6, 7, 9, 8, 10, 11]"
V16,human_individual_W37,4b3c843c997026d73acc,historical_pairmap_unaveraged,evidence/V16_human_individual_W37_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 5, 1, 6, 2, 7, 3, 8, 4, 9]"
V21,human_individual_W11,ee85104d7e59ebf2e889,historical_pairmap_unaveraged,evidence/V21_human_individual_W11_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
V21,human_individual_W12,238409b29552f79f4582,historical_pairmap_unaveraged,evidence/V21_human_individual_W12_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 12, 13, 10, 11, 8, 9, 6, 7, 4, 5]"
V22,human_individual_W11,81236ef5be5b11e8be3e,historical_pairmap_unaveraged,evidence/V22_human_individual_W11_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 4, 5, 6, 7]"
V22,human_individual_W15,8bd2b6db1b57ba08a132,historical_pairmap_unaveraged,evidence/V22_human_individual_W15_historical_reading.jpg,rendered_not_adjudicated,False,"[0, 1, 2, 3, 6, 7, 4, 5]"
V23,human_individual_W13,8b70214a3d426faf23e3,historical_pairmap_unaveraged,evidence/V23_human_individual_W13_historical_reading.jpg,rendered_not_adjudicated,False,"[7, 6, 2, 3, 0, 1, 4, 5]"
V23,human_individual_W15,3386f2a2b9d771574b1a,historical_pairmap_unaveraged,evidence/V23_human_individual_W15_historical_reading.jpg,rendered_not_adjudicated,False,"[7, 6, 2, 3, 0, 1, 4, 5]"
V31,reference_0,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd|public_import|test|0,historical_pairmap_unaveraged,evidence/V31_reference_0_historical_reading.jpg,rendered_not_adjudicated,False,"[14, 15, 12, 13, 8, 9, 10, 11, 2, 3, 0, 1, 4, 5, 6, 7]"
V31,human_individual_W13,f2c02631f6c62e58089e,historical_pairmap_unaveraged,evidence/V31_human_individual_W13_historical_reading.jpg,rendered_not_adjudicated,False,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 4, 5, 0, 2, 1, 3, 6, 7, 8, 9]"
V31,human_individual_W14,cd704d1ba32661d8d74e,historical_pairmap_unaveraged,evidence/V31_human_individual_W14_historical_reading.jpg,rendered_not_adjudicated,False,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 4, 5, 0, 2, 1, 3, 6, 7, 8, 9]"
