partition_id,context_key,pool,k,N,original_cluster_count,expected_observed_clusters,expected_fraction_of_original_clusters,fixed_partition,quality_estimate,subset_reclustering
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,1,23,3,1.0,0.3333333333333333,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,2,23,3,1.1699604743083005,0.3899868247694335,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,3,23,3,1.2608695652173916,0.42028985507246386,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,4,23,3,1.3478260869565215,0.4492753623188405,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,5,23,3,1.4347826086956523,0.47826086956521746,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,6,23,3,1.5217391304347827,0.5072463768115942,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,7,23,3,1.608695652173913,0.5362318840579711,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,8,23,3,1.6956521739130435,0.5652173913043478,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,9,23,3,1.7826086956521738,0.5942028985507246,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,10,23,3,1.8695652173913047,0.6231884057971016,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,11,23,3,1.9565217391304346,0.6521739130434782,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,12,23,3,2.0434782608695654,0.6811594202898551,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,13,23,3,2.130434782608696,0.7101449275362319,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,14,23,3,2.217391304347826,0.7391304347826088,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,15,23,3,2.3043478260869565,0.7681159420289855,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,16,23,3,2.391304347826087,0.7971014492753623,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,17,23,3,2.4782608695652173,0.8260869565217391,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,18,23,3,2.5652173913043477,0.8550724637681159,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,19,23,3,2.6521739130434785,0.8840579710144928,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,all_archived_members,20,23,3,2.7391304347826084,0.9130434782608695,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,1,20,3,1.0,0.3333333333333333,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,2,20,3,1.194736842105263,0.3982456140350877,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,3,20,3,1.2999999999999998,0.4333333333333333,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,4,20,3,1.4,0.4666666666666666,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,5,20,3,1.5,0.5,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,6,20,3,1.6,0.5333333333333333,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,7,20,3,1.7000000000000002,0.5666666666666668,True,False,False
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,current20_archived_members,8,20,3,1.7999999999999998,0.6,True,False,False
