case_id,image_id,source,project,task_id,annotation_id,completed_by,ground_truth,was_cancelled,created_at,updated_at,parent_annotation,parent_prediction,point_count,canonical_annotation_id,annotation_identity,condition,canonical_link_status
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2arp_block1/project-79-at-2026-08-10-07-21-c5055ba6.json,79,3525,6751,15,False,False,2026-08-08T02:49:28.763285Z,2026-08-08T02:49:28.763305Z,,,8,a431c68f99235de30da3,C2-A-RP|1|79|3525|15|6751,manual,exact_image_project_task_author_annotation
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2arp_block1/project-79-at-2026-08-10-07-21-c5055ba6.json,79,3525,6757,8,False,False,2026-08-08T05:43:17.937383Z,2026-08-08T05:43:17.937404Z,,,8,f005d5460cd37c229372,C2-A-RP|1|79|3525|8|6757,manual,exact_image_project_task_author_annotation
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json,84,3540,6795,12,False,False,2026-08-11T11:01:57.165292Z,2026-08-11T11:01:57.165311Z,,,8,dbdc83a7c9f53399480c,C2-A-RP|2|84|3540|12|6795,manual,exact_image_project_task_author_annotation
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json,84,3540,6818,13,False,False,2026-08-13T18:12:44.971868Z,2026-08-13T18:12:44.971889Z,6795.0,,8,f92320ca03fc70c20aea,C2-A-RP|2|84|3540|13|6818,manual,exact_image_project_task_author_annotation
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,77,3472,6649,6,False,False,2026-08-04T04:13:59.500252Z,2026-08-04T04:13:59.500267Z,,,8,8af889f37a502f3fa126,C2-B|0|77|3472|6|6649,manual,exact_image_project_task_author_annotation
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,77,3472,6676,2,False,False,2026-08-04T15:14:28.407312Z,2026-08-04T15:14:28.407327Z,,,8,8ff7251a7c24a8e0e71e,C2-B|0|77|3472|2|6676,manual,exact_image_project_task_author_annotation
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/groudTruth(prescreen时使用的).json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/groudTruth(prescreen时使用的).json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-06-27T03:13:54.650740Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth(prescreen时使用的).json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-06-30T10:04:27.605366Z,,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/groudTruth(prescreen时使用的).json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/groudTruth(prescreen时使用的).json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/groudTruth.json,70,3307,4856,2,True,False,2026-07-03T10:09:54.074192Z,2026-07-03T10:09:54.074218Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/groudTruth.json,70,3380,4929,2,True,False,2026-07-03T10:09:54.085379Z,2026-07-03T10:09:54.085385Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth.json,70,3389,4938,2,True,False,2026-07-03T10:09:54.086470Z,2026-07-03T10:09:54.086480Z,,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/groudTruth.json,70,3722,5271,2,True,False,2026-07-03T10:09:54.159039Z,2026-07-03T10:09:54.159060Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/groudTruth.json,70,3740,5289,2,True,False,2026-07-03T10:09:54.165991Z,2026-07-03T10:09:54.165998Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/groudTruth_106错误.json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/groudTruth_106错误.json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-06-27T03:13:54.650740Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth_106错误.json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-06-30T10:04:27.605366Z,,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/groudTruth_106错误.json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/groudTruth_106错误.json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/groudTruth_2(61_84_194双标注).json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/groudTruth_2(61_84_194双标注).json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-06-27T03:13:54.650740Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth_2(61_84_194双标注).json,20,2568,2235,2,False,False,2026-03-19T09:28:51.691112Z,2026-03-19T09:28:51.691119Z,,,12,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth_2(61_84_194双标注).json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-05-20T09:08:13.373256Z,2235.0,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/groudTruth_2(61_84_194双标注).json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/groudTruth_2(61_84_194双标注).json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/groudTruth_gt100错误.json,45,3183,4844,2,True,False,2026-07-02T05:09:02.420050Z,2026-07-02T05:09:02.420062Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/groudTruth_gt100错误.json,45,3256,4917,2,True,False,2026-07-02T05:09:02.431235Z,2026-07-02T05:09:02.431244Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/groudTruth_gt100错误.json,45,3265,4926,2,True,False,2026-07-02T05:09:02.432261Z,2026-07-02T05:09:02.432268Z,,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/groudTruth_gt100错误.json,45,3598,5259,2,True,False,2026-07-02T05:09:02.753103Z,2026-07-02T05:09:02.753109Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/groudTruth_gt100错误.json,45,3616,5277,2,True,False,2026-07-02T05:09:02.757684Z,2026-07-02T05:09:02.757690Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/legacy/groudTruth.json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/legacy/groudTruth.json,20,2559,2226,2,False,False,2026-03-19T09:28:51.688398Z,2026-03-25T00:59:14.231056Z,,,16,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/legacy/groudTruth.json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-05-25T15:10:54.645751Z,2226.0,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth.json,20,2568,2235,2,False,False,2026-03-19T09:28:51.691112Z,2026-03-19T09:28:51.691119Z,,,12,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth.json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-05-20T09:08:13.373256Z,2235.0,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/legacy/groudTruth.json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/legacy/groudTruth.json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/legacy/groudTruth_legacy.json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/legacy/groudTruth_legacy.json,20,2559,2226,2,False,False,2026-03-19T09:28:51.688398Z,2026-03-25T00:59:14.231056Z,,,16,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/legacy/groudTruth_legacy.json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-06-27T03:00:47.029851Z,2226.0,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth_legacy.json,20,2568,2235,2,False,False,2026-03-19T09:28:51.691112Z,2026-03-19T09:28:51.691119Z,,,12,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth_legacy.json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-05-20T09:08:13.373256Z,2235.0,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/legacy/groudTruth_legacy.json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/legacy/groudTruth_legacy.json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/legacy/groudTruth_legacy2.json,20,2486,2153,2,False,False,2026-03-19T09:28:51.667455Z,2026-03-19T09:28:51.667466Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/legacy/groudTruth_legacy2.json,20,2559,3425,2,False,False,2026-05-25T15:10:54.645736Z,2026-06-27T03:13:54.650740Z,,,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth_legacy2.json,20,2568,2235,2,False,False,2026-03-19T09:28:51.691112Z,2026-03-19T09:28:51.691119Z,,,12,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/legacy/groudTruth_legacy2.json,20,2568,3159,2,False,False,2026-05-20T09:08:13.373240Z,2026-05-20T09:08:13.373256Z,2235.0,,16,,,,outside_spine_or_unresolved
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,export_label/legacy/groudTruth_legacy2.json,20,2901,2568,2,False,False,2026-03-19T09:28:51.801391Z,2026-03-19T09:28:51.801398Z,,,12,,,,outside_spine_or_unresolved
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,export_label/legacy/groudTruth_legacy2.json,20,2919,2586,2,False,False,2026-03-19T09:28:51.808649Z,2026-03-19T09:28:51.808656Z,,,8,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/project-2-at-2026-02-22-11-22-ee6c4607.json,2,460,88,1,False,False,2026-02-09T07:31:21.994926Z,2026-02-09T07:31:21.994942Z,,,24,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-2-at-2026-02-22-11-22-ee6c4607.json,2,533,133,1,False,False,2026-02-09T08:14:41.972547Z,2026-02-09T08:14:41.972565Z,,533.0,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/project-2-at-2026-02-22-11-22-ee6c4607.json,2,542,142,1,False,False,2026-02-09T08:18:34.246998Z,2026-02-09T08:18:34.247015Z,,542.0,24,,,,outside_spine_or_unresolved
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,2,460,88,1,False,False,2026-02-09T07:31:21.994926Z,2026-02-09T07:31:21.994942Z,,,24,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,2,533,133,1,False,False,2026-02-09T08:14:41.972547Z,2026-02-09T08:14:41.972565Z,,533.0,20,,,,outside_spine_or_unresolved
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,export_label/project-2-at-2026-03-25-10-52-c04c6496.json,2,542,142,1,False,False,2026-02-09T08:18:34.246998Z,2026-02-09T08:18:34.247015Z,,542.0,24,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,3805,26,False,False,2026-06-13T02:52:01.613160Z,2026-06-13T02:52:01.613192Z,,,0,80c982af26126b4c,P1|0|39|3130|26|3805,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,3956,28,False,False,2026-06-16T16:46:19.372789Z,2026-06-16T16:46:19.372806Z,,,8,0f26a801f28ae1ea,P1|0|39|3130|28|3956,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4005,27,False,False,2026-06-17T01:36:15.158329Z,2026-06-17T01:36:15.158346Z,,,16,97a3f59e2ba873d1,P1|0|39|3130|27|4005,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4127,31,False,False,2026-06-18T07:49:10.639953Z,2026-06-18T07:49:10.639970Z,,,9,ef46460f29fb4a76,P1|0|39|3130|31|4127,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4198,30,False,False,2026-06-20T11:37:52.696581Z,2026-06-20T11:37:52.696596Z,,,12,1855cec45f3e93ab,P1|0|39|3130|30|4198,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4227,33,False,False,2026-06-20T14:42:31.613013Z,2026-06-20T14:42:31.613032Z,,,14,f75ec2a5eb7100a8,P1|0|39|3130|33|4227,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4254,32,False,False,2026-06-20T18:27:04.003225Z,2026-06-20T18:27:04.003241Z,,,16,0657f6415220d28c,P1|0|39|3130|32|4254,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4336,35,False,False,2026-06-21T10:58:12.705343Z,2026-06-21T10:58:12.705363Z,,,16,6d67a30583e6d492,P1|0|39|3130|35|4336,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4427,34,False,False,2026-06-22T01:13:56.048243Z,2026-06-22T01:13:56.048261Z,,,10,4d26dca68df3a0a4,P1|0|39|3130|34|4427,manual,exact_image_project_task_author_annotation
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/project-39-at-2026-06-23-06-11-51ff9907.json,39,3130,4489,37,False,False,2026-06-22T15:35:36.927473Z,2026-06-22T15:35:36.927491Z,,,8,a49a93c3a2018b34,P1|0|39|3130|37|4489,manual,exact_image_project_task_author_annotation
V33_other_view,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,export_label/project-65-at-2026-07-02-16-49-f641e0f6.json,65,3184,4845,2,False,False,2026-07-02T16:47:24.264763Z,2026-07-02T16:48:53.777968Z,,,8,,,,outside_spine_or_unresolved
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,export_label/stage1_chinese/legacy/project-28-at-2026-06-13-05-31-fa7a5b97.json,28,3058,3138,17,False,False,2026-05-19T13:13:22.218279Z,2026-05-19T13:23:45.956339Z,,,20,7231fd59d0668aa1,P1|0|28|3058|17|3138,manual,exact_image_project_task_author_annotation
