image_id,condition,ordered_workers,ordered_canonical_ids,n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,W008;W031;W034,b7ad646fe3dc3b0d378e;3651a92290f6ddca5577;17be19782ab6f1fa54ca,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,W008;W031;W034,8bdb2a37829bea126cde;06925f70038be9cf6628;022a2edfc36f1862ff6d,3
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,W006;W010;W027;W028;W030,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95;d5c88ef7632f0c3ce88f,5
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6,24
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;8a6c9350ded9f505;1106d9b3309125ae;b11846422ee8df2c;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;843ee33e6df34cd4;618e8cec7d276f9c;c0d2a3ea11db107a;5ff7ca831e9c5ad8;b8541e4707e39e94;4d2388c60747a53d;1bbc73c77d272720;c4bc31bc73053a93;e2305061fc73b67a;e805d3344d24834a,24
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,W006;W010;W011;W017;W033,02c17487f3c26175d06c;bc6afe53ebf4fa056431;44137bda12cf49a72738;fe51149470d295897000;19f0ec5e2db5240ffd86,5
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,W012;W013;W027;W030;W031;W035,e7909355f0df5dd9276a;ec6c38a862059f07bf7f;4d53581ef39bae3bf5d1;c89be364009b1fc0544e;1c3df8c137a169fee41d;b02aea4f86afbc5430f7,6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,W008;W014;W018;W031;W032;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;c63d05f140fcc66be4df;6051dfca1aade85a07a8;e6f01175aabbf9fcafe7;dec8403a4ddac6db3115,6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,W001;W002;W033;W034;W037,d22e8df3dcff4100efb5;a25753564e8d0fb8f8d6;517087c6def062efa361;84ac11f23b306b7457b4;8125fd4575ecfc155a63,5
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,W008;W010;W015;W035,aa3b4f3365dda18b56bc;2aea8c4c7647e5dcbf4f;e8a846d937e3ed039131;8f8a8cc073aa91a7c1c7,4
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,W011;W015;W028;W029;W036,6d1cd2b695a93ed0418c;c3333eb36394f0f11cfe;5c79ca3a486aa69a57d2;b5c13db450fa7496d8e9;268bafd92e9f27eee478,5
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,W001;W002;W012;W029;W036,c9e40b1fe2b3537ffc79;ca89b9306226c9c332c3;8cd8fc36522e0668f25d;b81af97c20cfc379eb17;24cb9518cba9fc374e36,5
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,W015;W031;W032;W034;W037,60f051ba3d820f7cf2c1;046e2c37842123ec2f46;27b18dbca838c732fe36;e989d5cbe8078c1ac797;9f3ef0966bba166ccf67,5
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,8ded0001dfe26e8d;185f571fb1f1fa61;932e34e76a7b2bd3;d90afb940106a139;21dc98163be065c0;6c4eb5c014ae5538;e7ac757b87291eaa;a5152b786b6b4257;7c839cd20c00cf4d;59a06a020567d554;09357be7fb68e08a;98eadb4d0d25287d;726df974bcd4c84b;6999db3ebf3ef330;cd3a2f4a0e0ad07e;2d656d0b379aca23;272f8ef889915150;55e7158552d3913a;8426a252a40fabd5;7a24ac2a83e02abb;a97df3618c618b1a;b62a4df9e1645fe7;43fca0253b1b4fff;717840fe8221eba6,24
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,3f1d4cacc3faf7d7;75ca740199bbfca6;e2c06769623e335c;f61cafa7e89ea17e;cd59ff6392d0007b;9664309abeb6b078;7b70014ef90dfa00;77ab07a0a6d85137;033e34e10addfeb4;be4265df16f250c5;ee6734855a1fce2c;69dd02c653b999da;158cdf9ee8269d7a;ae9eebd3c841d936;f8548145ddefef82;dab549f7649c26f5;d5ec1431385bed24;01111484ace4b94e;283873b63fff0570;0a8c62a27fbaac21;d709cefe9dcba87b;71917bb13f847c7d;803f0a9e869112a9;9a14ee08aba6a9c3,24
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,W011;W015;W033;W034;W037,8a2600447847d5ab7f5f;ad005008336266edcd64;9378da78037a5091f22e;260cf962d9bea8512f9e;ecd4e736ab99493cf8bd,5
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,W002;W013;W029;W035,1a60a6ad7849198e802c;72dc231b20fe4c8a589d;198b56fd7f0946ac5b09;b47f07e34df3a99ff20d,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,W027;W028;W029;W035;W036,ef96b87ef5fb03c9889e;53a1af9cac0415879d2f;04c900e4f73f755265b3;25a1ba6fcd4fbb14c433;cc1c0c89b7e5fdacc836,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,W001;W002;W030;W032,456be942f0947a669713;9b7c8a47533d55322728;bbb44530a7ff92f92b27;bf6d1e98afbb6306ebff,4
