image_id,condition,information,k_classes,reason,qualified_classes
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,B,2,fewer_than_two_classes_with_four_actual_people,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,Q,2,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
