image_id,condition,information,k_classes,total_combinations,untyped_combinations,reason
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QT,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QT,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QT,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTB,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTB,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTB,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTS,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTS,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTS,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTSB,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTSB,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,QTSB,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,T,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,T,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,T,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TB,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TB,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TB,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TS,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TS,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TS,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TSB,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TSB,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,TSB,4,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,quality_time_edit,2,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,quality_time_edit,3,1476,188,missing_outside_building_profile_not_a_real_class
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,quality_time_edit,4,1476,188,missing_outside_building_profile_not_a_real_class
